MSE, Q-LIKE
1127.42970,   3.53227
10889.85169,   4.65375
19123.26005,   4.93383
3853.00175,   4.13832
1218.78364,   3.57060
9224.42252,   4.57130
3297.89270,   4.06137
35926.87708,   5.24792
 478.30865,   3.11343
7521.82429,   4.46998
3490.99458,   4.08950
1000.63757,   3.47384
1160.48577,   3.54659
13282.79423,   4.75247
24636.18183,   5.05996
1881100.42505,   7.22414
14605.95663,   4.79977
5201.74030,   4.28705
13879.87415,   4.77442
8988.01132,   4.55843
16981.60944,   4.87479
376598.22602,   6.42050
458850.90979,   6.51918
254992.94441,   6.22576
129289.54864,   5.88668
28963.39426,   5.14063
25057.16674,   5.06848
96823.51020,   5.74237
58149.09998,   5.48805
2240208.25509,   7.31147
59397.83623,   5.49865
522039.41399,   6.58364
34862.00567,   5.23303
21747.41426,   4.99799
105136.36773,   5.78350
29586.65127,   5.15129
1195931.71588,   6.99781
206668.20587,   6.12086
17711.90406,   4.89585
1972.08422,   3.80791
12107.17750,   4.70666
326041.78864,   6.34852
255476.41716,   6.22672
140567.86204,   5.92845
8558.43100,   4.53430
1038.41582,   3.49256
11646.89145,   4.68735
22742.72727,   5.02027
317814.59522,   6.33575
2710.63484,   3.96479
9272.21558,   4.57407
5811.87916,   4.34226
9297.19022,   4.57540
12597.50099,   4.72636
116862.69457,   5.83626
1988.13109,   3.81190
207872.89102,   6.12376
2955.77816,   4.00763
7082.15229,   4.44034
35454.31689,   5.24143
4741.69371,   4.24145
103586.40231,   5.77609
8289.60750,   4.51842
14780.19322,   4.80579
82905.23889,   5.66494
55844.23243,   5.46785
12642.20234,   4.72804
38173.00059,   5.27819
4816.02355,   4.24897
14138.76883,   4.78366
22086.73827,   5.00563
1890.49798,   3.78681
135518.65387,   5.91014
 243.22442,   2.78676
9559.96722,   4.58910
1601.33166,   3.70493
22520.22671,   5.01528
2321.11942,   3.88794
9364.53566,   4.57884
71133.61826,   5.58846
1540.59529,   3.68547
 573.69917,   3.20137
 186.06166,   2.65698
16857.19320,   4.87095
 731.63331,   3.31994
6605.98642,   4.40522
  64.14579,   2.15333
32396.91606,   5.19622
2545.98629,   3.93287
189654.91875,   6.07784
1494.34206,   3.66987
38769.78938,   5.28564
99107.30442,   5.75382
9214.37468,   4.57027
 327.71168,   2.92764
7402.53188,   4.46150
12539.82645,   4.72345
 749.66326,   3.33063
3310.40405,   4.06238
10027.49186,   4.61224
27825.12374,   5.12023
6750.01366,   4.41552
5086.60560,   4.27503
3703.05174,   4.11765
10650.83468,   4.64212
44389.77651,   5.35304
28454.95848,   5.13136
3927.16485,   4.14671
2897.82294,   3.99617
32239.15759,   5.19357
127072.11288,   5.87781
1813.35754,   3.76433
4206.02265,   4.18050
6074.98059,   4.36289
18123.20372,   4.90638
8927.19519,   4.55398
6101.69449,   4.36488
5501.92217,   4.31350
22197.45177,   5.00740
7924.86145,   4.49428
 591.58293,   3.21082
2362.90260,   3.89358
40168.89132,   5.30279
27644.49161,   5.11645
 955.22583,   3.44629
7100.47090,   4.43960
8625.31306,   4.53635
23470.07496,   5.03484
5426.32924,   4.30595
25862.61969,   5.08323
52696.05609,   5.43822
4395.42030,   4.20128
15944.13483,   4.84217
12359.68906,   4.71535
9668.39233,   4.59312
26191.81229,   5.08954
 370.69557,   2.98220
16263.42847,   4.85193
14068.22155,   4.77979
376717.56761,   6.42039
20198.53535,   4.95999
21984.11691,   5.00220
2712650.49283,   7.40700
53994.63404,   5.45034
163317.27352,   6.00289
4175.65149,   4.17575
280132.57980,   6.27240
168640.24018,   6.01891
29859.26642,   5.15485
8547.87034,   4.53182
1486656.84310,   7.10641
235608.93420,   6.18594
129069.80159,   5.88538
28419.28968,   5.13030
447599.74017,   6.50656
377396.91757,   6.42133
137103.85998,   5.91563
409472.51682,   6.46211
1442175.99867,   7.09128
3236.25597,   4.05063
3274899.65797,   7.50120
1780773.35414,   7.19670
571657.44233,   6.62888
84800.44991,   5.67602
316392.03504,   6.33342
6112520.87365,   7.81317
10464774.15373,   8.08196
7339930.17629,   7.90467
25624715.35346,   8.52968
106167228.39480,   9.24033
93230014.85450,   9.17537
54751205.66020,   8.90925
4404566.93215,   7.64943
13478554.43835,   8.20851
7503505.27544,   7.91572
10099333.70835,   8.06423
26178384.64628,   8.54037
7072701.03940,   7.88617
4680615.11260,   7.67983
5071195.68184,   7.71989
1744320.27774,   7.18653
3193014.11224,   7.48868
4529908.70209,   7.66348
2159496.94900,   7.29324
1100199.19708,   6.95627
11975412.98660,   8.14942
16619725.17954,   8.31325
1100520.71837,   6.95642
362359.80964,   6.40154
914797.78140,   6.86408
5650014.59009,   7.77393
1850264.85115,   7.21602
480687.40438,   6.54266
632732.69399,   6.67993
327191.91814,   6.35058
579885.79466,   6.63637
894973.46348,   6.85314
657592.16612,   6.69918
418071.72355,   6.47297
3835456.39694,   7.58032
43923.90007,   5.34900
428735.20444,   6.48554
