MSE, Q-LIKE
   0.00001,  -0.12766
   0.00001,  -0.12771
   0.00000,  -0.13548
   0.00000,  -0.13588
   0.00000,  -0.14175
   0.00000,  -0.14402
   0.00001,  -0.14623
   0.00001,  -0.14623
   0.00001,  -0.14770
   0.00001,  -0.14872
   0.00001,  -0.14806
   0.00001,  -0.14845
   0.00003,  -0.15398
   0.00003,  -0.15575
   0.00003,  -0.15427
   0.00003,  -0.15616
   0.00003,  -0.15391
   0.00002,  -0.15332
   0.00003,  -0.15420
   0.00017,  -0.17841
   0.00021,  -0.18293
   0.00021,  -0.18286
   0.00025,  -0.18713
   0.00025,  -0.18698
   0.00027,  -0.18912
   0.00044,  -0.20325
   0.00044,  -0.20357
   0.00050,  -0.20772
   0.00054,  -0.21043
   0.00055,  -0.21082
   0.00068,  -0.21917
   0.00092,  -0.23263
   0.00092,  -0.23264
   0.00098,  -0.23538
   0.00098,  -0.23562
   0.00097,  -0.23497
   0.00111,  -0.24195
   0.00110,  -0.24147
   0.00107,  -0.23965
   0.00119,  -0.24525
   0.00144,  -0.25625
   0.00142,  -0.25551
   0.00159,  -0.26218
   0.00159,  -0.26222
   0.00159,  -0.26230
   0.00159,  -0.26231
   0.00159,  -0.26201
   0.00173,  -0.26745
   0.00175,  -0.26819
   0.00176,  -0.26872
   0.00194,  -0.27520
   0.00206,  -0.27949
   0.00234,  -0.28858
   0.00249,  -0.29336
   0.00329,  -0.31680
   0.00331,  -0.31724
   0.00331,  -0.31719
   0.00331,  -0.31736
   0.00323,  -0.31499
   0.00633,  -0.38603
   0.00684,  -0.39576
   0.00683,  -0.39555
   0.00686,  -0.39611
   0.00681,  -0.39523
   0.00681,  -0.39523
   0.00675,  -0.39411
   0.00677,  -0.39447
   0.00686,  -0.39610
   0.00685,  -0.39606
   0.00683,  -0.39569
   0.00681,  -0.39514
   0.00704,  -0.39947
   0.00704,  -0.39945
   0.00707,  -0.40001
   0.00700,  -0.39880
   0.00683,  -0.39561
   0.00678,  -0.39470
   0.00826,  -0.42135
   0.00739,  -0.40596
   0.00738,  -0.40580
   0.00729,  -0.40415
   0.00735,  -0.40533
   0.00733,  -0.40481
   0.00740,  -0.40618
   0.00740,  -0.40616
   0.00740,  -0.40613
   0.00725,  -0.40347
   0.00723,  -0.40314
   0.00723,  -0.40311
   0.00708,  -0.40032
   0.00703,  -0.39940
   0.00698,  -0.39840
   0.00678,  -0.39459
   0.00594,  -0.37818
   0.00553,  -0.36978
   0.00547,  -0.36861
   0.00414,  -0.33847
   0.00417,  -0.33927
   0.00253,  -0.29464
   0.00231,  -0.28787
   0.00200,  -0.27729
   0.00181,  -0.27066
   0.00181,  -0.27037
   0.00090,  -0.23120
   0.00057,  -0.21229
   0.00047,  -0.20548
   0.00001,  -0.14893
   0.00024,  -0.08955
   0.00185,  -0.00351
   0.00206,   0.00367
   0.00213,   0.00620
   0.00213,   0.00629
   0.00255,   0.01977
   0.00255,   0.01987
   0.00387,   0.05643
   0.00386,   0.05606
   0.00427,   0.06604
   0.00459,   0.07369
   0.00472,   0.07651
   0.00471,   0.07643
   0.00523,   0.08787
   0.00527,   0.08870
   0.00531,   0.08964
   0.00664,   0.11638
   0.00663,   0.11621
   0.00674,   0.11841
   0.00675,   0.11847
   0.00679,   0.11940
   0.00727,   0.12825
   0.00730,   0.12869
   0.00730,   0.12884
   0.00728,   0.12849
   0.00739,   0.13039
   0.00761,   0.13446
   0.00774,   0.13664
   0.00774,   0.13671
   0.00788,   0.13914
   0.00787,   0.13899
   0.00794,   0.14019
   0.00805,   0.14219
   0.00766,   0.13536
   0.00772,   0.13631
