MSE, Q-LIKE
   0.00000,  -0.12806
   0.00000,  -0.12696
   0.00000,  -0.12955
   0.00000,  -0.13012
   0.00000,  -0.13323
   0.00000,  -0.13292
   0.00000,  -0.13186
   0.00000,  -0.13203
   0.00000,  -0.13249
   0.00000,  -0.13235
   0.00000,  -0.13241
   0.00000,  -0.13261
   0.00000,  -0.13199
   0.00000,  -0.13202
   0.00000,  -0.12913
   0.00000,  -0.12917
   0.00000,  -0.12619
   0.00000,  -0.12771
   0.00000,  -0.12833
   0.00000,  -0.12771
   0.00000,  -0.12776
   0.00001,  -0.13545
   0.00000,  -0.13588
   0.00000,  -0.14175
   0.00000,  -0.14404
   0.00000,  -0.14626
   0.00000,  -0.14627
   0.00000,  -0.14775
   0.00000,  -0.14878
   0.00000,  -0.14811
   0.00000,  -0.14850
   0.00000,  -0.15409
   0.00000,  -0.15591
   0.00000,  -0.15440
   0.00000,  -0.15633
   0.00000,  -0.15403
   0.00000,  -0.15344
   0.00000,  -0.15434
   0.00006,  -0.17894
   0.00001,  -0.18392
   0.00000,  -0.18391
   0.00000,  -0.18837
   0.00000,  -0.18823
   0.00000,  -0.19048
   0.00002,  -0.20539
   0.00000,  -0.20583
   0.00000,  -0.21028
   0.00000,  -0.21320
   0.00000,  -0.21362
   0.00001,  -0.22264
   0.00002,  -0.23732
   0.00000,  -0.23745
   0.00000,  -0.24047
   0.00000,  -0.24075
   0.00000,  -0.24003
   0.00000,  -0.24776
   0.00000,  -0.24725
   0.00000,  -0.24522
   0.00000,  -0.25146
   0.00001,  -0.26380
   0.00000,  -0.26303
   0.00001,  -0.27060
   0.00000,  -0.27067
   0.00000,  -0.27077
   0.00000,  -0.27077
   0.00000,  -0.27043
   0.00000,  -0.27664
   0.00000,  -0.27752
   0.00000,  -0.27813
   0.00001,  -0.28557
   0.00000,  -0.29059
   0.00001,  -0.30118
   0.00000,  -0.30687
   0.00006,  -0.33464
   0.00000,  -0.33556
   0.00000,  -0.33551
   0.00000,  -0.33571
   0.00000,  -0.33283
   0.00052,  -0.41918
   0.00039,  -0.43306
   0.00023,  -0.43401
   0.00013,  -0.43552
   0.00006,  -0.43494
   0.00002,  -0.43527
   0.00000,  -0.43393
   0.00000,  -0.43442
   0.00000,  -0.43662
   0.00000,  -0.43657
   0.00000,  -0.43607
   0.00000,  -0.43533
   0.00000,  -0.44115
   0.00000,  -0.44115
   0.00000,  -0.44191
   0.00000,  -0.44026
   0.00000,  -0.43594
   0.00000,  -0.43473
   0.00008,  -0.47057
   0.00000,  -0.44998
   0.00000,  -0.44978
   0.00000,  -0.44753
   0.00000,  -0.44914
   0.00000,  -0.44843
   0.00000,  -0.45030
   0.00000,  -0.45028
   0.00000,  -0.45024
   0.00000,  -0.44660
   0.00000,  -0.44615
   0.00000,  -0.44611
   0.00000,  -0.44232
   0.00000,  -0.44107
   0.00000,  -0.43972
   0.00000,  -0.43458
   0.00003,  -0.41250
   0.00001,  -0.40165
   0.00000,  -0.40022
   0.00009,  -0.36103
   0.00001,  -0.36273
   0.00022,  -0.30676
   0.00009,  -0.29980
   0.00006,  -0.28761
   0.00002,  -0.28025
   0.00000,  -0.28003
   0.00017,  -0.23482
   0.00008,  -0.21472
   0.00001,  -0.20781
   0.00029,  -0.14743
   0.00057,  -0.08788
   0.00152,  -0.00513
   0.00072,  -0.00250
   0.00024,  -0.00230
   0.00002,  -0.00313
   0.00000,   0.00853
   0.00001,   0.00864
   0.00007,   0.03996
   0.00001,   0.03943
   0.00000,   0.04772
   0.00000,   0.05406
   0.00000,   0.05638
   0.00000,   0.05631
   0.00001,   0.06573
   0.00000,   0.06637
   0.00000,   0.06714
   0.00006,   0.08890
   0.00000,   0.08855
   0.00000,   0.09030
   0.00000,   0.09035
   0.00000,   0.09109
   0.00001,   0.09813
   0.00000,   0.09846
   0.00000,   0.09858
   0.00000,   0.09830
   0.00000,   0.09980
   0.00000,   0.10301
   0.00000,   0.10471
   0.00000,   0.10477
   0.00000,   0.10667
   0.00000,   0.10656
   0.00000,   0.10749
   0.00000,   0.10906
   0.00000,   0.10371
   0.00000,   0.10445
   0.35065,   1.55507
   0.31877,   1.46524
   0.29475,   1.40488
   0.27036,   1.34927
   0.24519,   1.29733
   0.21954,   1.24950
   0.19358,   1.20587
   0.16746,   1.16637
   0.14147,   1.13108
   0.11615,   1.10026
   0.09185,   1.07379
   0.06903,   1.05155
   0.04844,   1.03363
   0.03074,   1.01983
   0.01665,   1.01000
   0.00675,   1.00378
   0.00144,   1.00076
   0.00002,   1.00001
   0.00003,   1.00001
   0.00001,   1.00000
