MSE, Q-LIKE
   0.00002,  -0.12797
   0.00000,  -0.12695
   0.00001,  -0.12953
   0.00000,  -0.13011
   0.00000,  -0.13323
   0.00000,  -0.13292
   0.00000,  -0.13186
   0.00000,  -0.13203
   0.00000,  -0.13250
   0.00000,  -0.13234
   0.00000,  -0.13241
   0.00001,  -0.13258
   0.00000,  -0.13199
   0.00000,  -0.13201
   0.00000,  -0.12914
   0.00000,  -0.12915
   0.00001,  -0.12617
   0.00000,  -0.12771
   0.00000,  -0.12831
   0.00000,  -0.12771
   0.00000,  -0.12776
   0.00001,  -0.13544
   0.00000,  -0.13587
   0.00000,  -0.14175
   0.00000,  -0.14404
   0.00000,  -0.14626
   0.00000,  -0.14625
   0.00000,  -0.14775
   0.00000,  -0.14878
   0.00000,  -0.14810
   0.00000,  -0.14850
   0.00000,  -0.15410
   0.00000,  -0.15591
   0.00000,  -0.15440
   0.00000,  -0.15632
   0.00000,  -0.15403
   0.00000,  -0.15344
   0.00000,  -0.15433
   0.00009,  -0.17879
   0.00001,  -0.18395
   0.00000,  -0.18390
   0.00000,  -0.18837
   0.00000,  -0.18823
   0.00000,  -0.19048
   0.00001,  -0.20543
   0.00000,  -0.20583
   0.00001,  -0.21025
   0.00000,  -0.21319
   0.00000,  -0.21362
   0.00001,  -0.22261
   0.00002,  -0.23732
   0.00000,  -0.23744
   0.00000,  -0.24046
   0.00000,  -0.24074
   0.00000,  -0.24002
   0.00001,  -0.24775
   0.00000,  -0.24725
   0.00000,  -0.24521
   0.00000,  -0.25147
   0.00001,  -0.26379
   0.00000,  -0.26303
   0.00000,  -0.27063
   0.00000,  -0.27067
   0.00000,  -0.27076
   0.00000,  -0.27077
   0.00000,  -0.27043
   0.00000,  -0.27664
   0.00000,  -0.27752
   0.00000,  -0.27813
   0.00001,  -0.28553
   0.00000,  -0.29059
   0.00001,  -0.30120
   0.00000,  -0.30689
   0.00006,  -0.33463
   0.00001,  -0.33552
   0.00000,  -0.33551
   0.00000,  -0.33571
   0.00000,  -0.33283
   0.00059,  -0.41868
   0.00041,  -0.43290
   0.00025,  -0.43385
   0.00018,  -0.43517
   0.00016,  -0.43415
   0.00003,  -0.43521
   0.00000,  -0.43391
   0.00000,  -0.43442
   0.00000,  -0.43661
   0.00000,  -0.43657
   0.00000,  -0.43606
   0.00000,  -0.43533
   0.00000,  -0.44116
   0.00000,  -0.44115
   0.00000,  -0.44191
   0.00000,  -0.44026
   0.00000,  -0.43595
   0.00000,  -0.43473
   0.00006,  -0.47071
   0.00000,  -0.44999
   0.00000,  -0.44978
   0.00000,  -0.44753
   0.00000,  -0.44912
   0.00000,  -0.44842
   0.00000,  -0.45031
   0.00000,  -0.45028
   0.00000,  -0.45023
   0.00000,  -0.44660
   0.00000,  -0.44615
   0.00000,  -0.44610
   0.00000,  -0.44232
   0.00000,  -0.44105
   0.00000,  -0.43972
   0.00000,  -0.43457
   0.00003,  -0.41246
   0.00002,  -0.40162
   0.00000,  -0.40022
   0.00008,  -0.36118
   0.00003,  -0.36256
   0.00026,  -0.30650
   0.00014,  -0.29943
   0.00015,  -0.28700
   0.00003,  -0.28014
   0.00000,  -0.28000
   0.00017,  -0.23478
   0.00004,  -0.21496
   0.00000,  -0.20788
   0.00024,  -0.14774
   0.00052,  -0.08815
   0.00043,  -0.01003
   0.00000,  -0.00548
   0.00011,  -0.00288
   0.00018,  -0.00248
   0.00710,   0.02811
   0.00003,   0.00871
   0.00086,   0.04237
   0.00011,   0.03978
   0.00142,   0.05192
   0.00002,   0.05411
   0.00009,   0.05666
   0.00012,   0.05671
   0.00001,   0.06573
   0.00005,   0.06653
   0.00009,   0.06743
   0.00003,   0.08877
   0.00006,   0.08871
   0.00003,   0.09040
   0.00000,   0.09036
   0.00003,   0.09118
   0.00001,   0.09813
   0.00004,   0.09859
   0.00001,   0.09860
   0.00001,   0.09834
   0.00000,   0.09980
   0.00000,   0.10301
   0.00000,   0.10471
   0.00001,   0.10479
   0.00002,   0.10673
   0.00000,   0.10656
   0.00001,   0.10752
   0.00001,   0.10908
   0.00002,   0.10376
   0.00000,   0.10445
