MSE, Q-LIKE
 690.04287,   3.28326
 654.47984,   3.25721
 174.11404,   2.60937
 658.56092,   3.26040
1153.31152,   3.53672
238395.01454,   6.19165
2155.68458,   3.84639
5674.15795,   4.32706
6922.05991,   4.42596
3880.09786,   4.13811
 740.51178,   3.31804
1588.72775,   3.69510
2515.77471,   3.92290
40162.79468,   5.30229
 465.32262,   3.08950
14763.79193,   4.80321
157083.95936,   5.98326
5244.19193,   4.28788
1699.07307,   3.72847
6422.39624,   4.38871
 768.35664,   3.33638
9988.55397,   4.60861
165794.66475,   6.01024
47954.72533,   5.39085
3046.60160,   4.01817
155496.19230,   5.97822
17064.01859,   4.87547
38947.65985,   5.28704
47604.01395,   5.38722
59765.00261,   5.50077
189820.34761,   6.07786
107442.91797,   5.79361
232657.00637,   6.17952
26835.05149,   5.10125
48080.53888,   5.39221
118731.90513,   5.84352
197342.67743,   6.09729
40543.89767,   5.30714
61589.83519,   5.51580
568431.86069,   6.62587
8620.48752,   4.53545
14008.59711,   4.77724
378964.52584,   6.42328
47799.44611,   5.38930
2973.35711,   4.00639
70717.63129,   5.58480
190728.06867,   6.08026
12774.38427,   4.73131
55745.14736,   5.46605
3546.95211,   4.09395
76491.49069,   5.62398
3686.13550,   4.11306
6286.10966,   4.37831
 785.07183,   3.34774
79105.65808,   5.64076
8137.66108,   4.50681
3403.29488,   4.07348
12674.73377,   4.72745
 616.16240,   3.22875
11578.57054,   4.68240
 249.31547,   2.78603
6575.60499,   4.40080
20775.50966,   4.97369
 953.80785,   3.44377
2861.10878,   3.98731
23370.65773,   5.03236
424622.07300,   6.48012
 232.24549,   2.75128
24180.08629,   5.04935
6413.65860,   4.38828
6635.01131,   4.40515
186617.26970,   6.06937
6707.07244,   4.41050
31634.91293,   5.18332
4624.64800,   4.22559
13934.42173,   4.77453
6676.41340,   4.40818
25714.45810,   5.07996
52596.84516,   5.43699
26111.75921,   5.08761
3440.32257,   4.07863
7756.67817,   4.48281
28983.83633,   5.13964
43880.56882,   5.34656
19504.25559,   4.94211
8434.36388,   4.52445
15033.97424,   4.81234
2020.08091,   3.81445
33215.43862,   5.20761
1507.08446,   3.66936
1607.58203,   3.70130
1705.36036,   3.73048
9359.77150,   4.57624
1868.49729,   3.77574
1603.33620,   3.69979
2820.50178,   3.97978
 798.28985,   3.35510
 220.18207,   2.72363
1654.85579,   3.71542
5746.64468,   4.33340
2384.29368,   3.89622
13048.68054,   4.74162
4883.39423,   4.25233
13641.66842,   4.76375
2953.91938,   4.00254
31946.43529,   5.18807
 795.64142,   3.35323
7760.95560,   4.48282
2890.53451,   3.99160
22211.87688,   5.00672
50474.30678,   5.41628
1429.85308,   3.64239
1623.93423,   3.70513
24736.54409,   5.06027
9390.17690,   4.57724
9318.12711,   4.57339
4390.38901,   4.19874
5463.56361,   4.30754
1363.07748,   3.61800
2507.97002,   3.92040
5541.48677,   4.31443
5582.90351,   4.31814
17740.23354,   4.89428
7257.00682,   4.44877
3771.75068,   4.12306
6632.47585,   4.40396
19080.54770,   4.93063
27647.59052,   5.11565
 799.64759,   3.35380
6462.78009,   4.39104
  50.89035,   2.01071
9995.88760,   4.60829
4026.95305,   4.15562
2016.78748,   3.81212
23005.53936,   5.02401
8819.96810,   4.54605
4207.99242,   4.17767
22150.98474,   5.00513
39032.11647,   5.28783
12921.91264,   4.73640
2477.37592,   3.91446
5344.38095,   4.29667
36252.35465,   5.25096
 283.02571,   2.84338
182005.33923,   6.05671
469819.24918,   6.53056
1161.41887,   3.53887
8082.33801,   4.50259
130543.84078,   5.89070
693621.18747,   6.72526
18884.14472,   4.92557
29808.13866,   5.15328
42231.60896,   5.32716
10149.80606,   4.61621
1142629.26763,   6.97478
1747486.12662,   7.18714
56745.60512,   5.47483
4343380.68206,   7.64227
498649.36306,   6.56040
701206.11575,   6.73078
3001494.23701,   7.45757
6085316.94207,   7.81088
3524057.97364,   7.53780
2209360.52373,   7.30444
19678071.88160,   8.39762
2119206.65977,   7.28364
24645810.42165,   8.51018
90095504.83426,   9.15826
295415931.73955,   9.75199
257009074.45173,   9.68236
41273499.15955,   8.76799
458537726.20409,   9.97181
15875826.98596,   8.29036
95074161.16083,   9.18517
13014184.88951,   8.19103
445347665.84085,   9.95723
15227196.82506,   8.26954
85115208.12120,   9.12986
83594214.19320,   9.12085
793773.72231,   6.79334
10593826.94973,   8.08819
34233880.96741,   8.67453
1351860.73228,   7.05933
18369181.19709,   8.36333
71789610.35732,   9.04474
3303871.54833,   7.50586
81677038.43354,   9.10925
8175550.15063,   7.95869
6541160.75562,   7.84721
3845425.99576,   7.58172
6077768.08447,   7.81049
1188457.88101,   6.99503
13869335.81145,   8.22287
2120535.78091,   7.28430
8064424.66333,   7.95185
4074700.12357,   7.61067
759268.60030,   6.77125
2565710.75677,   7.37952
2173058.29451,   7.29653
1469259.25491,   7.10101
32622450.50474,   8.65044
3094251.34779,   7.47313
