MSE, Q-LIKE
   0.00006,  -0.54701
   0.00007,  -0.54615
   0.00004,  -0.55493
   0.00003,  -0.55956
   0.00003,  -0.56053
   0.00003,  -0.56070
   0.00003,  -0.56126
   0.00004,  -0.55641
   0.00004,  -0.55491
   0.00001,  -0.57036
   0.00001,  -0.57177
   0.00001,  -0.57179
   0.00000,  -0.57657
   0.00000,  -0.57976
   0.00000,  -0.58509
   0.00000,  -0.58482
   0.00000,  -0.58497
   0.00000,  -0.58263
   0.00000,  -0.58422
   0.00000,  -0.58368
   0.00000,  -0.58534
   0.00000,  -0.58354
   0.00000,  -0.58899
   0.00000,  -0.58999
   0.00000,  -0.59007
   0.00000,  -0.59323
   0.00000,  -0.59474
   0.00000,  -0.59471
   0.00000,  -0.59684
   0.00000,  -0.59681
   0.00001,  -0.59794
   0.00001,  -0.60285
   0.00001,  -0.60295
   0.00001,  -0.60183
   0.00004,  -0.61717
   0.00004,  -0.61711
   0.00006,  -0.62455
   0.00005,  -0.61974
   0.00005,  -0.62013
   0.00004,  -0.61851
   0.00013,  -0.64188
   0.00011,  -0.63763
   0.00012,  -0.64048
   0.00013,  -0.64138
   0.00013,  -0.64151
   0.00013,  -0.64288
   0.00012,  -0.64035
   0.00012,  -0.64061
   0.00026,  -0.66488
   0.00026,  -0.66442
   0.00030,  -0.67143
   0.00040,  -0.68431
   0.00069,  -0.71456
   0.00076,  -0.72098
   0.00113,  -0.75064
   0.00114,  -0.75137
   0.00113,  -0.75060
   0.00114,  -0.75160
   0.00111,  -0.74921
   0.00117,  -0.75368
   0.00157,  -0.78026
   0.00157,  -0.77997
   0.00151,  -0.77634
   0.00145,  -0.77215
   0.00145,  -0.77244
   0.00143,  -0.77136
   0.00143,  -0.77142
   0.00143,  -0.77123
   0.00147,  -0.77352
   0.00146,  -0.77295
   0.00146,  -0.77297
   0.00146,  -0.77325
   0.00146,  -0.77327
   0.00130,  -0.76272
   0.00107,  -0.74650
   0.00105,  -0.74458
   0.00104,  -0.74420
   0.00107,  -0.74613
   0.00094,  -0.73617
   0.00093,  -0.73543
   0.00093,  -0.73510
   0.00090,  -0.73321
   0.00091,  -0.73419
   0.00090,  -0.73282
   0.00090,  -0.73275
   0.00091,  -0.73349
   0.00094,  -0.73607
   0.00093,  -0.73539
   0.00093,  -0.73547
   0.00094,  -0.73587
   0.00094,  -0.73600
   0.00094,  -0.73585
   0.00091,  -0.73342
   0.00051,  -0.69703
   0.00018,  -0.65137
   0.00015,  -0.64597
   0.00004,  -0.61538
   0.00002,  -0.60713
   0.00000,  -0.59357
   0.00003,  -0.56028
   0.00027,  -0.50671
   0.00041,  -0.48711
   0.00046,  -0.48164
   0.00169,  -0.38525
   0.00210,  -0.36273
   0.00336,  -0.30308
   0.00790,  -0.15208
   0.01909,   0.08862
   0.02840,   0.23702
   0.02844,   0.23757
   0.04048,   0.39661
   0.04139,   0.40766
   0.04204,   0.41540
   0.04435,   0.44265
   0.06559,   0.66495
   0.06841,   0.69160
   0.06908,   0.69782
   0.07046,   0.71058
   0.07064,   0.71224
   0.07190,   0.72373
   0.07695,   0.76897
   0.07698,   0.76929
   0.07787,   0.77712
   0.08804,   0.86338
   0.08920,   0.87293
   0.09072,   0.88527
   0.09125,   0.88954
   0.09262,   0.90060
   0.09282,   0.90219
   0.09447,   0.91540
   0.09485,   0.91843
   0.09805,   0.94358
   0.09875,   0.94903
   0.09919,   0.95244
   0.09915,   0.95216
   0.09915,   0.95214
   0.09902,   0.95117
   0.09921,   0.95261
   0.10003,   0.95899
   0.10465,   0.99427
   0.10627,   1.00639
   0.10688,   1.01098
