MSE, Q-LIKE
   0.00000,  -0.56504
   0.00000,  -0.56527
   0.00000,  -0.56368
   0.00000,  -0.56286
   0.00000,  -0.56292
   0.00000,  -0.56226
   0.00000,  -0.56156
   0.00000,  -0.56082
   0.00000,  -0.56087
   0.00000,  -0.56130
   0.00000,  -0.56125
   0.00000,  -0.56463
   0.00000,  -0.56457
   0.00000,  -0.56434
   0.00001,  -0.55318
   0.00000,  -0.55346
   0.00000,  -0.55054
   0.00000,  -0.55012
   0.00000,  -0.54927
   0.00000,  -0.54777
   0.00000,  -0.54694
   0.00000,  -0.55537
   0.00000,  -0.55990
   0.00000,  -0.56086
   0.00000,  -0.56102
   0.00000,  -0.56157
   0.00000,  -0.55683
   0.00000,  -0.55540
   0.00001,  -0.57036
   0.00000,  -0.57186
   0.00000,  -0.57189
   0.00000,  -0.57660
   0.00000,  -0.57978
   0.00000,  -0.58506
   0.00000,  -0.58482
   0.00000,  -0.58497
   0.00000,  -0.58263
   0.00000,  -0.58422
   0.00000,  -0.58368
   0.00000,  -0.58534
   0.00000,  -0.58354
   0.00000,  -0.58897
   0.00000,  -0.59000
   0.00000,  -0.59007
   0.00000,  -0.59325
   0.00000,  -0.59477
   0.00000,  -0.59475
   0.00000,  -0.59689
   0.00000,  -0.59686
   0.00000,  -0.59801
   0.00000,  -0.60297
   0.00000,  -0.60309
   0.00000,  -0.60195
   0.00001,  -0.61753
   0.00000,  -0.61759
   0.00000,  -0.62527
   0.00000,  -0.62029
   0.00000,  -0.62072
   0.00000,  -0.61904
   0.00002,  -0.64317
   0.00000,  -0.63899
   0.00000,  -0.64200
   0.00000,  -0.64295
   0.00000,  -0.64309
   0.00000,  -0.64454
   0.00000,  -0.64186
   0.00000,  -0.64213
   0.00002,  -0.66781
   0.00000,  -0.66762
   0.00000,  -0.67523
   0.00001,  -0.68934
   0.00004,  -0.72296
   0.00001,  -0.73074
   0.00005,  -0.76494
   0.00000,  -0.76663
   0.00000,  -0.76576
   0.00000,  -0.76696
   0.00000,  -0.76410
   0.00000,  -0.76945
   0.00003,  -0.80136
   0.00000,  -0.80149
   0.00000,  -0.79705
   0.00000,  -0.79187
   0.00000,  -0.79224
   0.00000,  -0.79092
   0.00000,  -0.79099
   0.00000,  -0.79077
   0.00000,  -0.79357
   0.00000,  -0.79287
   0.00000,  -0.79290
   0.00000,  -0.79325
   0.00000,  -0.79327
   0.00000,  -0.78030
   0.00001,  -0.76068
   0.00000,  -0.75858
   0.00000,  -0.75813
   0.00000,  -0.76043
   0.00000,  -0.74858
   0.00000,  -0.74778
   0.00000,  -0.74739
   0.00000,  -0.74517
   0.00000,  -0.74632
   0.00000,  -0.74472
   0.00000,  -0.74464
   0.00000,  -0.74550
   0.00000,  -0.74853
   0.00000,  -0.74773
   0.00000,  -0.74783
   0.00000,  -0.74830
   0.00000,  -0.74845
   0.00000,  -0.74827
   0.00000,  -0.74542
   0.00006,  -0.70272
   0.00016,  -0.65116
   0.00009,  -0.64647
   0.00017,  -0.61343
   0.00009,  -0.60616
   0.00008,  -0.59259
   0.00010,  -0.55940
   0.00026,  -0.50681
   0.00016,  -0.49001
   0.00008,  -0.48597
   0.00067,  -0.39666
   0.00041,  -0.38091
   0.00057,  -0.33224
   0.00201,  -0.21120
   0.00653,  -0.03099
   0.00945,   0.06478
   0.00672,   0.04807
   0.01010,   0.14281
   0.00745,   0.13437
   0.00513,   0.12736
   0.00361,   0.13403
   0.00770,   0.24912
   0.00476,   0.25044
   0.00249,   0.24625
   0.00099,   0.24765
   0.00019,   0.24637
   0.00001,   0.25094
   0.00005,   0.27041
   0.00000,   0.27044
   0.00000,   0.27376
   0.00028,   0.31018
   0.00000,   0.31350
   0.00000,   0.31850
   0.00000,   0.32023
   0.00001,   0.32469
   0.00000,   0.32532
   0.00001,   0.33063
   0.00001,   0.33184
   0.00003,   0.34186
   0.00000,   0.34397
   0.00000,   0.34532
   0.00000,   0.34520
   0.00000,   0.34520
   0.00000,   0.34481
   0.00000,   0.34539
   0.00001,   0.34791
   0.00009,   0.36181
   0.00008,   0.36648
   0.00005,   0.36820
   0.22640,   1.26181
   0.18416,   1.19113
   0.15382,   1.14736
   0.12457,   1.11014
   0.09639,   1.07852
   0.07019,   1.05263
   0.04678,   1.03226
   0.02699,   1.01711
   0.01190,   1.00694
   0.00270,   1.00145
   0.00001,   1.00001
   0.00184,   1.00087
   0.00578,   1.00262
   0.01227,   1.00533
   0.02127,   1.00886
   0.03251,   1.01301
   0.04436,   1.01716
   0.05289,   1.02002
   0.05261,   1.01993
   0.04756,   1.01824
