MSE, Q-LIKE
   0.00003,  -0.56464
   0.00000,  -0.56523
   0.00000,  -0.56367
   0.00000,  -0.56283
   0.00000,  -0.56292
   0.00000,  -0.56226
   0.00000,  -0.56156
   0.00000,  -0.56080
   0.00000,  -0.56087
   0.00000,  -0.56128
   0.00000,  -0.56124
   0.00001,  -0.56453
   0.00000,  -0.56457
   0.00000,  -0.56431
   0.00000,  -0.55323
   0.00000,  -0.55340
   0.00001,  -0.55049
   0.00000,  -0.55012
   0.00000,  -0.54922
   0.00000,  -0.54776
   0.00000,  -0.54694
   0.00001,  -0.55535
   0.00000,  -0.55991
   0.00000,  -0.56086
   0.00000,  -0.56101
   0.00000,  -0.56157
   0.00001,  -0.55676
   0.00000,  -0.55539
   0.00001,  -0.57039
   0.00000,  -0.57186
   0.00000,  -0.57189
   0.00000,  -0.57662
   0.00000,  -0.57978
   0.00000,  -0.58507
   0.00000,  -0.58482
   0.00000,  -0.58497
   0.00000,  -0.58262
   0.00000,  -0.58419
   0.00000,  -0.58364
   0.00000,  -0.58532
   0.00000,  -0.58354
   0.00000,  -0.58897
   0.00000,  -0.59000
   0.00000,  -0.59007
   0.00000,  -0.59324
   0.00000,  -0.59477
   0.00000,  -0.59474
   0.00000,  -0.59688
   0.00000,  -0.59686
   0.00000,  -0.59800
   0.00000,  -0.60297
   0.00000,  -0.60305
   0.00000,  -0.60194
   0.00001,  -0.61756
   0.00000,  -0.61755
   0.00000,  -0.62527
   0.00000,  -0.62028
   0.00000,  -0.62069
   0.00000,  -0.61903
   0.00002,  -0.64320
   0.00000,  -0.63899
   0.00000,  -0.64200
   0.00000,  -0.64295
   0.00000,  -0.64309
   0.00000,  -0.64453
   0.00000,  -0.64186
   0.00000,  -0.64213
   0.00002,  -0.66791
   0.00000,  -0.66762
   0.00001,  -0.67510
   0.00001,  -0.68933
   0.00004,  -0.72298
   0.00001,  -0.73082
   0.00006,  -0.76480
   0.00002,  -0.76641
   0.00000,  -0.76570
   0.00000,  -0.76696
   0.00000,  -0.76407
   0.00001,  -0.76937
   0.00003,  -0.80138
   0.00000,  -0.80147
   0.00000,  -0.79703
   0.00001,  -0.79162
   0.00000,  -0.79224
   0.00000,  -0.79091
   0.00000,  -0.79099
   0.00000,  -0.79075
   0.00000,  -0.79356
   0.00000,  -0.79286
   0.00000,  -0.79289
   0.00000,  -0.79325
   0.00000,  -0.79327
   0.00000,  -0.78032
   0.00001,  -0.76064
   0.00000,  -0.75858
   0.00000,  -0.75813
   0.00000,  -0.76043
   0.00000,  -0.74858
   0.00000,  -0.74778
   0.00000,  -0.74739
   0.00000,  -0.74514
   0.00000,  -0.74630
   0.00000,  -0.74472
   0.00000,  -0.74464
   0.00000,  -0.74549
   0.00000,  -0.74852
   0.00000,  -0.74772
   0.00000,  -0.74781
   0.00000,  -0.74829
   0.00000,  -0.74842
   0.00000,  -0.74827
   0.00000,  -0.74541
   0.00006,  -0.70263
   0.00017,  -0.65099
   0.00010,  -0.64639
   0.00015,  -0.61378
   0.00016,  -0.60520
   0.00013,  -0.59189
   0.00019,  -0.55824
   0.00053,  -0.50347
   0.00027,  -0.48878
   0.00021,  -0.48449
   0.00096,  -0.39363
   0.00036,  -0.38138
   0.00031,  -0.33445
   0.00141,  -0.21587
   0.00434,  -0.04606
   0.00270,   0.02612
   0.00025,   0.01559
   0.00048,   0.09980
   0.00217,   0.11143
   0.02865,   0.16111
   0.00003,   0.12126
   0.00104,   0.22737
   0.00001,   0.23692
   0.00554,   0.25002
   0.00022,   0.24571
   0.00017,   0.24630
   0.00104,   0.25347
   0.00001,   0.27032
   0.00000,   0.27044
   0.00079,   0.27559
   0.00032,   0.31028
   0.00000,   0.31350
   0.00058,   0.31971
   0.00012,   0.32047
   0.00043,   0.32557
   0.00000,   0.32533
   0.00057,   0.33178
   0.00005,   0.33192
   0.00055,   0.34290
   0.00012,   0.34420
   0.00016,   0.34562
   0.00006,   0.34531
   0.00002,   0.34523
   0.00036,   0.34552
   0.00018,   0.34573
   0.00027,   0.34841
   0.00051,   0.36262
   0.00025,   0.36681
   0.00024,   0.36856
