MSE, Q-LIKE
4776.91162,   4.24455
20767.54153,   4.97479
3674.87516,   4.11467
2825.21536,   3.98472
74283.90440,   5.61008
108953.23943,   5.80120
50539.59142,   5.41801
35687.25410,   5.24457
123730.11917,   5.86470
26115.10893,   5.08899
71319.62245,   5.58980
85238.54878,   5.67874
2269164.37611,   7.31788
11831.58084,   4.69500
56459.78078,   5.47328
18895.38227,   4.92789
27480.53582,   5.11439
75244.08656,   5.61653
158596.98615,   5.98864
797658.22172,   6.79542
28990.27311,   5.14104
35757.64410,   5.24560
464870.41892,   6.52569
862474.94862,   6.83446
117048.04217,   5.83700
235848.83938,   6.18676
37284.94137,   5.26643
96450.44732,   5.74043
72888.93687,   5.60069
145145.03416,   5.94441
84007.77738,   5.67152
72654.71359,   5.59909
90078.63253,   5.70633
7231.71238,   4.45056
35209.23779,   5.23792
6138.88782,   4.36929
461216.32098,   6.52175
111672.82506,   5.81357
48737.38480,   5.39998
41077.10044,   5.31475
 593.36216,   3.21897
689461.48404,   6.72261
29701.49311,   5.15319
13679.74089,   4.76730
3150.57597,   4.03904
33761.21771,   5.21702
495591.86702,   6.55766
550002.72825,   6.60970
3248.63287,   4.05418
5139.44568,   4.28125
2414.17755,   3.90752
24434.10647,   5.05595
156449.12914,   5.98186
423711.64780,   6.47939
281028.95163,   6.27431
14320.99957,   4.79007
18432.83897,   4.91565
6356.21862,   4.38659
 585.43101,   3.21232
8157.27663,   4.51039
46911.91381,   5.38096
2207.95156,   3.86344
4710.40819,   4.23795
1467.15170,   3.66189
1744.28254,   3.74705
37691.58782,   5.27184
10924.94976,   4.65540
41202.63698,   5.31630
626996.66128,   6.67517
95185.21413,   5.73389
14618.24802,   4.80037
2911.75447,   4.00021
11673.86018,   4.68854
14950.73978,   4.81153
11132.08060,   4.66492
29374.99662,   5.14764
7123.34325,   4.44299
14431.36782,   4.79380
10208.96424,   4.62171
6972912.53902,   7.87901
1019383.76153,   6.91798
63388.10921,   5.53101
216732.84027,   6.14456
146856.61851,   5.95026
307224.54922,   6.31881
8843.45553,   4.55042
85122.00207,   5.67808
17925.21960,   4.90169
88943.93471,   5.69999
38424.80598,   5.28144
58210.99809,   5.48850
79528.81007,   5.64415
55464.57065,   5.46440
23361.60609,   5.03350
96565.95257,   5.74099
1627713.32086,   7.15183
30378.18713,   5.16427
2051.68977,   3.82677
168201.70575,   6.01796
45134.15969,   5.36158
11720.19673,   4.69011
14230.66983,   4.78663
58622.24644,   5.49192
18213.20577,   4.90940
36842.02419,   5.26032
6041.36777,   4.36090
16594.16306,   4.86306
7592.81254,   4.47442
51232.09049,   5.42473
10480.05247,   4.63448
7098.65104,   4.44093
225992.92661,   6.16539
1126.93721,   3.53136
11913.28140,   4.69815
7486.86199,   4.46716
36125.49660,   5.25043
79812.94255,   5.64578
972106.56978,   6.89420
5153.36657,   4.28179
41316.21677,   5.31734
7647.37424,   4.47753
133284.76728,   5.90168
15104.47406,   4.81596
22805.77007,   5.02112
86821.73730,   5.68772
4539.23433,   4.21860
32143.11104,   5.19212
34585.81239,   5.22863
63706.98045,   5.53326
41356.08450,   5.31776
43110.98668,   5.33850
 386.75701,   3.00743
12225.23279,   4.71077
4896.98856,   4.25632
42097.97148,   5.32666
96227.03102,   5.73907
103706.00724,   5.77643
58677.03136,   5.49221
314132.79244,   6.32978
52576.36070,   5.43745
41944.54845,   5.32477
128532.88630,   5.88353
110778.78898,   5.80934
179679.53887,   6.05079
189399.24290,   6.07710
38045.89880,   5.27617
27640.66037,   5.11691
57019.92716,   5.47794
42040.23368,   5.32594
44305.02865,   5.35210
13576.42820,   4.76287
1971.36675,   3.80586
163407.75488,   6.00340
1550034.74090,   7.12735
846960.48399,   6.82533
169685.16744,   6.02224
443782.90316,   6.50242
3616.80889,   4.10646
1062929.65615,   6.93885
817387.08435,   6.80760
713791.02257,   6.73988
51673.90282,   5.42909
356811.92082,   6.39353
2083585.16259,   7.27528
4321188.68595,   7.63985
68900382.71766,   9.02418
25609019.64243,   8.52940
613954816.85873,  10.11775
623167978.76138,  10.12521
405446332.97520,   9.91030
1356662588.83645,  10.51418
308511552.11295,   9.77370
403559364.24718,   9.90797
44350240.67586,   8.80399
20471830.51769,   8.41755
174283771.77445,   9.48819
1299454947.33195,  10.49264
1089915767.81168,  10.40472
186499527.59173,   9.52207
167761582.41438,   9.46913
226515254.22441,   9.61925
36926179.19360,   8.71244
153978655.36132,   9.42627
11884866.93662,   8.14580
172445779.35936,   9.48290
371766951.78948,   9.86696
123186654.09051,   9.31473
2188931.71588,   7.30041
60307913.74257,   8.95767
14316841.44997,   8.23885
6496201.35698,   7.84392
9424517.24217,   8.02988
55447488.31538,   8.91567
188196550.99980,   9.52660
26132555.87943,   8.53963
3666461.68419,   7.55813
7362352.61431,   7.90648
6451892.33449,   7.84052
19342631.73582,   8.38924
21352726.14888,   8.43866
6176032.12292,   7.81868
8964884.29362,   8.00490
