MSE, Q-LIKE
   0.00000,  -0.14133
   0.00000,  -0.14078
   0.00001,  -0.15157
   0.00001,  -0.15483
   0.00001,  -0.15478
   0.00001,  -0.15478
   0.00002,  -0.15764
   0.00001,  -0.13342
   0.00003,  -0.12769
   0.00003,  -0.12647
   0.00003,  -0.12594
   0.00003,  -0.12662
   0.00003,  -0.12653
   0.00002,  -0.12966
   0.00003,  -0.12772
   0.00000,  -0.15033
   0.00002,  -0.15740
   0.00002,  -0.15720
   0.00002,  -0.15838
   0.00002,  -0.15742
   0.00002,  -0.15744
   0.00002,  -0.15713
   0.00002,  -0.15669
   0.00000,  -0.14682
   0.00000,  -0.14627
   0.00001,  -0.15201
   0.00001,  -0.15343
   0.00001,  -0.15381
   0.00001,  -0.15407
   0.00001,  -0.15526
   0.00004,  -0.16552
   0.00004,  -0.16529
   0.00004,  -0.16450
   0.00005,  -0.16582
   0.00005,  -0.16656
   0.00004,  -0.16544
   0.00010,  -0.17649
   0.00010,  -0.17520
   0.00010,  -0.17552
   0.00014,  -0.18222
   0.00025,  -0.19461
   0.00028,  -0.19689
   0.00032,  -0.20029
   0.00032,  -0.20023
   0.00032,  -0.20105
   0.00033,  -0.20144
   0.00032,  -0.20054
   0.00024,  -0.19269
   0.00024,  -0.19307
   0.00031,  -0.19953
   0.00035,  -0.20285
   0.00035,  -0.20363
   0.00035,  -0.20351
   0.00042,  -0.20902
   0.00076,  -0.23087
   0.00077,  -0.23140
   0.00075,  -0.23071
   0.00079,  -0.23264
   0.00074,  -0.22991
   0.00091,  -0.23902
   0.00119,  -0.25302
   0.00118,  -0.25247
   0.00131,  -0.25836
   0.00130,  -0.25764
   0.00133,  -0.25916
   0.00133,  -0.25916
   0.00133,  -0.25920
   0.00133,  -0.25905
   0.00132,  -0.25879
   0.00130,  -0.25789
   0.00120,  -0.25310
   0.00122,  -0.25396
   0.00112,  -0.24949
   0.00109,  -0.24794
   0.00107,  -0.24734
   0.00107,  -0.24738
   0.00104,  -0.24587
   0.00151,  -0.26661
   0.00148,  -0.26546
   0.00148,  -0.26539
   0.00156,  -0.26870
   0.00153,  -0.26743
   0.00136,  -0.26014
   0.00134,  -0.25961
   0.00127,  -0.25643
   0.00127,  -0.25645
   0.00130,  -0.25761
   0.00129,  -0.25735
   0.00129,  -0.25714
   0.00134,  -0.25937
   0.00134,  -0.25943
   0.00136,  -0.26028
   0.00133,  -0.25911
   0.00119,  -0.25273
   0.00098,  -0.24280
   0.00098,  -0.24261
   0.00068,  -0.22636
   0.00053,  -0.21707
   0.00035,  -0.20287
   0.00031,  -0.19997
   0.00031,  -0.19949
   0.00004,  -0.16551
   0.00004,  -0.16511
   0.00059,  -0.06823
   0.00043,  -0.07934
   0.00485,   0.07435
   0.01364,   0.22239
   0.01629,   0.25645
   0.04095,   0.49106
   0.04146,   0.49508
   0.05674,   0.60364
   0.05725,   0.60702
   0.05747,   0.60843
   0.06259,   0.64131
   0.07949,   0.74101
   0.10342,   0.86558
   0.11219,   0.90752
   0.11793,   0.93413
   0.11947,   0.94112
   0.11916,   0.93971
   0.12779,   0.97827
   0.12928,   0.98482
   0.12882,   0.98278
   0.14670,   1.05851
   0.14690,   1.05932
   0.14773,   1.06270
   0.14844,   1.06559
   0.14866,   1.06649
   0.14908,   1.06823
   0.14987,   1.07141
   0.15317,   1.08474
   0.16425,   1.12841
   0.16666,   1.13772
   0.16792,   1.14257
   0.16794,   1.14265
   0.16824,   1.14379
   0.17008,   1.15082
   0.17008,   1.15082
   0.17042,   1.15210
   0.17253,   1.16010
   0.17272,   1.16081
   0.17425,   1.16658
