MSE, Q-LIKE
   0.00000,  -0.13603
   0.00000,  -0.13808
   0.00000,  -0.13819
   0.00000,  -0.13795
   0.00000,  -0.13841
   0.00000,  -0.14039
   0.00000,  -0.13959
   0.00000,  -0.13955
   0.00000,  -0.13964
   0.00000,  -0.13965
   0.00000,  -0.13967
   0.00000,  -0.13929
   0.00000,  -0.13927
   0.00000,  -0.13891
   0.00000,  -0.14057
   0.00000,  -0.14033
   0.00000,  -0.14101
   0.00000,  -0.14115
   0.00000,  -0.14135
   0.00000,  -0.14134
   0.00000,  -0.14079
   0.00001,  -0.15154
   0.00000,  -0.15488
   0.00000,  -0.15484
   0.00000,  -0.15483
   0.00000,  -0.15772
   0.00007,  -0.13315
   0.00002,  -0.12775
   0.00000,  -0.12662
   0.00000,  -0.12611
   0.00000,  -0.12678
   0.00000,  -0.12669
   0.00000,  -0.12976
   0.00000,  -0.12786
   0.00006,  -0.15008
   0.00001,  -0.15742
   0.00000,  -0.15728
   0.00000,  -0.15848
   0.00000,  -0.15750
   0.00000,  -0.15752
   0.00000,  -0.15721
   0.00000,  -0.15677
   0.00001,  -0.14677
   0.00000,  -0.14627
   0.00000,  -0.15202
   0.00000,  -0.15347
   0.00000,  -0.15386
   0.00000,  -0.15411
   0.00000,  -0.15532
   0.00001,  -0.16570
   0.00000,  -0.16551
   0.00000,  -0.16471
   0.00000,  -0.16605
   0.00000,  -0.16681
   0.00000,  -0.16566
   0.00001,  -0.17695
   0.00000,  -0.17568
   0.00000,  -0.17602
   0.00000,  -0.18293
   0.00002,  -0.19582
   0.00000,  -0.19831
   0.00000,  -0.20190
   0.00000,  -0.20185
   0.00000,  -0.20272
   0.00000,  -0.20313
   0.00000,  -0.20217
   0.00001,  -0.19386
   0.00000,  -0.19429
   0.00000,  -0.20108
   0.00000,  -0.20461
   0.00000,  -0.20545
   0.00000,  -0.20532
   0.00000,  -0.21117
   0.00005,  -0.23455
   0.00000,  -0.23541
   0.00000,  -0.23465
   0.00000,  -0.23676
   0.00000,  -0.23377
   0.00001,  -0.24374
   0.00002,  -0.25925
   0.00000,  -0.25876
   0.00000,  -0.26536
   0.00000,  -0.26457
   0.00000,  -0.26629
   0.00000,  -0.26629
   0.00000,  -0.26633
   0.00000,  -0.26616
   0.00000,  -0.26587
   0.00000,  -0.26485
   0.00000,  -0.25944
   0.00000,  -0.26043
   0.00000,  -0.25541
   0.00000,  -0.25369
   0.00000,  -0.25302
   0.00000,  -0.25307
   0.00000,  -0.25139
   0.00004,  -0.27448
   0.00000,  -0.27343
   0.00000,  -0.27335
   0.00000,  -0.27711
   0.00000,  -0.27567
   0.00000,  -0.26736
   0.00000,  -0.26680
   0.00000,  -0.26320
   0.00000,  -0.26323
   0.00000,  -0.26454
   0.00000,  -0.26424
   0.00000,  -0.26401
   0.00000,  -0.26652
   0.00000,  -0.26659
   0.00000,  -0.26755
   0.00000,  -0.26623
   0.00000,  -0.25902
   0.00001,  -0.24792
   0.00000,  -0.24777
   0.00003,  -0.22975
   0.00001,  -0.21979
   0.00002,  -0.20452
   0.00000,  -0.20156
   0.00000,  -0.20106
   0.00012,  -0.16511
   0.00001,  -0.16526
   0.00103,  -0.06598
   0.00029,  -0.08002
   0.00338,   0.06732
   0.00868,   0.19954
   0.00820,   0.22048
   0.02326,   0.41512
   0.01911,   0.40251
   0.02526,   0.47750
   0.02082,   0.46566
   0.01669,   0.45472
   0.01521,   0.46787
   0.01904,   0.52698
   0.02440,   0.59675
   0.02240,   0.61132
   0.01892,   0.61660
   0.01471,   0.61236
   0.01089,   0.60541
   0.01056,   0.62261
   0.00797,   0.62177
   0.00540,   0.61722
   0.00719,   0.65401
   0.00433,   0.65071
   0.00290,   0.65050
   0.00173,   0.65044
   0.00100,   0.65003
   0.00050,   0.65026
   0.00036,   0.65156
   0.00039,   0.65757
   0.00076,   0.67734
   0.00041,   0.68106
   0.00030,   0.68308
   0.00016,   0.68297
   0.00012,   0.68343
   0.00012,   0.68650
   0.00008,   0.68646
   0.00004,   0.68698
   0.00005,   0.69047
   0.00002,   0.69075
   0.00001,   0.69324
   0.07097,   1.05335
   0.04765,   1.03297
   0.03279,   1.02135
   0.02025,   1.01241
   0.01025,   1.00590
   0.00343,   1.00186
   0.00026,   1.00013
   0.00029,   1.00014
   0.00119,   1.00057
   0.00268,   1.00125
   0.00494,   1.00226
   0.00809,   1.00361
   0.01212,   1.00527
   0.01702,   1.00722
   0.02263,   1.00938
   0.02866,   1.01162
   0.03413,   1.01359
   0.03683,   1.01455
   0.03415,   1.01360
   0.02935,   1.01187
