MSE, Q-LIKE
   0.00003,  -0.13588
   0.00000,  -0.13808
   0.00000,  -0.13817
   0.00000,  -0.13794
   0.00000,  -0.13841
   0.00000,  -0.14039
   0.00000,  -0.13959
   0.00000,  -0.13955
   0.00000,  -0.13964
   0.00000,  -0.13963
   0.00000,  -0.13966
   0.00000,  -0.13927
   0.00000,  -0.13927
   0.00000,  -0.13890
   0.00000,  -0.14057
   0.00001,  -0.14030
   0.00000,  -0.14100
   0.00000,  -0.14115
   0.00000,  -0.14133
   0.00000,  -0.14133
   0.00000,  -0.14079
   0.00002,  -0.15152
   0.00000,  -0.15489
   0.00000,  -0.15484
   0.00000,  -0.15483
   0.00000,  -0.15772
   0.00009,  -0.13303
   0.00002,  -0.12775
   0.00000,  -0.12661
   0.00000,  -0.12610
   0.00000,  -0.12678
   0.00000,  -0.12669
   0.00000,  -0.12976
   0.00000,  -0.12786
   0.00008,  -0.14999
   0.00001,  -0.15741
   0.00000,  -0.15725
   0.00000,  -0.15846
   0.00001,  -0.15747
   0.00000,  -0.15750
   0.00000,  -0.15721
   0.00000,  -0.15676
   0.00001,  -0.14678
   0.00000,  -0.14627
   0.00000,  -0.15204
   0.00000,  -0.15347
   0.00000,  -0.15384
   0.00000,  -0.15410
   0.00000,  -0.15532
   0.00002,  -0.16566
   0.00000,  -0.16551
   0.00000,  -0.16470
   0.00000,  -0.16604
   0.00000,  -0.16681
   0.00000,  -0.16565
   0.00001,  -0.17694
   0.00000,  -0.17568
   0.00000,  -0.17601
   0.00000,  -0.18294
   0.00002,  -0.19582
   0.00000,  -0.19831
   0.00000,  -0.20191
   0.00000,  -0.20185
   0.00000,  -0.20271
   0.00000,  -0.20312
   0.00000,  -0.20217
   0.00000,  -0.19387
   0.00000,  -0.19428
   0.00000,  -0.20108
   0.00001,  -0.20456
   0.00000,  -0.20545
   0.00000,  -0.20532
   0.00000,  -0.21119
   0.00006,  -0.23451
   0.00000,  -0.23539
   0.00000,  -0.23465
   0.00000,  -0.23676
   0.00000,  -0.23378
   0.00002,  -0.24367
   0.00002,  -0.25923
   0.00000,  -0.25876
   0.00001,  -0.26533
   0.00002,  -0.26448
   0.00000,  -0.26629
   0.00000,  -0.26629
   0.00000,  -0.26633
   0.00000,  -0.26616
   0.00000,  -0.26587
   0.00000,  -0.26485
   0.00000,  -0.25943
   0.00000,  -0.26043
   0.00000,  -0.25541
   0.00000,  -0.25369
   0.00000,  -0.25302
   0.00000,  -0.25307
   0.00000,  -0.25139
   0.00003,  -0.27455
   0.00000,  -0.27343
   0.00000,  -0.27335
   0.00000,  -0.27710
   0.00000,  -0.27566
   0.00000,  -0.26739
   0.00000,  -0.26680
   0.00000,  -0.26320
   0.00000,  -0.26323
   0.00000,  -0.26454
   0.00000,  -0.26424
   0.00000,  -0.26400
   0.00000,  -0.26651
   0.00000,  -0.26658
   0.00000,  -0.26756
   0.00000,  -0.26622
   0.00001,  -0.25901
   0.00001,  -0.24791
   0.00000,  -0.24776
   0.00001,  -0.22982
   0.00003,  -0.21966
   0.00003,  -0.20448
   0.00000,  -0.20155
   0.00000,  -0.20105
   0.00011,  -0.16513
   0.00002,  -0.16523
   0.00104,  -0.06593
   0.00020,  -0.08045
   0.00287,   0.06501
   0.00760,   0.19500
   0.00687,   0.21531
   0.01580,   0.38943
   0.01031,   0.37512
   0.01293,   0.44228
   0.01536,   0.45040
   0.00004,   0.41687
   0.00603,   0.44671
   0.00263,   0.49383
   0.01009,   0.56913
   0.00285,   0.57808
   0.01085,   0.60276
   0.00570,   0.59816
   0.00976,   0.60362
   0.00562,   0.61542
   0.00452,   0.61696
   0.00665,   0.61895
   0.00587,   0.65230
   0.00321,   0.64935
   0.00444,   0.65236
   0.00259,   0.65144
   0.00268,   0.65194
   0.00111,   0.65094
   0.00199,   0.65335
   0.00089,   0.65811
   0.00255,   0.67925
   0.00127,   0.68195
   0.00102,   0.68381
   0.00056,   0.68337
   0.00029,   0.68360
   0.00103,   0.68740
   0.00042,   0.68680
   0.00042,   0.68735
   0.00035,   0.69076
   0.00006,   0.69078
   0.00004,   0.69327
