MSE, Q-LIKE
164571.00550,   6.00711
 870.08040,   3.40564
13795.22852,   4.77143
 586.70109,   3.21321
82301.68876,   5.66128
19631.18472,   4.94696
10742.25352,   4.64715
19147.29809,   4.93459
467815.88217,   6.52885
395531.61448,   6.44501
107036.22651,   5.79242
2088102.91920,   7.27633
85657.77066,   5.68125
61758.53392,   5.51807
263804.39954,   6.24273
65263.85464,   5.54561
145278.13267,   5.94489
867007.54034,   6.83709
318227.56437,   6.33640
196282.84112,   6.09510
98757.54332,   5.75225
380074.31419,   6.42511
34754.17586,   5.23149
398551.54277,   6.44882
159856.90549,   5.99262
38929.63472,   5.28799
152937.77888,   5.97053
480933.66468,   6.54266
115883.19463,   5.83206
189526.41559,   6.07762
4393.54910,   4.20359
7773.86662,   4.48650
14872.63295,   4.80889
81819.49271,   5.65838
243552.92882,   6.20284
265413.81562,   6.24577
68110.72664,   5.56692
69239.01641,   5.57511
41584.23818,   5.32092
107591.74756,   5.79503
130725.23414,   5.89223
361512.45250,   6.40011
71837.99602,   5.59352
128861.61276,   5.88506
178338.53340,   6.04726
80368.38846,   5.64949
416003.36378,   6.47023
19941.81760,   4.95488
343189.81614,   6.37413
75653.93200,   5.61932
111858.15438,   5.81443
104642.09906,   5.78116
16691.85294,   4.86635
70568.37886,   5.58461
13700.54853,   4.76816
154667.98871,   5.97618
277780.66040,   6.26853
286419.37817,   6.28382
143179.91754,   5.93765
27483.04118,   5.11458
2223.57731,   3.86717
25684.08078,   5.08087
205699.31927,   6.11853
41604.94394,   5.32118
140267.68913,   5.92740
22945.45811,   5.02475
210158.60394,   6.12923
7040.00270,   4.43744
112499.10697,   5.81728
838644.80960,   6.82048
48505.45987,   5.39764
60815.20196,   5.51033
134655.98932,   5.90693
37710.71844,   5.27203
30624.90586,   5.16831
14364.27758,   4.79140
10793.25691,   4.64926
19842.75978,   4.95220
2894.58145,   3.99676
157816.95039,   5.98615
16189.53116,   4.85092
17789.44553,   4.89780
124358.68515,   5.86720
11874.55352,   4.69666
93737.56223,   5.72610
79542.62921,   5.64417
42173.15045,   5.32771
1874162.11348,   7.22228
9390.99089,   4.57996
2142.96300,   3.84793
2577.01315,   3.93896
64329.54429,   5.53824
1144945.98140,   6.97599
36636.16436,   5.25751
8436.67952,   4.52664
11601.32292,   4.68496
3009.88160,   4.01551
5087.50479,   4.27550
4757.07402,   4.24214
8024.29423,   4.50160
18185.21080,   4.90836
9115.45145,   4.56477
4009.55574,   4.15702
69276.28388,   5.57505
 624.32180,   3.24054
1447.15696,   3.65331
7836.41346,   4.48958
8858.36801,   4.55050
31993.59047,   5.18977
1219.17631,   3.56888
1107.18954,   3.52148
6033.57592,   4.35973
2519.90210,   3.92708
15818.68609,   4.83889
7764.73847,   4.48481
2822.80327,   3.98289
1147.72992,   3.53864
2247.63350,   3.87017
16511.54491,   4.86011
2369.21340,   3.89613
 175.57597,   2.62315
1733.95065,   3.74167
 174.01446,   2.61889
 811.63613,   3.36788
1300.38339,   3.59969
57501.45882,   5.48197
27854.49879,   5.12052
10926.66331,   4.65449
1399.65205,   3.63597
2638.46251,   3.94914
 481.82553,   3.11241
37904.96186,   5.27409
9936.81157,   4.60722
1025.14692,   3.48250
32584.06041,   5.19868
5401.97422,   4.30386
18536.59514,   4.91731
184388.36505,   6.06352
1811.10884,   3.76217
9180.86542,   4.56747
1091.51436,   3.51231
448979.38400,   6.50810
25768.93079,   5.08151
88237.75243,   5.69555
231601.94275,   6.17741
138157.02249,   5.91940
224496.11334,   6.16184
258907.17219,   6.23308
105356.57535,   5.78407
163764.81799,   6.00430
48771.59497,   5.39967
74257.36135,   5.60943
55093.32250,   5.46046
33565.90819,   5.21331
1854.61362,   3.77409
5071.56756,   4.27256
155097.37948,   5.97716
62981.75099,   5.52727
15606.84410,   4.83171
440870.65699,   6.49901
344048.86454,   6.37512
396921.84143,   6.44655
135066.70034,   5.90814
438096.62694,   6.49599
311520.81176,   6.32568
18788812.60765,   8.37453
39679209.62802,   8.74827
1188265.75363,   6.99460
13088265.47491,   8.19380
16231525.88443,   8.30140
102678826.97908,   9.22362
11981016.17436,   8.14961
4532580.82042,   7.66373
6781337.86954,   7.86511
16744462.55191,   8.31697
9614068.08368,   8.03960
50537690.12516,   8.86922
10255342.55556,   8.07189
4993841.56901,   7.71219
12252175.40579,   8.16082
7906801.15443,   7.94188
23242712.83948,   8.48091
2822231.46718,   7.42697
8373530.06512,   7.97056
1281639.62417,   7.03250
6704598.02204,   7.85945
931276.23212,   6.87295
4365370.87713,   7.64499
763248.00363,   6.77357
51974411.22264,   8.88324
2731042.09390,   7.41058
3296792.97250,   7.50467
714984.16762,   6.74095
2624784.79301,   7.39075
459563.43250,   6.52020
2613506.74403,   7.38860
823353.54925,   6.81145
548134.10853,   6.60822
255614.32688,   6.22730
162188.28954,   6.00025
34743.47255,   5.23220
749925.45036,   6.76480
