MSE, Q-LIKE
   0.00000,  -0.12229
   0.00000,  -0.12161
   0.00000,  -0.11866
   0.00000,  -0.12037
   0.00000,  -0.11865
   0.00000,  -0.11848
   0.00000,  -0.11836
   0.00000,  -0.11961
   0.00000,  -0.12654
   0.00000,  -0.12953
   0.00000,  -0.13082
   0.00013,  -0.16056
   0.00020,  -0.16852
   0.00024,  -0.17241
   0.00024,  -0.17225
   0.00024,  -0.17246
   0.00026,  -0.17491
   0.00021,  -0.16902
   0.00023,  -0.17132
   0.00023,  -0.17153
   0.00023,  -0.17140
   0.00025,  -0.17339
   0.00035,  -0.18246
   0.00040,  -0.18653
   0.00048,  -0.19215
   0.00048,  -0.19252
   0.00048,  -0.19245
   0.00047,  -0.19196
   0.00055,  -0.19685
   0.00055,  -0.19686
   0.00061,  -0.20124
   0.00068,  -0.20529
   0.00069,  -0.20602
   0.00069,  -0.20550
   0.00072,  -0.20738
   0.00072,  -0.20734
   0.00093,  -0.21896
   0.00092,  -0.21821
   0.00105,  -0.22459
   0.00111,  -0.22757
   0.00180,  -0.25539
   0.00179,  -0.25503
   0.00202,  -0.26335
   0.00202,  -0.26337
   0.00201,  -0.26310
   0.00200,  -0.26272
   0.00199,  -0.26232
   0.00200,  -0.26251
   0.00205,  -0.26429
   0.00205,  -0.26422
   0.00205,  -0.26446
   0.00202,  -0.26323
   0.00204,  -0.26402
   0.00215,  -0.26782
   0.00290,  -0.29059
   0.00294,  -0.29178
   0.00295,  -0.29206
   0.00297,  -0.29273
   0.00291,  -0.29103
   0.00320,  -0.29901
   0.00381,  -0.31499
   0.00376,  -0.31384
   0.00378,  -0.31420
   0.00378,  -0.31420
   0.00385,  -0.31610
   0.00386,  -0.31628
   0.00386,  -0.31632
   0.00387,  -0.31640
   0.00382,  -0.31533
   0.00392,  -0.31775
   0.00399,  -0.31931
   0.00412,  -0.32264
   0.00413,  -0.32271
   0.00406,  -0.32122
   0.00401,  -0.31991
   0.00665,  -0.37606
   0.00673,  -0.37749
   0.00698,  -0.38228
   0.00685,  -0.37979
   0.00690,  -0.38071
   0.00663,  -0.37561
   0.00638,  -0.37080
   0.00642,  -0.37161
   0.00621,  -0.36753
   0.00619,  -0.36726
   0.00614,  -0.36614
   0.00620,  -0.36744
   0.00621,  -0.36749
   0.00616,  -0.36657
   0.00635,  -0.37028
   0.00635,  -0.37031
   0.00670,  -0.37705
   0.00674,  -0.37769
   0.00627,  -0.36884
   0.00621,  -0.36761
   0.00639,  -0.37114
   0.00594,  -0.36231
   0.00600,  -0.36346
   0.00578,  -0.35895
   0.00559,  -0.35525
   0.00544,  -0.35207
   0.00498,  -0.34230
   0.00504,  -0.34354
   0.00079,  -0.21160
   0.00076,  -0.20969
   0.00050,  -0.19408
   0.00011,  -0.15714
   0.00000,  -0.12757
   0.00003,  -0.10876
   0.00016,  -0.08584
   0.00016,  -0.08585
   0.00019,  -0.08215
   0.00048,  -0.05737
   0.00051,  -0.05539
   0.00132,  -0.01303
   0.00143,  -0.00840
   0.00176,   0.00430
   0.00200,   0.01288
   0.00236,   0.02472
   0.00239,   0.02579
   0.00261,   0.03257
   0.00293,   0.04185
   0.00297,   0.04288
   0.00333,   0.05284
   0.00335,   0.05346
   0.00356,   0.05887
   0.00360,   0.05994
   0.00496,   0.09212
   0.00499,   0.09267
   0.00531,   0.09964
   0.00533,   0.09991
   0.00557,   0.10501
   0.00559,   0.10530
   0.00591,   0.11180
   0.00592,   0.11204
   0.00583,   0.11029
   0.00583,   0.11025
   0.00576,   0.10888
   0.00576,   0.10891
   0.00606,   0.11491
   0.00623,   0.11822
   0.00659,   0.12523
