MSE, Q-LIKE
   0.00001,  -0.11966
   0.00000,  -0.11975
   0.00000,  -0.12003
   0.00000,  -0.11987
   0.00000,  -0.11998
   0.00000,  -0.12158
   0.00000,  -0.12352
   0.00000,  -0.12571
   0.00000,  -0.12415
   0.00000,  -0.12501
   0.00000,  -0.12502
   0.00000,  -0.12513
   0.00000,  -0.12519
   0.00000,  -0.12063
   0.00000,  -0.11892
   0.00000,  -0.12034
   0.00000,  -0.12237
   0.00000,  -0.12255
   0.00000,  -0.12312
   0.00000,  -0.12229
   0.00000,  -0.12161
   0.00000,  -0.11868
   0.00000,  -0.12038
   0.00000,  -0.11867
   0.00000,  -0.11850
   0.00000,  -0.11838
   0.00000,  -0.11962
   0.00000,  -0.12652
   0.00000,  -0.12954
   0.00000,  -0.13083
   0.00010,  -0.16074
   0.00004,  -0.16932
   0.00001,  -0.17353
   0.00000,  -0.17341
   0.00000,  -0.17363
   0.00000,  -0.17621
   0.00000,  -0.17001
   0.00000,  -0.17243
   0.00000,  -0.17266
   0.00000,  -0.17252
   0.00000,  -0.17460
   0.00001,  -0.18413
   0.00000,  -0.18850
   0.00000,  -0.19451
   0.00000,  -0.19491
   0.00000,  -0.19484
   0.00000,  -0.19432
   0.00000,  -0.19956
   0.00000,  -0.19958
   0.00000,  -0.20430
   0.00000,  -0.20869
   0.00000,  -0.20951
   0.00000,  -0.20893
   0.00000,  -0.21098
   0.00000,  -0.21094
   0.00001,  -0.22360
   0.00000,  -0.22286
   0.00000,  -0.22989
   0.00000,  -0.23322
   0.00008,  -0.26423
   0.00001,  -0.26426
   0.00001,  -0.27385
   0.00000,  -0.27394
   0.00000,  -0.27364
   0.00000,  -0.27320
   0.00000,  -0.27273
   0.00000,  -0.27295
   0.00000,  -0.27502
   0.00000,  -0.27494
   0.00000,  -0.27521
   0.00000,  -0.27378
   0.00000,  -0.27471
   0.00000,  -0.27911
   0.00006,  -0.30570
   0.00000,  -0.30747
   0.00000,  -0.30782
   0.00000,  -0.30863
   0.00000,  -0.30657
   0.00001,  -0.31616
   0.00003,  -0.33555
   0.00000,  -0.33432
   0.00000,  -0.33476
   0.00000,  -0.33477
   0.00000,  -0.33710
   0.00000,  -0.33733
   0.00000,  -0.33738
   0.00000,  -0.33748
   0.00000,  -0.33616
   0.00000,  -0.33915
   0.00000,  -0.34108
   0.00000,  -0.34522
   0.00000,  -0.34532
   0.00000,  -0.34346
   0.00000,  -0.34183
   0.00033,  -0.41160
   0.00016,  -0.41478
   0.00011,  -0.42162
   0.00003,  -0.41886
   0.00001,  -0.42029
   0.00000,  -0.41353
   0.00000,  -0.40712
   0.00000,  -0.40821
   0.00000,  -0.40280
   0.00000,  -0.40245
   0.00000,  -0.40098
   0.00000,  -0.40269
   0.00000,  -0.40276
   0.00000,  -0.40154
   0.00000,  -0.40643
   0.00000,  -0.40649
   0.00001,  -0.41541
   0.00000,  -0.41632
   0.00001,  -0.40446
   0.00000,  -0.40291
   0.00000,  -0.40758
   0.00001,  -0.39587
   0.00000,  -0.39745
   0.00000,  -0.39153
   0.00000,  -0.38671
   0.00000,  -0.38260
   0.00001,  -0.36996
   0.00000,  -0.37162
   0.00184,  -0.20272
   0.00125,  -0.20512
   0.00118,  -0.18903
   0.00157,  -0.14814
   0.00171,  -0.11781
   0.00155,  -0.10047
   0.00145,  -0.07909
   0.00087,  -0.08227
   0.00049,  -0.08071
   0.00046,  -0.05746
   0.00015,  -0.05703
   0.00032,  -0.01756
   0.00005,  -0.01450
   0.00001,  -0.00333
   0.00000,   0.00420
   0.00001,   0.01458
   0.00000,   0.01547
   0.00000,   0.02136
   0.00001,   0.02936
   0.00000,   0.03020
   0.00001,   0.03873
   0.00000,   0.03922
   0.00000,   0.04381
   0.00000,   0.04471
   0.00011,   0.07189
   0.00000,   0.07197
   0.00001,   0.07769
   0.00000,   0.07789
   0.00000,   0.08205
   0.00000,   0.08228
   0.00001,   0.08757
   0.00000,   0.08775
   0.00000,   0.08633
   0.00000,   0.08630
   0.00000,   0.08519
   0.00000,   0.08521
   0.00000,   0.09007
   0.00000,   0.09274
   0.00000,   0.09836
   0.35338,   1.56330
   0.32788,   1.48973
   0.30869,   1.43918
   0.28915,   1.39162
   0.26893,   1.34618
   0.24815,   1.30318
   0.22693,   1.26278
   0.20528,   1.22497
   0.18330,   1.18981
   0.16126,   1.15760
   0.13933,   1.12835
   0.11770,   1.10206
   0.09681,   1.07896
   0.07700,   1.05904
   0.05874,   1.04235
   0.04250,   1.02882
   0.02898,   1.01855
   0.01894,   1.01152
   0.01262,   1.00739
   0.00830,   1.00471
