MSE, Q-LIKE
   0.00001,  -0.11963
   0.00000,  -0.11975
   0.00000,  -0.12003
   0.00000,  -0.11987
   0.00000,  -0.11998
   0.00000,  -0.12159
   0.00000,  -0.12352
   0.00000,  -0.12571
   0.00000,  -0.12415
   0.00000,  -0.12501
   0.00000,  -0.12502
   0.00000,  -0.12512
   0.00000,  -0.12519
   0.00000,  -0.12062
   0.00000,  -0.11892
   0.00000,  -0.12034
   0.00000,  -0.12237
   0.00000,  -0.12255
   0.00000,  -0.12312
   0.00000,  -0.12229
   0.00000,  -0.12161
   0.00000,  -0.11868
   0.00000,  -0.12038
   0.00000,  -0.11867
   0.00000,  -0.11850
   0.00000,  -0.11838
   0.00000,  -0.11962
   0.00000,  -0.12652
   0.00000,  -0.12954
   0.00000,  -0.13083
   0.00009,  -0.16076
   0.00004,  -0.16932
   0.00001,  -0.17353
   0.00000,  -0.17341
   0.00000,  -0.17363
   0.00000,  -0.17621
   0.00000,  -0.17001
   0.00000,  -0.17242
   0.00000,  -0.17266
   0.00000,  -0.17251
   0.00000,  -0.17460
   0.00001,  -0.18414
   0.00000,  -0.18850
   0.00000,  -0.19450
   0.00000,  -0.19491
   0.00000,  -0.19484
   0.00000,  -0.19432
   0.00000,  -0.19956
   0.00000,  -0.19958
   0.00000,  -0.20430
   0.00000,  -0.20869
   0.00000,  -0.20950
   0.00000,  -0.20893
   0.00000,  -0.21098
   0.00000,  -0.21094
   0.00001,  -0.22360
   0.00000,  -0.22286
   0.00000,  -0.22990
   0.00000,  -0.23322
   0.00008,  -0.26424
   0.00001,  -0.26426
   0.00001,  -0.27385
   0.00000,  -0.27394
   0.00000,  -0.27364
   0.00000,  -0.27320
   0.00000,  -0.27272
   0.00000,  -0.27295
   0.00000,  -0.27502
   0.00000,  -0.27494
   0.00000,  -0.27521
   0.00000,  -0.27378
   0.00000,  -0.27471
   0.00000,  -0.27912
   0.00005,  -0.30572
   0.00001,  -0.30744
   0.00000,  -0.30782
   0.00000,  -0.30863
   0.00000,  -0.30658
   0.00001,  -0.31614
   0.00003,  -0.33556
   0.00000,  -0.33432
   0.00000,  -0.33476
   0.00000,  -0.33476
   0.00000,  -0.33710
   0.00000,  -0.33733
   0.00000,  -0.33738
   0.00000,  -0.33748
   0.00000,  -0.33616
   0.00000,  -0.33915
   0.00000,  -0.34108
   0.00000,  -0.34522
   0.00000,  -0.34532
   0.00000,  -0.34346
   0.00000,  -0.34182
   0.00033,  -0.41161
   0.00016,  -0.41482
   0.00011,  -0.42159
   0.00004,  -0.41880
   0.00001,  -0.42027
   0.00000,  -0.41354
   0.00000,  -0.40713
   0.00000,  -0.40821
   0.00000,  -0.40280
   0.00000,  -0.40245
   0.00000,  -0.40098
   0.00000,  -0.40269
   0.00000,  -0.40276
   0.00000,  -0.40154
   0.00000,  -0.40643
   0.00000,  -0.40649
   0.00001,  -0.41541
   0.00000,  -0.41632
   0.00001,  -0.40446
   0.00000,  -0.40291
   0.00000,  -0.40758
   0.00001,  -0.39587
   0.00000,  -0.39745
   0.00000,  -0.39152
   0.00000,  -0.38671
   0.00000,  -0.38258
   0.00001,  -0.36997
   0.00000,  -0.37162
   0.00182,  -0.20288
   0.00116,  -0.20575
   0.00103,  -0.19008
   0.00141,  -0.14923
   0.00133,  -0.12012
   0.00069,  -0.10535
   0.00034,  -0.08498
   0.00001,  -0.08652
   0.00013,  -0.08246
   0.00208,  -0.05223
   0.00000,  -0.05768
   0.00009,  -0.01851
   0.00002,  -0.01462
   0.00055,  -0.00151
   0.00003,   0.00431
   0.00000,   0.01455
   0.00008,   0.01577
   0.00001,   0.02137
   0.00000,   0.02933
   0.00005,   0.03037
   0.00000,   0.03870
   0.00002,   0.03927
   0.00002,   0.04389
   0.00000,   0.04471
   0.00015,   0.07201
   0.00000,   0.07196
   0.00003,   0.07777
   0.00000,   0.07790
   0.00002,   0.08210
   0.00000,   0.08228
   0.00001,   0.08757
   0.00000,   0.08776
   0.00001,   0.08636
   0.00001,   0.08632
   0.00000,   0.08519
   0.00000,   0.08522
   0.00001,   0.09009
   0.00000,   0.09273
   0.00000,   0.09836
