MSE, Q-LIKE
4452.67403,   4.20793
34323.67983,   5.22442
  27.14434,   1.74105
13327.85326,   4.75303
5922.61524,   4.34959
1143.94969,   3.53546
5257.77727,   4.29044
 517.12546,   3.14545
4105.61778,   4.16764
1405.61519,   3.63705
1104.16592,   3.51795
3924.77142,   4.14527
2649.35439,   3.95045
6487.85420,   4.39495
3146.85589,   4.03592
1088295.92548,   6.95054
518499.22146,   6.58004
145251.06463,   5.94442
4400.96153,   4.20231
40905.63903,   5.31199
16093.08107,   4.84704
87594.28193,   5.69196
454665.59154,   6.51446
8564402.65103,   7.98175
15957345.24189,   8.29285
192847.51848,   6.08606
422817.38825,   6.47818
71404.63447,   5.59009
246592.25783,   6.20885
2059498.74304,   7.26937
4595597.80128,   7.67056
3305197.00995,   7.50580
28549.00386,   5.13293
10554.36038,   4.63747
64975.03812,   5.54303
12214.32638,   4.71014
50250.82795,   5.41485
1144245.77883,   6.97564
133051.20875,   5.90075
10012.25026,   4.61128
20614.19834,   4.97071
69214.52940,   5.57458
52649.38453,   5.43811
2301.74539,   3.88217
1495.14060,   3.66920
7730.23829,   4.48271
10344.67097,   4.62753
 389.43057,   3.01004
7997.00508,   4.49957
8752.96732,   4.54445
4143.06729,   4.17313
11992.81304,   4.70107
43930.65731,   5.34782
20771.13911,   4.97449
19861.70657,   4.95222
461764.84479,   6.52223
188466.19316,   6.07463
99620.49762,   5.75634
43061.54057,   5.33789
1626.33829,   3.71094
162540.28305,   6.00074
22881.97844,   5.02278
24887.99407,   5.06461
62056.29574,   5.52012
40842.11562,   5.31146
18408.44861,   4.91432
19922.83513,   4.95368
11700.26095,   4.68873
12310.25432,   4.71401
48807.92046,   5.40030
5843.63610,   4.34369
16270.02047,   4.85283
25155.38608,   5.06984
50515.47029,   5.41742
17085.63401,   4.87711
8000.10025,   4.49961
6735.05793,   4.41407
24181.65116,   5.05011
5126.00007,   4.27850
9553.35489,   4.58779
2078.00483,   3.83127
5785.78595,   4.33859
3646.61298,   4.10956
4595.87142,   4.22429
8527.71582,   4.53126
4307.40636,   4.19203
19943.24716,   4.95419
113592.14669,   5.82180
32487.87024,   5.19728
15406.21210,   4.82557
939283.61878,   6.87699
416719.99528,   6.47091
2752.54984,   3.97023
11050.21558,   4.66015
1054.29770,   3.49654
8016.56929,   4.50053
10198.44245,   4.62020
4892.71604,   4.25527
17979.06351,   4.90241
1048.45814,   3.49370
23952.76523,   5.04530
18999.94395,   4.92988
4192.73838,   4.17849
 608.67659,   3.22637
19651188.08012,   8.39694
2263.60729,   3.87322
1973.63756,   3.80545
1618.45322,   3.70736
2892.62727,   3.99441
7524.65914,   4.46884
10862.50729,   4.65143
1824824.35964,   7.20888
41106.20511,   5.31447
52581.03484,   5.43725
18801.00881,   4.92443
811898.58307,   6.80411
20784.50835,   4.97440
48901.54165,   5.40101
5787.45339,   4.33819
5707.28408,   4.33120
4379.77507,   4.19962
 470.98086,   3.09939
1050.55864,   3.49329
 817.95743,   3.37011
741635.04015,   6.75886
4428.40182,   4.20512
1711.25147,   3.73409
1634.75339,   3.71145
2580.64891,   3.93736
89431.10047,   5.70222
3331.39000,   4.06388
1658.49935,   3.71859
56587.06824,   5.47378
 837.46545,   3.38168
 751.24842,   3.32838
1873.75039,   3.77896
9406.76610,   4.57957
6182.75543,   4.37089
 700.88584,   3.29438
124636.61198,   5.86795
4741.60768,   4.23913
5291.45760,   4.29363
119949.15584,   5.84882
4052.53212,   4.16121
10013.59314,   4.61074
3120.35000,   4.03159
26832.68471,   5.10168
332614.35065,   6.35824
2595.47489,   3.94056
175266.93845,   6.03823
6200.57543,   4.37253
238526.51068,   6.19214
121460.75283,   5.85511
625729.34466,   6.67398
18316.34591,   4.91156
128897.61953,   5.88481
261242.54764,   6.23762
29997.20135,   5.15744
137102.04491,   5.91566
563447.12028,   6.62162
1596310.52057,   7.14202
85782.50914,   5.68163
2419068.24757,   7.34979
626855.01487,   6.67493
920379.19188,   6.86685
236702.06416,   6.18847
511882.17159,   6.57379
12908069.97449,   8.18687
36746676.78176,   8.70989
67034847.43967,   9.01045
14517391.15997,   8.24562
7955633.72812,   7.94495
9861164.10940,   8.05229
38976031.64538,   8.73934
20721958.21562,   8.42352
79260672.52252,   9.09421
31636978.66816,   8.63506
20121758.29752,   8.40883
9309991.84102,   8.02356
4251135.13636,   7.63173
8309913.77679,   7.96675
6990161.38420,   7.88031
4772067.98356,   7.68951
16219202.58408,   8.30105
5545190.66884,   7.76456
4171395.08519,   7.62227
944671.25515,   6.88012
572612.68862,   6.63004
850639.96287,   6.82775
1125529.07641,   6.96764
3571571.24210,   7.54469
239791.78042,   6.19542
937850.14262,   6.87651
464478.11552,   6.52553
352286.02800,   6.38748
2711026.90380,   7.40692
1492063.11296,   7.10850
422184.54586,   6.47786
634234.23519,   6.68111
55350.00976,   5.46420
786524.40198,   6.78861
543744.65084,   6.60423
