MSE, Q-LIKE
   0.00042,  -0.26453
   0.00043,  -0.26303
   0.00033,  -0.27349
   0.00026,  -0.28055
   0.00020,  -0.28887
   0.00017,  -0.29208
   0.00015,  -0.29636
   0.00015,  -0.29606
   0.00015,  -0.29544
   0.00015,  -0.29544
   0.00015,  -0.29518
   0.00016,  -0.29423
   0.00012,  -0.30002
   0.00009,  -0.30661
   0.00006,  -0.31199
   0.00006,  -0.31237
   0.00006,  -0.31427
   0.00004,  -0.31819
   0.00004,  -0.31761
   0.00004,  -0.31750
   0.00004,  -0.31817
   0.00004,  -0.31852
   0.00002,  -0.32427
   0.00003,  -0.32349
   0.00001,  -0.32895
   0.00000,  -0.33659
   0.00015,  -0.29575
   0.00014,  -0.29788
   0.00004,  -0.31824
   0.00004,  -0.31846
   0.00004,  -0.31915
   0.00002,  -0.32460
   0.00002,  -0.32517
   0.00002,  -0.32438
   0.00001,  -0.32804
   0.00001,  -0.32906
   0.00001,  -0.33361
   0.00001,  -0.33230
   0.00001,  -0.33260
   0.00000,  -0.33449
   0.00000,  -0.34002
   0.00000,  -0.34315
   0.00001,  -0.35555
   0.00001,  -0.35601
   0.00001,  -0.35606
   0.00000,  -0.34929
   0.00000,  -0.34882
   0.00001,  -0.35649
   0.00004,  -0.36561
   0.00004,  -0.36559
   0.00003,  -0.36406
   0.00003,  -0.36523
   0.00004,  -0.36584
   0.00008,  -0.37693
   0.00021,  -0.39797
   0.00021,  -0.39867
   0.00021,  -0.39864
   0.00022,  -0.39944
   0.00021,  -0.39806
   0.00028,  -0.40689
   0.00043,  -0.42179
   0.00043,  -0.42171
   0.00043,  -0.42217
   0.00043,  -0.42228
   0.00043,  -0.42216
   0.00041,  -0.42002
   0.00041,  -0.42027
   0.00044,  -0.42275
   0.00040,  -0.41927
   0.00040,  -0.41947
   0.00043,  -0.42184
   0.00043,  -0.42192
   0.00045,  -0.42361
   0.00045,  -0.42358
   0.00039,  -0.41785
   0.00039,  -0.41814
   0.00037,  -0.41640
   0.00039,  -0.41832
   0.00034,  -0.41358
   0.00033,  -0.41243
   0.00029,  -0.40823
   0.00027,  -0.40596
   0.00027,  -0.40594
   0.00028,  -0.40636
   0.00026,  -0.40453
   0.00026,  -0.40483
   0.00025,  -0.40315
   0.00010,  -0.38122
   0.00011,  -0.38348
   0.00013,  -0.38641
   0.00013,  -0.38627
   0.00012,  -0.38513
   0.00012,  -0.38422
   0.00004,  -0.36625
   0.00002,  -0.36158
   0.00002,  -0.36082
   0.00000,  -0.34221
   0.00000,  -0.34233
   0.00000,  -0.33536
   0.00001,  -0.33016
   0.00003,  -0.32190
   0.00008,  -0.30842
   0.00008,  -0.30862
   0.00015,  -0.29542
   0.00030,  -0.27622
   0.00078,  -0.23571
   0.00225,  -0.16098
   0.00527,  -0.06458
   0.00807,   0.00132
   0.00880,   0.01652
   0.00937,   0.02792
   0.00945,   0.02949
   0.01026,   0.04526
   0.01034,   0.04678
   0.01399,   0.11030
   0.01413,   0.11245
   0.01596,   0.14102
   0.01656,   0.15015
   0.01702,   0.15683
   0.01709,   0.15788
   0.01726,   0.16046
   0.01804,   0.17159
   0.01814,   0.17308
   0.01938,   0.19046
   0.01949,   0.19187
   0.01975,   0.19546
   0.01974,   0.19539
   0.01974,   0.19536
   0.02019,   0.20147
   0.02048,   0.20527
   0.02045,   0.20497
   0.02063,   0.20731
   0.02063,   0.20730
   0.02141,   0.21768
   0.02173,   0.22182
   0.02173,   0.22175
   0.02188,   0.22377
   0.02193,   0.22440
   0.02198,   0.22498
   0.02213,   0.22697
   0.02229,   0.22898
   0.02267,   0.23388
