MSE, Q-LIKE
   0.00008,  -0.28665
   0.00005,  -0.28691
   0.00005,  -0.28722
   0.00006,  -0.28636
   0.00003,  -0.28686
   0.00001,  -0.28726
   0.00000,  -0.28698
   0.00000,  -0.28744
   0.00000,  -0.28909
   0.00000,  -0.28851
   0.00000,  -0.28682
   0.00000,  -0.28684
   0.00000,  -0.28600
   0.00000,  -0.27849
   0.00000,  -0.27460
   0.00000,  -0.27252
   0.00000,  -0.27196
   0.00000,  -0.27229
   0.00000,  -0.26698
   0.00000,  -0.26744
   0.00000,  -0.26604
   0.00001,  -0.27573
   0.00001,  -0.28237
   0.00000,  -0.29025
   0.00000,  -0.29332
   0.00000,  -0.29740
   0.00000,  -0.29711
   0.00000,  -0.29652
   0.00000,  -0.29652
   0.00000,  -0.29627
   0.00000,  -0.29537
   0.00000,  -0.30088
   0.00000,  -0.30723
   0.00000,  -0.31242
   0.00000,  -0.31282
   0.00000,  -0.31466
   0.00000,  -0.31847
   0.00000,  -0.31792
   0.00000,  -0.31782
   0.00000,  -0.31846
   0.00000,  -0.31880
   0.00000,  -0.32442
   0.00000,  -0.32367
   0.00000,  -0.32903
   0.00000,  -0.33659
   0.00011,  -0.29602
   0.00002,  -0.29872
   0.00001,  -0.31844
   0.00000,  -0.31875
   0.00000,  -0.31943
   0.00000,  -0.32474
   0.00000,  -0.32532
   0.00000,  -0.32454
   0.00000,  -0.32814
   0.00000,  -0.32915
   0.00000,  -0.33365
   0.00000,  -0.33235
   0.00000,  -0.33265
   0.00000,  -0.33453
   0.00000,  -0.34000
   0.00000,  -0.34314
   0.00001,  -0.35554
   0.00000,  -0.35610
   0.00000,  -0.35615
   0.00000,  -0.34929
   0.00000,  -0.34884
   0.00000,  -0.35656
   0.00000,  -0.36584
   0.00000,  -0.36585
   0.00000,  -0.36429
   0.00000,  -0.36549
   0.00000,  -0.36611
   0.00001,  -0.37746
   0.00003,  -0.39929
   0.00000,  -0.40030
   0.00000,  -0.40026
   0.00000,  -0.40112
   0.00000,  -0.39965
   0.00001,  -0.40900
   0.00002,  -0.42496
   0.00000,  -0.42500
   0.00000,  -0.42550
   0.00000,  -0.42562
   0.00000,  -0.42550
   0.00000,  -0.42318
   0.00000,  -0.42344
   0.00000,  -0.42613
   0.00000,  -0.42236
   0.00000,  -0.42258
   0.00000,  -0.42514
   0.00000,  -0.42524
   0.00000,  -0.42707
   0.00000,  -0.42704
   0.00000,  -0.42081
   0.00000,  -0.42114
   0.00000,  -0.41925
   0.00000,  -0.42133
   0.00000,  -0.41620
   0.00000,  -0.41498
   0.00000,  -0.41047
   0.00000,  -0.40805
   0.00000,  -0.40803
   0.00000,  -0.40847
   0.00000,  -0.40652
   0.00000,  -0.40684
   0.00000,  -0.40506
   0.00003,  -0.38172
   0.00000,  -0.38433
   0.00000,  -0.38739
   0.00000,  -0.38724
   0.00000,  -0.38605
   0.00000,  -0.38511
   0.00002,  -0.36634
   0.00000,  -0.36174
   0.00000,  -0.36098
   0.00002,  -0.34203
   0.00000,  -0.34233
   0.00000,  -0.33536
   0.00000,  -0.33023
   0.00000,  -0.32208
   0.00001,  -0.30892
   0.00000,  -0.30918
   0.00001,  -0.29641
   0.00001,  -0.27827
   0.00008,  -0.24056
   0.00032,  -0.17392
   0.00072,  -0.09369
   0.00070,  -0.04388
   0.00013,  -0.03526
   0.00000,  -0.02743
   0.00006,  -0.02605
   0.00009,  -0.01452
   0.00026,  -0.01282
   0.00004,   0.03105
   0.00033,   0.03348
   0.00030,   0.05279
   0.00053,   0.05960
   0.00064,   0.06439
   0.00069,   0.06522
   0.00056,   0.06655
   0.00038,   0.07339
   0.00033,   0.07422
   0.00011,   0.08496
   0.00013,   0.08594
   0.00005,   0.08804
   0.00002,   0.08792
   0.00000,   0.08783
   0.00000,   0.09180
   0.00000,   0.09426
   0.00000,   0.09407
   0.00000,   0.09556
   0.00000,   0.09556
   0.00001,   0.10227
   0.00000,   0.10489
   0.00000,   0.10484
   0.00000,   0.10614
   0.00001,   0.10655
   0.00001,   0.10692
   0.00001,   0.10819
   0.00001,   0.10948
   0.00001,   0.11259
   0.34952,   1.55167
   0.30375,   1.42681
   0.26939,   1.34718
   0.23480,   1.27737
   0.19968,   1.21571
   0.16480,   1.16257
   0.13081,   1.11769
   0.09836,   1.08060
   0.06846,   1.05104
   0.04248,   1.02881
   0.02158,   1.01332
   0.00713,   1.00401
   0.00046,   1.00024
   0.00098,   1.00047
   0.00450,   1.00206
   0.01039,   1.00456
   0.01778,   1.00752
   0.02362,   1.00975
   0.02351,   1.00971
   0.02017,   1.00844
