MSE, Q-LIKE
   0.00028,  -0.28517
   0.00009,  -0.28667
   0.00002,  -0.28746
   0.00008,  -0.28621
   0.00002,  -0.28692
   0.00001,  -0.28721
   0.00000,  -0.28697
   0.00001,  -0.28737
   0.00000,  -0.28910
   0.00001,  -0.28843
   0.00000,  -0.28680
   0.00002,  -0.28670
   0.00000,  -0.28599
   0.00002,  -0.27837
   0.00000,  -0.27461
   0.00003,  -0.27234
   0.00002,  -0.27185
   0.00000,  -0.27229
   0.00004,  -0.26675
   0.00000,  -0.26742
   0.00000,  -0.26604
   0.00002,  -0.27568
   0.00000,  -0.28240
   0.00000,  -0.29025
   0.00000,  -0.29332
   0.00000,  -0.29740
   0.00001,  -0.29702
   0.00000,  -0.29653
   0.00000,  -0.29652
   0.00001,  -0.29619
   0.00000,  -0.29535
   0.00000,  -0.30091
   0.00000,  -0.30724
   0.00000,  -0.31242
   0.00001,  -0.31276
   0.00000,  -0.31466
   0.00002,  -0.31832
   0.00001,  -0.31785
   0.00004,  -0.31756
   0.00001,  -0.31837
   0.00000,  -0.31880
   0.00001,  -0.32439
   0.00000,  -0.32367
   0.00001,  -0.32901
   0.00000,  -0.33659
   0.00014,  -0.29586
   0.00000,  -0.29884
   0.00003,  -0.31833
   0.00000,  -0.31874
   0.00001,  -0.31938
   0.00000,  -0.32474
   0.00002,  -0.32520
   0.00001,  -0.32450
   0.00000,  -0.32815
   0.00002,  -0.32898
   0.00000,  -0.33364
   0.00000,  -0.33234
   0.00001,  -0.33259
   0.00000,  -0.33452
   0.00000,  -0.34000
   0.00000,  -0.34314
   0.00000,  -0.35563
   0.00000,  -0.35610
   0.00000,  -0.35614
   0.00000,  -0.34931
   0.00000,  -0.34884
   0.00001,  -0.35650
   0.00000,  -0.36588
   0.00000,  -0.36585
   0.00002,  -0.36414
   0.00000,  -0.36549
   0.00000,  -0.36611
   0.00000,  -0.37753
   0.00006,  -0.39910
   0.00001,  -0.40019
   0.00000,  -0.40024
   0.00000,  -0.40109
   0.00001,  -0.39955
   0.00003,  -0.40876
   0.00002,  -0.42494
   0.00000,  -0.42498
   0.00001,  -0.42542
   0.00013,  -0.42456
   0.00000,  -0.42550
   0.00000,  -0.42317
   0.00000,  -0.42344
   0.00001,  -0.42609
   0.00000,  -0.42236
   0.00000,  -0.42257
   0.00000,  -0.42512
   0.00000,  -0.42523
   0.00000,  -0.42707
   0.00000,  -0.42703
   0.00001,  -0.42079
   0.00000,  -0.42112
   0.00000,  -0.41926
   0.00000,  -0.42130
   0.00000,  -0.41621
   0.00000,  -0.41498
   0.00000,  -0.41047
   0.00001,  -0.40793
   0.00001,  -0.40797
   0.00000,  -0.40848
   0.00000,  -0.40652
   0.00000,  -0.40682
   0.00000,  -0.40505
   0.00005,  -0.38155
   0.00000,  -0.38430
   0.00000,  -0.38737
   0.00001,  -0.38718
   0.00000,  -0.38605
   0.00000,  -0.38511
   0.00004,  -0.36625
   0.00001,  -0.36171
   0.00000,  -0.36098
   0.00000,  -0.34220
   0.00003,  -0.34214
   0.00002,  -0.33526
   0.00001,  -0.33016
   0.00007,  -0.32158
   0.00000,  -0.30897
   0.00000,  -0.30916
   0.00002,  -0.29635
   0.00004,  -0.27806
   0.00002,  -0.24091
   0.00006,  -0.17542
   0.00043,  -0.09520
   0.00013,  -0.04654
   0.00074,  -0.03312
   0.00159,  -0.02205
   0.00003,  -0.02619
   0.02863,   0.04998
   0.00080,  -0.01103
   0.00479,   0.04421
   0.00060,   0.03432
   0.00433,   0.06353
   0.00000,   0.05800
   0.00048,   0.06392
   0.00024,   0.06399
   0.00009,   0.06516
   0.00011,   0.07258
   0.00022,   0.07397
   0.00000,   0.08464
   0.00017,   0.08606
   0.00010,   0.08820
   0.00000,   0.08785
   0.00007,   0.08807
   0.00002,   0.09185
   0.00022,   0.09497
   0.00001,   0.09408
   0.00008,   0.09582
   0.00000,   0.09556
   0.00002,   0.10229
   0.00002,   0.10493
   0.00000,   0.10484
   0.00010,   0.10644
   0.00005,   0.10667
   0.00008,   0.10714
   0.00007,   0.10837
   0.00000,   0.10945
   0.00001,   0.11259
