MSE, Q-LIKE
 253.31260,   2.79390
28001.95301,   5.12256
 229.75276,   2.74637
 712.83079,   3.30051
 382.90228,   2.99553
1245.37953,   3.57564
 162.83703,   2.57939
 698.29857,   3.29031
  69.56365,   2.17121
1299.40540,   3.59658
16677.10278,   4.86418
 625.39499,   3.23603
2583.18692,   3.93672
20832.76763,   4.97508
 465.26630,   3.09087
7476.04601,   4.46464
9897.05618,   4.60426
12715.91933,   4.72912
 400.68481,   3.01791
22819.12389,   5.02052
48821.89037,   5.39991
8759.31542,   4.54359
181855.10362,   6.05651
3198.84978,   4.04285
21763.81156,   4.99692
130356.01534,   5.89021
535275.41998,   6.59586
1104.10936,   3.51633
1422.55314,   3.64156
30577.10388,   5.16648
21522.45034,   4.99138
18740.24876,   4.92238
23729.52027,   5.04005
199655.41843,   6.10314
36288.68433,   5.25191
35805.53699,   5.24522
4419.05931,   4.20335
4322.97628,   4.19243
27922.66121,   5.12116
2974.63679,   4.00682
5687.11882,   4.32869
1822.68209,   3.76409
6857.87186,   4.42177
36585.62785,   5.25597
37203.61744,   5.26432
2183.48883,   3.85357
26596.99263,   5.09693
31240.82542,   5.17718
18030.21209,   4.90312
1404.62564,   3.63523
1972.41546,   3.80318
7268.94372,   4.45077
5785.41364,   4.33725
1334.99920,   3.61018
2176.14102,   3.85199
54078.20370,   5.45099
4486.48932,   4.21097
 146.54810,   2.52958
29028.82678,   5.14061
60358.63554,   5.50583
17385.13389,   4.88503
3115.52166,   4.02997
59254.32558,   5.49659
44613.17860,   5.35494
25700.61974,   5.07983
33410.68312,   5.21068
170185.96667,   6.02337
2777.99318,   3.97291
5245.07933,   4.28849
38207.38621,   5.27761
7480.80360,   4.46505
4489.35585,   4.21111
20236.68124,   4.96061
8548.85896,   4.53135
1833.50433,   3.76686
2475.18035,   3.91550
11704.25882,   4.68774
1081.41310,   3.50575
2851.82829,   3.98589
16755.99571,   4.86654
3456.01951,   4.08108
488901.84002,   6.55056
46657.34146,   5.37724
46832.83628,   5.37911
94921.48848,   5.73177
6478.58831,   4.39333
143112.31866,   5.93680
31833.84544,   5.18648
8837.71337,   4.54783
2315.90773,   3.88243
 840.01473,   3.38105
51116.17311,   5.42276
67379.74398,   5.56064
2645.45270,   3.94821
8601.95546,   4.53426
323764.06198,   6.34460
 221.51906,   2.72718
   2.04863,   0.61466
45199.16962,   5.36132
36974.03496,   5.26109
4464.60730,   4.20795
26600.74992,   5.09680
 951.36814,   3.44188
 197.74979,   2.67170
1226.05270,   3.56720
 193.92908,   2.66245
2281.65627,   3.87477
16936.13738,   4.87170
12372.96387,   4.71525
3676.02147,   4.11137
7461.83087,   4.46338
38506.54346,   5.28130
1225.75770,   3.56689
1805.77811,   3.75851
20373.86279,   4.96359
152195.94536,   5.96741
2159.59410,   3.84674
2381.39659,   3.89525
 724.84631,   3.30655
 499.26708,   3.12281
3197.58682,   4.04148
12968.76943,   4.73833
1257.13727,   3.57852
2011.91727,   3.81149
1301.37914,   3.59562
  32.50479,   1.80288
 246.42198,   2.77643
2009.83508,   3.81097
5620.18980,   4.32189
 314.56187,   2.89591
 502.45211,   3.12585
43953.41092,   5.34716
 701.59689,   3.29023
1195.93439,   3.55370
5916.49203,   4.34743
1202.75243,   3.55653
4158.82421,   4.17207
5743.80618,   4.33269
3635.24662,   4.10530
2107.61530,   3.83452
 278.70634,   2.83657
5542.15908,   4.31499
144099.04205,   5.94010
2202.54215,   3.85649
66782.01269,   5.55602
56001.33971,   5.46812
287414.53509,   6.28503
35579.15674,   5.24170
2788.69664,   3.97360
238265.81743,   6.19132
9330.97233,   4.57434
2744.54952,   3.96567
2245.22748,   3.86599
9745.09580,   4.59605
9138.30702,   4.56412
22885.02273,   5.02167
286389.45003,   6.28329
540971.63932,   6.60110
66206.25874,   5.55181
405518.11054,   6.45709
105286.02668,   5.78348
1156507.54296,   6.98084
506994.59295,   6.56871
359361.62299,   6.39692
19853263.24493,   8.40206
803408.27532,   6.79891
270572577.19198,   9.70806
55479559.19593,   8.91584
4590001.92263,   7.67002
52463649.38903,   8.88791
33079788.90762,   8.65736
478143971.03878,   9.99275
17572087.03970,   8.34112
1342398316.69891,  10.50889
30870461.72263,   8.62283
331062081.53521,   9.80896
20706459.18454,   8.42320
731053883.20267,  10.20504
185627892.27839,   9.51970
213973315.94098,   9.59075
68086409.01848,   9.01827
68187854.95969,   9.01902
10670493.83706,   8.09182
11788315.48752,   8.14162
68669776.94180,   9.02254
10747171.13860,   8.09540
25991241.39668,   8.53684
3870214.66217,   7.58495
27238196.24724,   8.56027
1767542.36943,   7.19335
3234919.70467,   7.49535
161951.31330,   6.00020
704649.55259,   6.73401
4741726.95980,   7.68645
27155423.35903,   8.55875
9863048.76010,   8.05250
5583526.43179,   7.76812
2567543.40438,   7.37991
8348691.30819,   7.96918
4012178.05756,   7.60297
3559119.22347,   7.54309
6044300.88036,   7.80776
