MSE, Q-LIKE
   0.00001,  -0.50912
   0.00001,  -0.51003
   0.00000,  -0.51997
   0.00000,  -0.53268
   0.00000,  -0.53301
   0.00000,  -0.53239
   0.00000,  -0.53259
   0.00000,  -0.53232
   0.00000,  -0.52960
   0.00000,  -0.52886
   0.00000,  -0.52953
   0.00001,  -0.54125
   0.00003,  -0.54943
   0.00003,  -0.55094
   0.00003,  -0.55082
   0.00004,  -0.55447
   0.00005,  -0.55761
   0.00005,  -0.55813
   0.00001,  -0.53674
   0.00002,  -0.54707
   0.00005,  -0.55777
   0.00004,  -0.55489
   0.00005,  -0.55705
   0.00006,  -0.55881
   0.00006,  -0.55882
   0.00007,  -0.56120
   0.00008,  -0.56463
   0.00008,  -0.56469
   0.00008,  -0.56563
   0.00008,  -0.56552
   0.00008,  -0.56499
   0.00011,  -0.57232
   0.00012,  -0.57400
   0.00019,  -0.58737
   0.00020,  -0.58862
   0.00020,  -0.58861
   0.00024,  -0.59490
   0.00024,  -0.59519
   0.00023,  -0.59449
   0.00024,  -0.59593
   0.00031,  -0.60519
   0.00031,  -0.60443
   0.00030,  -0.60415
   0.00030,  -0.60417
   0.00029,  -0.60201
   0.00025,  -0.59662
   0.00025,  -0.59606
   0.00026,  -0.59852
   0.00027,  -0.59981
   0.00032,  -0.60687
   0.00035,  -0.61045
   0.00041,  -0.61737
   0.00042,  -0.61787
   0.00053,  -0.63004
   0.00108,  -0.67475
   0.00113,  -0.67834
   0.00113,  -0.67867
   0.00113,  -0.67837
   0.00117,  -0.68127
   0.00124,  -0.68605
   0.00132,  -0.69090
   0.00131,  -0.69063
   0.00129,  -0.68913
   0.00132,  -0.69123
   0.00131,  -0.69012
   0.00132,  -0.69097
   0.00133,  -0.69156
   0.00133,  -0.69166
   0.00133,  -0.69175
   0.00131,  -0.69033
   0.00132,  -0.69088
   0.00138,  -0.69485
   0.00140,  -0.69578
   0.00144,  -0.69863
   0.00141,  -0.69648
   0.00142,  -0.69707
   0.00141,  -0.69659
   0.00142,  -0.69689
   0.00116,  -0.68027
   0.00134,  -0.69253
   0.00137,  -0.69389
   0.00117,  -0.68113
   0.00116,  -0.68081
   0.00117,  -0.68087
   0.00116,  -0.68044
   0.00113,  -0.67870
   0.00116,  -0.68085
   0.00117,  -0.68136
   0.00117,  -0.68132
   0.00119,  -0.68259
   0.00119,  -0.68231
   0.00119,  -0.68231
   0.00119,  -0.68277
   0.00091,  -0.66298
   0.00069,  -0.64501
   0.00060,  -0.63685
   0.00042,  -0.61803
   0.00041,  -0.61749
   0.00034,  -0.60840
   0.00029,  -0.60274
   0.00016,  -0.58224
   0.00015,  -0.58045
   0.00014,  -0.57821
   0.00219,  -0.30922
   0.00266,  -0.28727
   0.00275,  -0.28331
   0.00422,  -0.22578
   0.00631,  -0.15947
   0.01656,   0.06673
   0.01664,   0.06818
   0.04348,   0.43322
   0.04446,   0.44394
   0.04507,   0.45054
   0.04877,   0.48977
   0.07164,   0.70470
   0.07254,   0.71246
   0.07806,   0.75858
   0.08407,   0.80706
   0.08534,   0.81707
   0.08523,   0.81625
   0.08686,   0.82900
   0.09345,   0.87938
   0.09348,   0.87960
   0.09621,   0.89994
   0.09624,   0.90017
   0.09849,   0.91672
   0.09869,   0.91815
   0.09871,   0.91834
   0.09727,   0.90777
   0.09760,   0.91021
   0.09805,   0.91353
   0.10256,   0.94619
   0.10356,   0.95336
   0.10365,   0.95401
   0.10439,   0.95923
   0.10435,   0.95893
   0.10435,   0.95896
   0.10493,   0.96305
   0.10491,   0.96293
   0.10627,   0.97258
   0.10652,   0.97434
   0.10690,   0.97697
