MSE, Q-LIKE
   0.00000,  -0.53433
   0.00000,  -0.53477
   0.00000,  -0.53022
   0.00000,  -0.53101
   0.00000,  -0.53097
   0.00000,  -0.53101
   0.00000,  -0.53211
   0.00000,  -0.53192
   0.00000,  -0.53301
   0.00000,  -0.53452
   0.00000,  -0.52670
   0.00000,  -0.52634
   0.00000,  -0.52652
   0.00000,  -0.52139
   0.00000,  -0.51348
   0.00000,  -0.51297
   0.00000,  -0.51279
   0.00000,  -0.51261
   0.00000,  -0.51083
   0.00000,  -0.50923
   0.00000,  -0.51013
   0.00001,  -0.51993
   0.00001,  -0.53263
   0.00000,  -0.53305
   0.00000,  -0.53243
   0.00000,  -0.53263
   0.00000,  -0.53236
   0.00000,  -0.52960
   0.00000,  -0.52887
   0.00000,  -0.52954
   0.00001,  -0.54131
   0.00000,  -0.54972
   0.00000,  -0.55130
   0.00000,  -0.55118
   0.00000,  -0.55493
   0.00000,  -0.55818
   0.00000,  -0.55872
   0.00002,  -0.53660
   0.00000,  -0.54730
   0.00001,  -0.55829
   0.00000,  -0.55537
   0.00000,  -0.55760
   0.00000,  -0.55943
   0.00000,  -0.55943
   0.00000,  -0.56191
   0.00000,  -0.56546
   0.00000,  -0.56554
   0.00000,  -0.56651
   0.00000,  -0.56640
   0.00000,  -0.56585
   0.00000,  -0.57348
   0.00000,  -0.57528
   0.00001,  -0.58936
   0.00000,  -0.59079
   0.00000,  -0.59078
   0.00000,  -0.59750
   0.00000,  -0.59784
   0.00000,  -0.59709
   0.00000,  -0.59864
   0.00000,  -0.60861
   0.00000,  -0.60783
   0.00000,  -0.60753
   0.00000,  -0.60756
   0.00000,  -0.60520
   0.00000,  -0.59936
   0.00000,  -0.59878
   0.00000,  -0.60143
   0.00000,  -0.60282
   0.00000,  -0.61047
   0.00000,  -0.61440
   0.00000,  -0.62198
   0.00000,  -0.62256
   0.00001,  -0.63598
   0.00010,  -0.68605
   0.00003,  -0.69120
   0.00001,  -0.69188
   0.00000,  -0.69163
   0.00000,  -0.69507
   0.00000,  -0.70075
   0.00000,  -0.70656
   0.00000,  -0.70625
   0.00000,  -0.70445
   0.00000,  -0.70696
   0.00000,  -0.70564
   0.00000,  -0.70666
   0.00000,  -0.70737
   0.00000,  -0.70748
   0.00000,  -0.70759
   0.00000,  -0.70588
   0.00000,  -0.70655
   0.00000,  -0.71131
   0.00000,  -0.71245
   0.00000,  -0.71588
   0.00000,  -0.71329
   0.00000,  -0.71400
   0.00000,  -0.71342
   0.00000,  -0.71379
   0.00001,  -0.69371
   0.00001,  -0.70845
   0.00000,  -0.71017
   0.00001,  -0.69480
   0.00000,  -0.69453
   0.00000,  -0.69460
   0.00000,  -0.69410
   0.00000,  -0.69204
   0.00000,  -0.69457
   0.00000,  -0.69519
   0.00000,  -0.69514
   0.00000,  -0.69664
   0.00000,  -0.69632
   0.00000,  -0.69632
   0.00000,  -0.69686
   0.00002,  -0.67334
   0.00002,  -0.65266
   0.00001,  -0.64360
   0.00002,  -0.62245
   0.00000,  -0.62212
   0.00000,  -0.61211
   0.00000,  -0.60598
   0.00002,  -0.58375
   0.00000,  -0.58209
   0.00000,  -0.57973
   0.00344,  -0.29531
   0.00319,  -0.28157
   0.00270,  -0.28387
   0.00347,  -0.23352
   0.00444,  -0.17815
   0.01184,   0.02104
   0.01016,   0.00739
   0.02989,   0.30951
   0.02761,   0.29549
   0.02533,   0.28156
   0.02524,   0.29409
   0.03859,   0.43841
   0.03487,   0.41898
   0.03477,   0.43127
   0.03459,   0.44406
   0.03148,   0.43252
   0.02783,   0.41624
   0.02543,   0.41058
   0.02553,   0.42792
   0.02208,   0.41537
   0.02035,   0.41655
   0.01701,   0.40574
   0.01528,   0.40653
   0.01276,   0.39969
   0.01070,   0.39403
   0.00842,   0.38384
   0.00747,   0.38234
   0.00663,   0.38155
   0.00678,   0.39479
   0.00574,   0.39515
   0.00497,   0.39364
   0.00437,   0.39434
   0.00382,   0.39303
   0.00337,   0.39206
   0.00312,   0.39316
   0.00265,   0.39211
   0.00247,   0.39559
   0.00211,   0.39555
   0.00177,   0.39590
   0.24407,   1.29513
   0.21410,   1.23997
   0.19205,   1.20343
   0.17017,   1.17027
   0.14820,   1.13985
   0.12648,   1.11243
   0.10527,   1.08805
   0.08479,   1.06665
   0.06541,   1.04826
   0.04767,   1.03299
   0.03199,   1.02076
   0.01884,   1.01145
   0.00886,   1.00505
   0.00253,   1.00136
   0.00008,   1.00004
   0.00032,   1.00016
   0.00077,   1.00037
   0.00098,   1.00047
   0.00063,   1.00031
   0.00023,   1.00011
