MSE, Q-LIKE
   0.00000,  -0.53434
   0.00000,  -0.53477
   0.00000,  -0.53022
   0.00000,  -0.53101
   0.00000,  -0.53097
   0.00000,  -0.53101
   0.00000,  -0.53211
   0.00000,  -0.53192
   0.00000,  -0.53301
   0.00000,  -0.53452
   0.00000,  -0.52671
   0.00000,  -0.52633
   0.00000,  -0.52652
   0.00000,  -0.52139
   0.00000,  -0.51348
   0.00000,  -0.51297
   0.00000,  -0.51279
   0.00000,  -0.51260
   0.00000,  -0.51083
   0.00000,  -0.50923
   0.00000,  -0.51013
   0.00001,  -0.51993
   0.00001,  -0.53265
   0.00000,  -0.53305
   0.00000,  -0.53242
   0.00000,  -0.53263
   0.00000,  -0.53235
   0.00000,  -0.52960
   0.00000,  -0.52887
   0.00000,  -0.52954
   0.00001,  -0.54131
   0.00000,  -0.54974
   0.00000,  -0.55130
   0.00000,  -0.55118
   0.00000,  -0.55494
   0.00000,  -0.55817
   0.00000,  -0.55872
   0.00002,  -0.53656
   0.00000,  -0.54732
   0.00000,  -0.55831
   0.00000,  -0.55537
   0.00000,  -0.55760
   0.00000,  -0.55943
   0.00000,  -0.55943
   0.00000,  -0.56191
   0.00000,  -0.56545
   0.00000,  -0.56554
   0.00000,  -0.56651
   0.00000,  -0.56640
   0.00000,  -0.56585
   0.00000,  -0.57348
   0.00000,  -0.57527
   0.00001,  -0.58933
   0.00000,  -0.59079
   0.00000,  -0.59078
   0.00000,  -0.59751
   0.00000,  -0.59784
   0.00000,  -0.59708
   0.00000,  -0.59864
   0.00000,  -0.60862
   0.00000,  -0.60783
   0.00000,  -0.60753
   0.00000,  -0.60756
   0.00000,  -0.60521
   0.00000,  -0.59936
   0.00000,  -0.59878
   0.00000,  -0.60143
   0.00000,  -0.60282
   0.00000,  -0.61047
   0.00000,  -0.61439
   0.00000,  -0.62198
   0.00000,  -0.62256
   0.00001,  -0.63601
   0.00009,  -0.68612
   0.00004,  -0.69102
   0.00002,  -0.69176
   0.00000,  -0.69163
   0.00000,  -0.69505
   0.00000,  -0.70075
   0.00000,  -0.70657
   0.00000,  -0.70625
   0.00000,  -0.70446
   0.00000,  -0.70693
   0.00000,  -0.70564
   0.00000,  -0.70666
   0.00000,  -0.70737
   0.00000,  -0.70748
   0.00000,  -0.70759
   0.00000,  -0.70588
   0.00000,  -0.70654
   0.00000,  -0.71130
   0.00000,  -0.71245
   0.00000,  -0.71588
   0.00000,  -0.71329
   0.00000,  -0.71400
   0.00000,  -0.71342
   0.00000,  -0.71379
   0.00001,  -0.69368
   0.00000,  -0.70848
   0.00000,  -0.71017
   0.00000,  -0.69484
   0.00000,  -0.69453
   0.00000,  -0.69460
   0.00000,  -0.69410
   0.00000,  -0.69204
   0.00000,  -0.69457
   0.00000,  -0.69519
   0.00000,  -0.69514
   0.00000,  -0.69664
   0.00000,  -0.69632
   0.00000,  -0.69632
   0.00000,  -0.69686
   0.00002,  -0.67331
   0.00002,  -0.65262
   0.00001,  -0.64360
   0.00002,  -0.62243
   0.00000,  -0.62211
   0.00001,  -0.61210
   0.00000,  -0.60596
   0.00003,  -0.58366
   0.00000,  -0.58209
   0.00000,  -0.57972
   0.00341,  -0.29565
   0.00288,  -0.28500
   0.00222,  -0.28883
   0.00291,  -0.23898
   0.00320,  -0.18929
   0.00726,  -0.01603
   0.00362,  -0.03960
   0.01413,   0.20721
   0.01476,   0.21517
   0.00002,   0.15631
   0.00716,   0.20061
   0.00774,   0.29874
   0.00778,   0.30217
   0.00267,   0.30746
   0.01288,   0.35711
   0.00932,   0.35017
   0.01440,   0.36566
   0.00904,   0.35419
   0.01202,   0.38270
   0.01490,   0.39147
   0.01119,   0.38827
   0.00984,   0.38464
   0.01235,   0.39799
   0.01089,   0.39448
   0.00999,   0.39211
   0.00817,   0.38317
   0.00837,   0.38466
   0.00707,   0.38265
   0.00905,   0.40042
   0.00749,   0.39932
   0.00662,   0.39747
   0.00533,   0.39651
   0.00508,   0.39583
   0.00629,   0.39863
   0.00514,   0.39758
   0.00497,   0.39715
   0.00479,   0.40053
   0.00396,   0.39941
   0.00343,   0.39931
