MSE, Q-LIKE
67343.24923,   5.56046
1121.84581,   3.52436
2590.18758,   3.93832
33278.19557,   5.20873
1582.50405,   3.69435
4039.20459,   4.15877
 562.08989,   3.18417
2871.55038,   3.98946
21050.83734,   4.98037
4245.79251,   4.18354
16322.42656,   4.85357
1027.52374,   3.48107
 460.62719,   3.08658
1203.92747,   3.55925
18780.95684,   4.92352
6252.98628,   4.37601
18049.13343,   4.90381
182055.24189,   6.05710
4130074.90999,   7.61713
311860.84583,   6.32597
51478.96176,   5.42647
243072.58757,   6.20149
555348.00181,   6.61429
4104.19875,   4.16705
109451.06332,   5.80301
23133.23529,   5.02754
370130.48326,   6.41156
169488.29158,   6.02139
273030.98809,   6.25956
3214584.50982,   7.49186
190630.80771,   6.08012
6497.32226,   4.39537
80740.59837,   5.65115
58668.74117,   5.49176
274824.38628,   6.26284
397876.29130,   6.44769
96609.82770,   5.74072
10459.65677,   4.63221
1185.96769,   3.55269
 911.82196,   3.42321
55936.52097,   5.46797
2368.44618,   3.89462
16443.49818,   4.85751
5670.02591,   4.32772
26047.68271,   5.08675
1043.82592,   3.48980
45712.66856,   5.36728
35717.95287,   5.24421
68921.42277,   5.57216
4229.13279,   4.18212
21896.44917,   5.00022
4692.78657,   4.23375
6711.76295,   4.41155
125068.52334,   5.86964
3218.72053,   4.04664
8018.25926,   4.49999
1307.62505,   3.60093
17464.34134,   4.88752
36238.04002,   5.25141
1635.59705,   3.71151
5048.37921,   4.27004
17700.44111,   4.89421
2054.08938,   3.82404
2101.31163,   3.83527
34888.24646,   5.23244
2901.34114,   3.99506
 424.41185,   3.04763
12296.38515,   4.71270
 508.96371,   3.13655
3689.46931,   4.11420
3971.69648,   4.15079
 103.91811,   2.36639
2651.84343,   3.95020
1031.32947,   3.48315
9222.50469,   4.56935
11430.52856,   4.67619
 525.58806,   3.15157
12884.72057,   4.73584
1958.30463,   3.79999
25312.64042,   5.07234
7729.55918,   4.48149
4200.69858,   4.17840
2493.96510,   3.91987
2102.10667,   3.83521
8024.71718,   4.50019
4131.32176,   4.17053
19072.79247,   4.93144
22125.75677,   5.00544
8073225.02816,   7.95220
107841.14972,   5.79566
603845.64332,   6.65615
60136.60760,   5.50411
9013.72533,   4.55822
395853.25089,   6.44515
4782.58538,   4.24319
216522.82791,   6.14374
5638.89537,   4.32498
344290.44801,   6.37542
 845.32113,   3.38599
3142.42377,   4.03477
29750.94786,   5.15303
29550.86458,   5.14966
12775.82784,   4.73179
4097.21720,   4.16633
3807.13794,   4.12989
212566.99376,   6.13452
3157.51745,   4.03708
31705.15784,   5.18475
616227.42412,   6.66628
4752.08472,   4.23994
22364.60408,   5.01074
7753.95251,   4.48326
17172.41313,   4.87906
2124.38508,   3.84049
3574.44547,   4.09820
56202.52683,   5.47023
  77.60860,   2.22548
2662.44479,   3.95207
1202.58300,   3.55891
45462.48917,   5.36440
14317.70934,   4.78830
147528.04845,   5.95203
29299.12276,   5.14522
9104.27621,   4.56285
1071.65954,   3.50184
12327.92774,   4.71376
 791.60626,   3.35257
204836.40567,   6.11595
10464.24010,   4.63215
6953.46044,   4.42876
3517.03467,   4.09008
3359.71870,   4.06737
1429.92128,   3.64429
 795.90739,   3.35530
16055.10833,   4.84541
33810.36079,   5.21669
10589.20325,   4.63815
13129.85966,   4.74523
4725.23224,   4.23684
1370.45351,   3.62356
18897.18989,   4.92667
37305.57570,   5.26580
50161.89794,   5.41353
10186.65937,   4.61892
15790.55032,   4.83720
20462.85600,   4.96636
25800.72923,   5.08191
10356.65398,   4.62715
120463.18795,   5.85086
44452.57010,   5.35324
49074.28654,   5.40260
48123.83607,   5.39284
20607.82324,   4.96988
72509.87550,   5.59746
321493.42502,   6.34119
342597.16820,   6.37297
368454.97082,   6.40933
514779.85206,   6.57642
221414.34280,   6.15492
306110.38143,   6.31673
369836.74054,   6.41121
329489.51064,   6.35352
393817.84485,   6.44262
46532.29950,   5.37644
4638291.21816,   7.67518
31684713.98651,   8.63577
8272698.29389,   7.96445
40645433.64468,   8.76030
116933276.50520,   9.28862
173491307.75454,   9.48587
37736153.74481,   8.72318
3067041.12755,   7.46851
7567091.17796,   7.91992
27061393.97342,   8.55695
24331121.00028,   8.50379
37442641.80507,   8.71929
94700485.84330,   9.18320
56640560.38154,   8.92622
9605907.06671,   8.03920
35724720.94240,   8.69581
17309862.13916,   8.33359
4444859.00508,   7.65401
4747257.34109,   7.68691
555463.22102,   6.61488
2534977.00183,   7.37336
5236353.60324,   7.73593
4411094.89435,   7.65021
470488.09277,   6.53196
851518.41676,   6.82825
571438.23840,   6.62901
424058.76472,   6.48003
504257.97074,   6.56655
652552.51574,   6.69532
1901470.63268,   7.22965
5478331.81718,   7.75850
871054.06436,   6.83959
107113.64872,   5.79327
91111.41043,   5.71259
797431.90294,   6.79548
1721225.87556,   7.17989
341693.35170,   6.37223
3579265.19874,   7.54577
