MSE, Q-LIKE
   0.00004,  -0.44390
   0.00003,  -0.44435
   0.00001,  -0.45595
   0.00001,  -0.45824
   0.00001,  -0.45968
   0.00001,  -0.45953
   0.00000,  -0.46355
   0.00000,  -0.46278
   0.00000,  -0.46322
   0.00000,  -0.46570
   0.00000,  -0.46505
   0.00000,  -0.46473
   0.00003,  -0.49350
   0.00004,  -0.49808
   0.00004,  -0.49816
   0.00004,  -0.49819
   0.00005,  -0.50022
   0.00004,  -0.49593
   0.00004,  -0.49698
   0.00004,  -0.49635
   0.00004,  -0.49635
   0.00004,  -0.49592
   0.00001,  -0.48323
   0.00001,  -0.48325
   0.00001,  -0.48430
   0.00005,  -0.43980
   0.00005,  -0.43856
   0.00006,  -0.43562
   0.00008,  -0.43216
   0.00007,  -0.43274
   0.00007,  -0.43221
   0.00004,  -0.44179
   0.00004,  -0.44193
   0.00004,  -0.44216
   0.00004,  -0.44097
   0.00004,  -0.44198
   0.00003,  -0.44497
   0.00003,  -0.44456
   0.00004,  -0.44362
   0.00004,  -0.44355
   0.00002,  -0.44948
   0.00002,  -0.45077
   0.00002,  -0.45151
   0.00002,  -0.45152
   0.00002,  -0.45076
   0.00002,  -0.45077
   0.00002,  -0.45140
   0.00002,  -0.45109
   0.00002,  -0.45294
   0.00001,  -0.45308
   0.00001,  -0.45315
   0.00001,  -0.45746
   0.00000,  -0.46211
   0.00000,  -0.47667
   0.00006,  -0.50259
   0.00006,  -0.50285
   0.00005,  -0.50102
   0.00007,  -0.50492
   0.00005,  -0.50019
   0.00007,  -0.50511
   0.00010,  -0.51301
   0.00010,  -0.51355
   0.00010,  -0.51389
   0.00011,  -0.51465
   0.00011,  -0.51459
   0.00010,  -0.51427
   0.00010,  -0.51371
   0.00010,  -0.51368
   0.00010,  -0.51424
   0.00010,  -0.51382
   0.00010,  -0.51341
   0.00010,  -0.51362
   0.00009,  -0.51189
   0.00008,  -0.50972
   0.00005,  -0.50029
   0.00004,  -0.49754
   0.00003,  -0.49448
   0.00003,  -0.49370
   0.00003,  -0.49495
   0.00002,  -0.49091
   0.00001,  -0.48600
   0.00001,  -0.48065
   0.00001,  -0.48139
   0.00001,  -0.48006
   0.00000,  -0.47924
   0.00001,  -0.48157
   0.00001,  -0.48145
   0.00001,  -0.48149
   0.00001,  -0.48049
   0.00001,  -0.48292
   0.00001,  -0.48140
   0.00001,  -0.48087
   0.00001,  -0.47993
   0.00000,  -0.46162
   0.00002,  -0.45059
   0.00006,  -0.43664
   0.00014,  -0.41910
   0.00014,  -0.41898
   0.00015,  -0.41651
   0.00020,  -0.40847
   0.00023,  -0.40383
   0.00037,  -0.38663
   0.00037,  -0.38601
   0.00148,  -0.30266
   0.00215,  -0.26821
   0.00268,  -0.24481
   0.00706,  -0.10435
   0.01063,  -0.02142
   0.01245,   0.01535
   0.01244,   0.01526
   0.01306,   0.02720
   0.01461,   0.05575
   0.01802,   0.11397
   0.01802,   0.11393
   0.02516,   0.21993
   0.02525,   0.22120
   0.02609,   0.23260
   0.02939,   0.27569
   0.02992,   0.28231
   0.03028,   0.28688
   0.03040,   0.28833
   0.03059,   0.29076
   0.03085,   0.29398
   0.03240,   0.31294
   0.03253,   0.31448
   0.03241,   0.31297
   0.03291,   0.31901
   0.03294,   0.31935
   0.02798,   0.25752
   0.02813,   0.25944
   0.02809,   0.25896
   0.02885,   0.26884
   0.02956,   0.27776
   0.02966,   0.27902
   0.02959,   0.27816
   0.02950,   0.27710
   0.02939,   0.27561
   0.03020,   0.28589
   0.03020,   0.28586
   0.03146,   0.30148
   0.03204,   0.30851
   0.03218,   0.31025
