MSE, Q-LIKE
   0.00000,  -0.44750
   0.00000,  -0.44747
   0.00000,  -0.44573
   0.00000,  -0.44736
   0.00000,  -0.44730
   0.00000,  -0.44082
   0.00000,  -0.44019
   0.00000,  -0.44241
   0.00000,  -0.44347
   0.00000,  -0.44673
   0.00000,  -0.44528
   0.00000,  -0.44585
   0.00000,  -0.44620
   0.00000,  -0.44631
   0.00000,  -0.44657
   0.00000,  -0.44721
   0.00000,  -0.44532
   0.00000,  -0.44562
   0.00000,  -0.44362
   0.00000,  -0.44423
   0.00000,  -0.44467
   0.00001,  -0.45598
   0.00000,  -0.45829
   0.00000,  -0.45973
   0.00000,  -0.45958
   0.00000,  -0.46357
   0.00000,  -0.46280
   0.00000,  -0.46324
   0.00000,  -0.46570
   0.00000,  -0.46506
   0.00000,  -0.46474
   0.00005,  -0.49332
   0.00001,  -0.49840
   0.00000,  -0.49856
   0.00000,  -0.49860
   0.00000,  -0.50069
   0.00000,  -0.49627
   0.00000,  -0.49735
   0.00000,  -0.49671
   0.00000,  -0.49671
   0.00000,  -0.49627
   0.00001,  -0.48325
   0.00000,  -0.48334
   0.00000,  -0.48440
   0.00011,  -0.43922
   0.00003,  -0.43876
   0.00001,  -0.43610
   0.00000,  -0.43283
   0.00000,  -0.43341
   0.00000,  -0.43290
   0.00001,  -0.44212
   0.00000,  -0.44231
   0.00000,  -0.44254
   0.00000,  -0.44138
   0.00000,  -0.44236
   0.00000,  -0.44527
   0.00000,  -0.44487
   0.00000,  -0.44396
   0.00000,  -0.44389
   0.00000,  -0.44967
   0.00000,  -0.45095
   0.00000,  -0.45167
   0.00000,  -0.45169
   0.00000,  -0.45094
   0.00000,  -0.45095
   0.00000,  -0.45157
   0.00000,  -0.45126
   0.00000,  -0.45308
   0.00000,  -0.45322
   0.00000,  -0.45328
   0.00000,  -0.45752
   0.00000,  -0.46213
   0.00001,  -0.47659
   0.00004,  -0.50276
   0.00000,  -0.50340
   0.00000,  -0.50152
   0.00000,  -0.50554
   0.00000,  -0.50065
   0.00000,  -0.50574
   0.00000,  -0.51393
   0.00000,  -0.51454
   0.00000,  -0.51489
   0.00000,  -0.51568
   0.00000,  -0.51562
   0.00000,  -0.51528
   0.00000,  -0.51470
   0.00000,  -0.51467
   0.00000,  -0.51526
   0.00000,  -0.51481
   0.00000,  -0.51439
   0.00000,  -0.51461
   0.00000,  -0.51280
   0.00000,  -0.51054
   0.00001,  -0.50071
   0.00000,  -0.49793
   0.00000,  -0.49478
   0.00000,  -0.49399
   0.00000,  -0.49527
   0.00000,  -0.49113
   0.00000,  -0.48612
   0.00000,  -0.48069
   0.00000,  -0.48146
   0.00000,  -0.48011
   0.00000,  -0.47929
   0.00000,  -0.48164
   0.00000,  -0.48152
   0.00000,  -0.48156
   0.00000,  -0.48055
   0.00000,  -0.48300
   0.00000,  -0.48147
   0.00000,  -0.48093
   0.00000,  -0.47998
   0.00002,  -0.46147
   0.00001,  -0.45070
   0.00001,  -0.43708
   0.00002,  -0.42018
   0.00000,  -0.42023
   0.00000,  -0.41788
   0.00000,  -0.41025
   0.00000,  -0.40591
   0.00001,  -0.38979
   0.00000,  -0.38933
   0.00038,  -0.31236
   0.00023,  -0.28451
   0.00012,  -0.26609
   0.00111,  -0.15178
   0.00135,  -0.09223
   0.00090,  -0.06993
   0.00018,  -0.07352
   0.00001,  -0.06631
   0.00000,  -0.04746
   0.00005,  -0.00980
   0.00002,  -0.00996
   0.00026,   0.05568
   0.00001,   0.05554
   0.00003,   0.06234
   0.00000,   0.08722
   0.00003,   0.09109
   0.00002,   0.09368
   0.00001,   0.09447
   0.00000,   0.09583
   0.00000,   0.09764
   0.00001,   0.10837
   0.00000,   0.10920
   0.00000,   0.10835
   0.00000,   0.11173
   0.00000,   0.11193
   0.00022,   0.07741
   0.00000,   0.07787
   0.00001,   0.07760
   0.00001,   0.08331
   0.00000,   0.08842
   0.00000,   0.08913
   0.00000,   0.08864
   0.00000,   0.08803
   0.00000,   0.08717
   0.00001,   0.09307
   0.00000,   0.09303
   0.00002,   0.10195
   0.00002,   0.10590
   0.00000,   0.10684
   0.35167,   1.55812
   0.30925,   1.44062
   0.27740,   1.36476
   0.24526,   1.29745
   0.21248,   1.23717
   0.17969,   1.18434
   0.14736,   1.13874
   0.11597,   1.10006
   0.08629,   1.06815
   0.05947,   1.04298
   0.03635,   1.02404
   0.01800,   1.01090
   0.00570,   1.00316
   0.00029,   1.00015
   0.00084,   1.00041
   0.00341,   1.00158
   0.00705,   1.00316
   0.01004,   1.00442
   0.00977,   1.00431
   0.00786,   1.00351
