MSE, Q-LIKE
   0.00004,  -0.44709
   0.00000,  -0.44743
   0.00000,  -0.44573
   0.00001,  -0.44731
   0.00000,  -0.44730
   0.00000,  -0.44080
   0.00000,  -0.44019
   0.00000,  -0.44240
   0.00000,  -0.44348
   0.00001,  -0.44664
   0.00000,  -0.44527
   0.00001,  -0.44577
   0.00000,  -0.44620
   0.00000,  -0.44628
   0.00000,  -0.44655
   0.00001,  -0.44714
   0.00001,  -0.44525
   0.00000,  -0.44562
   0.00001,  -0.44351
   0.00000,  -0.44421
   0.00000,  -0.44466
   0.00001,  -0.45595
   0.00000,  -0.45829
   0.00000,  -0.45973
   0.00000,  -0.45957
   0.00000,  -0.46357
   0.00001,  -0.46275
   0.00000,  -0.46324
   0.00000,  -0.46571
   0.00001,  -0.46500
   0.00000,  -0.46473
   0.00003,  -0.49351
   0.00000,  -0.49846
   0.00000,  -0.49855
   0.00000,  -0.49857
   0.00000,  -0.50069
   0.00000,  -0.49626
   0.00001,  -0.49728
   0.00001,  -0.49658
   0.00001,  -0.49664
   0.00000,  -0.49627
   0.00000,  -0.48328
   0.00000,  -0.48334
   0.00000,  -0.48440
   0.00016,  -0.43868
   0.00005,  -0.43853
   0.00000,  -0.43616
   0.00000,  -0.43284
   0.00000,  -0.43341
   0.00000,  -0.43288
   0.00001,  -0.44211
   0.00001,  -0.44226
   0.00000,  -0.44251
   0.00000,  -0.44137
   0.00001,  -0.44227
   0.00000,  -0.44526
   0.00000,  -0.44487
   0.00000,  -0.44391
   0.00000,  -0.44387
   0.00000,  -0.44967
   0.00000,  -0.45095
   0.00000,  -0.45166
   0.00000,  -0.45169
   0.00000,  -0.45093
   0.00000,  -0.45094
   0.00000,  -0.45156
   0.00000,  -0.45126
   0.00000,  -0.45308
   0.00000,  -0.45322
   0.00001,  -0.45320
   0.00000,  -0.45752
   0.00000,  -0.46214
   0.00000,  -0.47668
   0.00005,  -0.50263
   0.00001,  -0.50333
   0.00000,  -0.50151
   0.00000,  -0.50551
   0.00000,  -0.50064
   0.00001,  -0.50564
   0.00001,  -0.51391
   0.00000,  -0.51453
   0.00000,  -0.51485
   0.00006,  -0.51510
   0.00000,  -0.51562
   0.00000,  -0.51528
   0.00000,  -0.51470
   0.00000,  -0.51466
   0.00000,  -0.51525
   0.00000,  -0.51481
   0.00000,  -0.51436
   0.00000,  -0.51461
   0.00000,  -0.51280
   0.00000,  -0.51054
   0.00001,  -0.50070
   0.00000,  -0.49793
   0.00000,  -0.49478
   0.00000,  -0.49396
   0.00000,  -0.49527
   0.00000,  -0.49114
   0.00000,  -0.48612
   0.00000,  -0.48068
   0.00000,  -0.48143
   0.00000,  -0.48011
   0.00000,  -0.47929
   0.00000,  -0.48162
   0.00000,  -0.48151
   0.00000,  -0.48155
   0.00000,  -0.48052
   0.00000,  -0.48298
   0.00001,  -0.48141
   0.00000,  -0.48092
   0.00000,  -0.47998
   0.00002,  -0.46142
   0.00001,  -0.45065
   0.00001,  -0.43705
   0.00001,  -0.42029
   0.00001,  -0.42010
   0.00000,  -0.41785
   0.00001,  -0.41019
   0.00003,  -0.40564
   0.00001,  -0.38984
   0.00000,  -0.38932
   0.00040,  -0.31221
   0.00010,  -0.28549
   0.00000,  -0.26686
   0.00077,  -0.15389
   0.00083,  -0.09514
   0.00003,  -0.07417
   0.00039,  -0.07282
   0.00077,  -0.06341
   0.00020,  -0.04659
   0.01138,   0.02033
   0.00004,  -0.00990
   0.00110,   0.05801
   0.00009,   0.05578
   0.00283,   0.07002
   0.00010,   0.08753
   0.00014,   0.09143
   0.00032,   0.09465
   0.00005,   0.09459
   0.00012,   0.09617
   0.00018,   0.09821
   0.00000,   0.10833
   0.00013,   0.10956
   0.00005,   0.10849
   0.00000,   0.11173
   0.00007,   0.11214
   0.00041,   0.07799
   0.00007,   0.07809
   0.00002,   0.07763
   0.00007,   0.08351
   0.00000,   0.08841
   0.00001,   0.08914
   0.00000,   0.08864
   0.00002,   0.08808
   0.00003,   0.08727
   0.00003,   0.09314
   0.00003,   0.09312
   0.00007,   0.10211
   0.00000,   0.10585
   0.00000,   0.10684
