MSE, Q-LIKE
 301.71792,   2.87785
1014.31617,   3.47364
14320.46839,   4.78810
 436.80379,   3.05898
40054.97871,   5.30103
21712.39305,   4.99557
 406.61624,   3.02390
 715.37657,   3.30148
1710.53423,   3.73205
3454.14957,   4.08055
12819.75854,   4.73294
12190.03815,   4.70786
1292.11099,   3.59327
2473.30974,   3.91480
1443.93706,   3.64837
1909.12446,   3.78664
10849.21620,   4.64989
15769.84153,   4.83623
4234.06270,   4.18183
1893.75518,   3.78269
9831.54672,   4.60087
2926.57284,   3.99855
32560.33477,   5.19775
 671.58247,   3.27096
55603.28492,   5.46479
1554.26998,   3.68527
43817.07603,   5.34595
185512.88141,   6.06644
571949.65916,   6.62897
8454.95889,   4.52594
43928.82100,   5.34722
220904.69786,   6.15366
519119.02942,   6.58055
5069.25548,   4.27158
87179.71232,   5.68934
70989.15216,   5.58678
315621.88422,   6.33193
21193.91556,   4.98373
328166.00455,   6.35140
113126.50168,   5.81943
2901.86801,   3.99459
42465.78051,   5.33033
5884.85893,   4.34570
34178.91640,   5.22202
2547.34372,   3.92996
74535.97960,   5.61110
9925.29698,   4.60576
8515.17430,   4.52950
5056.30978,   4.27029
7296.83929,   4.45267
45881.08238,   5.36892
8440.32078,   4.52509
1012.60265,   3.47368
5886.49220,   4.34584
18801.14842,   4.92399
 966.61610,   3.45086
3208.08496,   4.04438
10211.41635,   4.61993
25699.89716,   5.07982
 614.46839,   3.22768
2650.03962,   3.94953
6052.74645,   4.35967
9163.53260,   4.56599
 811.25723,   3.36428
4839.61911,   4.24844
1935.58114,   3.79378
2785.30600,   3.97414
146497.01501,   5.94847
 975.15035,   3.45451
3175.93451,   4.03901
15017.63937,   4.81187
 161.57517,   2.57475
  37.42621,   1.87728
5442.38451,   4.30659
 168.91248,   2.59567
 853.35718,   3.38847
2401.87172,   3.90027
3732.62748,   4.11908
 590.59118,   3.20711
1028.25506,   3.48039
2460.66960,   3.91223
2457.94474,   3.91169
 857.08035,   3.39041
1198.74653,   3.55606
 680.09216,   3.27640
1954.48538,   3.79783
 496.66536,   3.12154
 113.30253,   2.40157
3507.10341,   4.08790
9253.97155,   4.57065
7055.80087,   4.43568
7539.03966,   4.46861
8535.85607,   4.53041
2240.55526,   3.86581
1532.18980,   3.67759
4259.46693,   4.18466
5106.53543,   4.27476
6961.86109,   4.42892
7411.05715,   4.46002
4988.91202,   4.26316
9767.20986,   4.59738
5347059.90825,   7.74620
3318.64707,   4.06047
1544.77632,   3.68128
5304.48148,   4.29357
2259646.22386,   7.31562
2540.47025,   3.92786
1558.23406,   3.68561
7841945.89263,   7.93764
278919.62090,   6.27008
21914.79324,   5.00009
36135.36119,   5.24955
51614.69823,   5.42747
107804.55845,   5.79521
 891.31277,   3.40848
4149.37744,   4.17099
49154.24787,   5.40300
1063.78099,   3.49591
14172.18087,   4.78257
7120.91020,   4.43967
15305.86650,   4.82088
1531.76025,   3.67613
29280.37565,   5.14442
8761.08770,   4.54284
5263.87725,   4.28922
7110.51873,   4.43889
1659.94545,   3.71600
7531.53368,   4.46752
1600.03053,   3.69780
3350.90969,   4.06466
1831.61552,   3.76472
12139.09807,   4.70529
2305.75025,   3.87891
1268.44355,   3.58265
65545.58066,   5.54662
16957.69206,   4.87194
 408.48649,   3.02354
 162.59220,   2.57291
 227.82054,   2.73752
14156.78370,   4.78195
2805.26073,   3.97632
8860.75214,   4.54847
1265.53409,   3.58159
1471.27058,   3.65619
44601.94620,   5.35445
23047.40205,   5.02500
10373.00055,   4.62697
13402.25617,   4.75465
26277.20180,   5.09041
6749.17276,   4.41286
52595.66798,   5.43673
6255.17341,   4.37503
4371.23213,   4.19673
2787.20823,   3.97313
33095.85767,   5.20554
11559.71571,   4.68095
15660.33813,   4.83235
63739.78943,   5.53275
70510.83367,   5.58321
686840.97213,   6.72039
39454.00782,   5.29346
2459676.74252,   7.35803
751486.94861,   6.76537
2134460.48352,   7.28716
2948210.49933,   7.44862
7321380.37985,   7.90333
16909626.14488,   8.32182
28479855.17164,   8.58246
28435829.15402,   8.58171
293394170.31535,   9.74856
465158302.28425,   9.97898
557121210.24253,  10.06918
45021439.61966,   8.81144
33671746.02863,   8.66622
6579789.81823,   7.85007
33610994.83133,   8.66532
84637373.65689,   9.12703
47317313.30573,   8.83631
7558374.84683,   7.91938
5227034.13658,   7.73504
2842742.70006,   7.43063
3290206.96919,   7.50369
4995448.92078,   7.71239
803846.64902,   6.79952
906816.31602,   6.85973
6329658.49221,   7.83071
3774281.84532,   7.57230
68412.98207,   5.56989
377983.78005,   6.42268
1149114.75321,   6.97805
1449075.01195,   7.09393
2539986.65545,   7.37437
1073191.75450,   6.94390
1438137.54718,   7.09015
1249135.40247,   7.01975
592049.32398,   6.64679
217475.50329,   6.14678
385202.41632,   6.43216
4719865.87373,   7.68404
956885.05462,   6.88661
163890.42669,   6.00562
260059.15432,   6.23603
