MSE, Q-LIKE
   0.00002,  -0.53295
   0.00001,  -0.53387
   0.00001,  -0.53363
   0.00001,  -0.53865
   0.00001,  -0.54033
   0.00001,  -0.54098
   0.00000,  -0.54239
   0.00001,  -0.56533
   0.00002,  -0.57318
   0.00002,  -0.57340
   0.00002,  -0.57239
   0.00002,  -0.57223
   0.00002,  -0.57335
   0.00002,  -0.57370
   0.00007,  -0.59052
   0.00007,  -0.59007
   0.00007,  -0.59228
   0.00007,  -0.59114
   0.00009,  -0.59660
   0.00008,  -0.59488
   0.00009,  -0.59588
   0.00009,  -0.59555
   0.00012,  -0.60425
   0.00012,  -0.60402
   0.00013,  -0.60538
   0.00022,  -0.62124
   0.00022,  -0.62093
   0.00022,  -0.62106
   0.00023,  -0.62360
   0.00005,  -0.58523
   0.00005,  -0.58389
   0.00007,  -0.59110
   0.00007,  -0.59096
   0.00007,  -0.59112
   0.00007,  -0.59029
   0.00008,  -0.59343
   0.00011,  -0.60149
   0.00011,  -0.60056
   0.00013,  -0.60446
   0.00013,  -0.60462
   0.00021,  -0.62040
   0.00021,  -0.62018
   0.00023,  -0.62350
   0.00024,  -0.62397
   0.00021,  -0.61959
   0.00022,  -0.62094
   0.00021,  -0.62013
   0.00022,  -0.62096
   0.00026,  -0.62841
   0.00028,  -0.62991
   0.00029,  -0.63198
   0.00033,  -0.63762
   0.00038,  -0.64338
   0.00040,  -0.64622
   0.00090,  -0.69314
   0.00091,  -0.69436
   0.00089,  -0.69211
   0.00090,  -0.69281
   0.00089,  -0.69258
   0.00098,  -0.69948
   0.00112,  -0.70979
   0.00118,  -0.71359
   0.00114,  -0.71122
   0.00112,  -0.70968
   0.00112,  -0.70960
   0.00112,  -0.70929
   0.00112,  -0.70939
   0.00115,  -0.71143
   0.00109,  -0.70739
   0.00110,  -0.70783
   0.00122,  -0.71627
   0.00126,  -0.71927
   0.00126,  -0.71929
   0.00125,  -0.71839
   0.00130,  -0.72165
   0.00128,  -0.72045
   0.00128,  -0.72050
   0.00131,  -0.72210
   0.00122,  -0.71651
   0.00119,  -0.71407
   0.00117,  -0.71288
   0.00114,  -0.71096
   0.00116,  -0.71226
   0.00115,  -0.71178
   0.00112,  -0.70966
   0.00114,  -0.71086
   0.00117,  -0.71306
   0.00121,  -0.71575
   0.00120,  -0.71477
   0.00130,  -0.72178
   0.00130,  -0.72173
   0.00127,  -0.71974
   0.00126,  -0.71892
   0.00114,  -0.71108
   0.00116,  -0.71201
   0.00116,  -0.71201
   0.00088,  -0.69195
   0.00073,  -0.67942
   0.00038,  -0.64387
   0.00038,  -0.64357
   0.00014,  -0.60709
   0.00010,  -0.59822
   0.00007,  -0.59049
   0.00006,  -0.51388
   0.00034,  -0.46402
   0.00059,  -0.43655
   0.00242,  -0.31957
   0.00360,  -0.26867
   0.01919,   0.10217
   0.02024,   0.11969
   0.02520,   0.19747
   0.02568,   0.20460
   0.02688,   0.22213
   0.02878,   0.24898
   0.03646,   0.34947
   0.03658,   0.35098
   0.03902,   0.38062
   0.03930,   0.38394
   0.03966,   0.38814
   0.04065,   0.39986
   0.04158,   0.41071
   0.04146,   0.40922
   0.04151,   0.40985
   0.04380,   0.43605
   0.04379,   0.43589
   0.04379,   0.43590
   0.04433,   0.44201
   0.04438,   0.44250
   0.04516,   0.45124
   0.04608,   0.46137
   0.04610,   0.46161
   0.04715,   0.47312
   0.04728,   0.47449
   0.04764,   0.47835
   0.04777,   0.47984
   0.04781,   0.48024
   0.04896,   0.49259
   0.04919,   0.49506
   0.04917,   0.49476
   0.04932,   0.49637
   0.04905,   0.49349
   0.04901,   0.49309
