MSE, Q-LIKE
   0.00000,  -0.52932
   0.00000,  -0.53025
   0.00000,  -0.53001
   0.00000,  -0.52990
   0.00000,  -0.53001
   0.00000,  -0.52994
   0.00000,  -0.52742
   0.00000,  -0.52706
   0.00000,  -0.52726
   0.00000,  -0.53071
   0.00000,  -0.53032
   0.00000,  -0.53032
   0.00000,  -0.52964
   0.00000,  -0.52942
   0.00000,  -0.52294
   0.00000,  -0.52485
   0.00000,  -0.52496
   0.00000,  -0.53118
   0.00000,  -0.53305
   0.00000,  -0.53312
   0.00000,  -0.53403
   0.00000,  -0.53379
   0.00000,  -0.53871
   0.00000,  -0.54039
   0.00000,  -0.54104
   0.00000,  -0.54243
   0.00002,  -0.56522
   0.00000,  -0.57337
   0.00000,  -0.57364
   0.00000,  -0.57261
   0.00000,  -0.57244
   0.00000,  -0.57359
   0.00000,  -0.57394
   0.00002,  -0.59111
   0.00000,  -0.59082
   0.00000,  -0.59313
   0.00000,  -0.59194
   0.00000,  -0.59762
   0.00000,  -0.59585
   0.00000,  -0.59689
   0.00000,  -0.59655
   0.00000,  -0.60563
   0.00000,  -0.60544
   0.00000,  -0.60688
   0.00001,  -0.62365
   0.00000,  -0.62345
   0.00000,  -0.62359
   0.00000,  -0.62632
   0.00006,  -0.58502
   0.00002,  -0.58424
   0.00000,  -0.59190
   0.00000,  -0.59176
   0.00000,  -0.59192
   0.00000,  -0.59106
   0.00000,  -0.59432
   0.00000,  -0.60275
   0.00000,  -0.60179
   0.00000,  -0.60590
   0.00000,  -0.60607
   0.00001,  -0.62272
   0.00000,  -0.62265
   0.00000,  -0.62620
   0.00000,  -0.62672
   0.00000,  -0.62199
   0.00000,  -0.62346
   0.00000,  -0.62260
   0.00000,  -0.62348
   0.00000,  -0.63150
   0.00000,  -0.63315
   0.00000,  -0.63539
   0.00000,  -0.64152
   0.00000,  -0.64784
   0.00000,  -0.65100
   0.00010,  -0.70282
   0.00001,  -0.70547
   0.00000,  -0.70298
   0.00000,  -0.70380
   0.00000,  -0.70356
   0.00000,  -0.71159
   0.00001,  -0.72372
   0.00000,  -0.72831
   0.00000,  -0.72549
   0.00000,  -0.72366
   0.00000,  -0.72357
   0.00000,  -0.72320
   0.00000,  -0.72332
   0.00000,  -0.72574
   0.00000,  -0.72094
   0.00000,  -0.72147
   0.00000,  -0.73147
   0.00000,  -0.73511
   0.00000,  -0.73515
   0.00000,  -0.73406
   0.00000,  -0.73798
   0.00000,  -0.73654
   0.00000,  -0.73660
   0.00000,  -0.73853
   0.00000,  -0.73178
   0.00000,  -0.72889
   0.00000,  -0.72748
   0.00000,  -0.72518
   0.00000,  -0.72674
   0.00000,  -0.72617
   0.00000,  -0.72364
   0.00000,  -0.72507
   0.00000,  -0.72769
   0.00000,  -0.73089
   0.00000,  -0.72974
   0.00000,  -0.73810
   0.00000,  -0.73809
   0.00000,  -0.73568
   0.00000,  -0.73470
   0.00000,  -0.72528
   0.00000,  -0.72644
   0.00000,  -0.72644
   0.00002,  -0.70255
   0.00001,  -0.68825
   0.00006,  -0.64755
   0.00000,  -0.64805
   0.00006,  -0.60791
   0.00001,  -0.59925
   0.00000,  -0.59122
   0.00028,  -0.51136
   0.00028,  -0.46468
   0.00019,  -0.44089
   0.00085,  -0.33569
   0.00069,  -0.29709
   0.00844,   0.00271
   0.00616,  -0.00380
   0.00644,   0.03984
   0.00423,   0.03125
   0.00271,   0.03314
   0.00159,   0.04283
   0.00184,   0.09741
   0.00036,   0.09278
   0.00005,   0.10722
   0.00004,   0.10889
   0.00008,   0.11117
   0.00005,   0.11712
   0.00002,   0.12256
   0.00002,   0.12181
   0.00001,   0.12211
   0.00001,   0.13539
   0.00000,   0.13526
   0.00000,   0.13527
   0.00000,   0.13834
   0.00000,   0.13859
   0.00000,   0.14296
   0.00001,   0.14801
   0.00000,   0.14813
   0.00001,   0.15384
   0.00000,   0.15450
   0.00000,   0.15641
   0.00000,   0.15713
   0.00000,   0.15734
   0.00002,   0.16344
   0.00002,   0.16466
   0.00001,   0.16449
   0.00002,   0.16529
   0.00001,   0.16387
   0.00001,   0.16365
   0.32511,   1.48218
   0.27917,   1.36873
   0.24497,   1.29689
   0.21083,   1.23435
   0.17650,   1.17955
   0.14279,   1.13278
   0.11041,   1.09374
   0.08008,   1.06201
   0.05284,   1.03728
   0.03005,   1.01933
   0.01289,   1.00756
   0.00262,   1.00141
   0.00007,   1.00003
   0.00253,   1.00118
   0.00745,   1.00333
   0.01498,   1.00642
   0.02397,   1.00988
   0.03108,   1.01250
   0.03156,   1.01267
   0.02841,   1.01153
