MSE, Q-LIKE
   0.00003,  -0.52901
   0.00000,  -0.53023
   0.00000,  -0.53000
   0.00001,  -0.52982
   0.00000,  -0.53000
   0.00000,  -0.52994
   0.00000,  -0.52741
   0.00000,  -0.52701
   0.00000,  -0.52726
   0.00001,  -0.53060
   0.00000,  -0.53029
   0.00001,  -0.53022
   0.00000,  -0.52963
   0.00000,  -0.52938
   0.00000,  -0.52296
   0.00001,  -0.52477
   0.00001,  -0.52489
   0.00000,  -0.53120
   0.00001,  -0.53299
   0.00000,  -0.53311
   0.00000,  -0.53402
   0.00000,  -0.53379
   0.00000,  -0.53871
   0.00000,  -0.54039
   0.00000,  -0.54103
   0.00000,  -0.54243
   0.00000,  -0.56537
   0.00001,  -0.57333
   0.00000,  -0.57364
   0.00001,  -0.57255
   0.00000,  -0.57243
   0.00000,  -0.57359
   0.00000,  -0.57391
   0.00001,  -0.59113
   0.00001,  -0.59073
   0.00000,  -0.59313
   0.00000,  -0.59189
   0.00001,  -0.59750
   0.00001,  -0.59568
   0.00001,  -0.59683
   0.00000,  -0.59655
   0.00001,  -0.60558
   0.00000,  -0.60544
   0.00000,  -0.60686
   0.00000,  -0.62377
   0.00000,  -0.62345
   0.00000,  -0.62355
   0.00000,  -0.62627
   0.00006,  -0.58502
   0.00001,  -0.58433
   0.00000,  -0.59190
   0.00000,  -0.59171
   0.00000,  -0.59190
   0.00000,  -0.59105
   0.00001,  -0.59417
   0.00001,  -0.60271
   0.00000,  -0.60179
   0.00000,  -0.60589
   0.00000,  -0.60606
   0.00001,  -0.62273
   0.00000,  -0.62264
   0.00000,  -0.62620
   0.00000,  -0.62672
   0.00000,  -0.62201
   0.00000,  -0.62342
   0.00000,  -0.62259
   0.00000,  -0.62346
   0.00000,  -0.63152
   0.00000,  -0.63315
   0.00001,  -0.63520
   0.00000,  -0.64152
   0.00000,  -0.64786
   0.00000,  -0.65098
   0.00012,  -0.70254
   0.00004,  -0.70507
   0.00001,  -0.70288
   0.00000,  -0.70377
   0.00001,  -0.70346
   0.00001,  -0.71142
   0.00001,  -0.72369
   0.00000,  -0.72829
   0.00000,  -0.72546
   0.00004,  -0.72301
   0.00000,  -0.72357
   0.00000,  -0.72320
   0.00000,  -0.72332
   0.00000,  -0.72571
   0.00000,  -0.72095
   0.00000,  -0.72146
   0.00000,  -0.73152
   0.00000,  -0.73512
   0.00000,  -0.73515
   0.00000,  -0.73406
   0.00000,  -0.73799
   0.00000,  -0.73654
   0.00000,  -0.73660
   0.00000,  -0.73851
   0.00000,  -0.73178
   0.00000,  -0.72889
   0.00000,  -0.72748
   0.00000,  -0.72511
   0.00000,  -0.72671
   0.00000,  -0.72617
   0.00000,  -0.72363
   0.00000,  -0.72506
   0.00000,  -0.72767
   0.00000,  -0.73090
   0.00000,  -0.72969
   0.00001,  -0.73802
   0.00000,  -0.73804
   0.00000,  -0.73567
   0.00000,  -0.73470
   0.00000,  -0.72526
   0.00000,  -0.72644
   0.00000,  -0.72644
   0.00001,  -0.70275
   0.00003,  -0.68782
   0.00009,  -0.64705
   0.00002,  -0.64777
   0.00016,  -0.60654
   0.00002,  -0.59914
   0.00001,  -0.59112
   0.00031,  -0.51094
   0.00014,  -0.46627
   0.00002,  -0.44256
   0.00043,  -0.33943
   0.00030,  -0.30025
   0.00361,  -0.02968
   0.00120,  -0.03251
   0.00081,   0.01074
   0.00308,   0.02532
   0.01311,   0.05391
   0.00010,   0.03685
   0.00160,   0.09516
   0.00005,   0.09175
   0.00368,   0.11617
   0.00000,   0.10879
   0.00052,   0.11238
   0.00035,   0.11807
   0.00007,   0.12271
   0.00021,   0.12234
   0.00024,   0.12281
   0.00000,   0.13535
   0.00021,   0.13582
   0.00007,   0.13548
   0.00000,   0.13834
   0.00010,   0.13887
   0.00003,   0.14303
   0.00032,   0.14893
   0.00000,   0.14812
   0.00017,   0.15431
   0.00000,   0.15450
   0.00002,   0.15646
   0.00002,   0.15719
   0.00000,   0.15734
   0.00021,   0.16397
   0.00010,   0.16489
   0.00015,   0.16488
   0.00012,   0.16556
   0.00001,   0.16385
   0.00001,   0.16368
