MSE, Q-LIKE
1367.83328,   3.62311
 687.32735,   3.28418
 507.97083,   3.13619
 841.73704,   3.38405
 747.06203,   3.32524
 503.11173,   3.13122
1444.29910,   3.65001
  62.29372,   2.12423
 783.48423,   3.34858
30194.59362,   5.16041
3823.68442,   4.13207
 303.23506,   2.88402
  62.64953,   2.12705
 358.80785,   2.96613
1838509.17630,   7.21259
  95.24441,   2.32623
  29.47802,   1.77690
 326.68273,   2.92070
 279.12795,   2.84437
 310.37786,   2.89601
2666.80886,   3.95365
19290.73653,   4.93720
35370.60945,   5.23941
12859.24104,   4.73521
41173.94783,   5.31518
104787.94011,   5.78136
802726.51810,   6.79843
13216.81225,   4.74887
48552.20060,   5.39744
159844.03395,   5.99221
456603.44054,   6.51652
72862.44854,   5.60000
61859.83590,   5.51831
500137.95449,   6.56202
24173.19629,   5.04969
178080.29415,   6.04617
19424.10169,   4.94073
107138.15407,   5.79247
40935.90408,   5.31236
33747.86615,   5.21607
194491.42993,   6.09021
8680.28815,   4.53980
34159.95954,   5.22213
263204.19052,   6.24132
8476.86618,   4.52800
26776.40824,   5.10071
44353.28146,   5.35236
51437.08412,   5.42627
48211.77609,   5.39396
3363.79766,   4.06904
17988.20476,   4.90248
67621.17869,   5.56277
7177.41390,   4.44525
24921.98094,   5.06493
491819.12890,   6.55365
 238.96041,   2.77027
11273.45159,   4.66983
26663.55284,   5.09860
3937.15472,   4.14709
 487.43019,   3.11718
16060.38770,   4.84602
11004.10592,   4.65781
18763.91468,   4.92349
65618.26566,   5.54775
3972.56095,   4.15145
8881.15728,   4.55111
21948.21404,   5.00164
2274.75318,   3.87487
6332.17323,   4.38271
10320.75619,   4.62566
160282.52047,   5.99354
 499.29445,   3.12785
17873.14450,   4.89907
423793.22089,   6.47923
180112.97141,   6.05179
 399.14548,   3.01787
26355.31709,   5.09256
39188.52599,   5.29041
12606.11284,   4.72509
5458.21887,   4.30869
 710.16759,   3.29981
55095.10467,   5.46034
13564.87515,   4.76151
13915.12792,   4.77422
13046.55768,   4.74212
522794.82951,   6.58410
 470.41642,   3.09756
9639.47223,   4.59142
1436.45451,   3.64687
606423.42744,   6.65825
754580.17557,   6.76748
3383.46677,   4.07104
8090.18972,   4.50419
26827.23567,   5.10133
2096.89798,   3.83385
8056.02083,   4.50207
5531.70247,   4.31511
24790.65842,   5.06194
  73.62087,   2.20018
 400.03000,   3.01775
4272.71851,   4.18670
 719.89050,   3.30577
8981.38292,   4.55600
1019.15741,   3.47678
11127.52828,   4.66266
2666.27603,   3.95254
 215.12174,   2.71468
 534.17725,   3.15888
2041.26739,   3.82006
7478.07628,   4.46478
 525.61712,   3.15073
  16.85918,   1.51134
 265.28123,   2.81592
5713.14671,   4.33074
3088.14870,   4.02501
 292.49195,   2.86283
  10.51460,   1.29685
 862.46467,   3.39376
  43.43535,   1.94626
 275.76774,   2.83407
3482.28229,   4.08448
6700.95735,   4.40988
 414.22884,   3.03268
 277.99661,   2.83755
 982.02647,   3.45749
 551.28466,   3.17302
4108.12815,   4.16657
27136.53150,   5.10673
21678.92541,   4.99475
3877.82619,   4.13790
3241.08538,   4.04881
 723.41172,   3.30688
1196.64874,   3.55428
3770.79169,   4.12355
3372.73612,   4.06812
1451.60458,   3.64993
1574.21868,   3.69011
4563.68325,   4.21845
25280.97772,   5.07133
22356.76572,   5.01003
38137.55456,   5.27647
73926.05303,   5.60688
33760.32369,   5.21569
305396.97940,   6.31541
154086.41643,   5.97365
315153.79401,   6.33112
233426.06548,   6.18114
12066.31864,   4.70272
308463.97189,   6.32040
31474.16962,   5.18072
24977.86274,   5.06541
166548.98315,   6.01250
3414.73542,   4.07478
1139943.04206,   6.97362
21441.26814,   4.98933
131763.58422,   5.89551
1046836.54906,   6.93105
184230.79350,   6.06296
106490.83274,   5.78922
318622.84204,   6.33665
179725.31484,   6.05064
645063.41396,   6.68911
459164.72129,   6.51924
1856319.95608,   7.21740
516804.25988,   6.57839
1759794.55113,   7.19073
7994743.63379,   7.94735
9654196.86608,   8.04164
21019722.48962,   8.43062
65114335.81708,   8.99590
16643357.99240,   8.31391
22578076.94510,   8.46638
9972100.80390,   8.05785
16978141.18631,   8.32387
1907835.38222,   7.23123
11367562.19144,   8.12334
18573423.00072,   8.36878
21949739.84043,   8.45228
3906608.07973,   7.58944
12850425.38519,   8.18464
4501958.02940,   7.66034
5800589.61264,   7.78703
20787213.80588,   8.42508
5008198.23083,   7.71362
9541619.17655,   8.03582
9039064.67488,   8.00878
10972499.67440,   8.10567
1683734.26678,   7.16883
1641550.75727,   7.15615
465020.41474,   6.52600
392578.08736,   6.44143
3767272.98369,   7.57131
695921.96263,   6.72738
2251646.30010,   7.31408
868277.52804,   6.83793
307615.99951,   6.31964
674303.02350,   6.71162
589532.91991,   6.64451
894338.82319,   6.85271
416623.11644,   6.47112
488739.74884,   6.55086
76972.83202,   5.62830
