MSE, Q-LIKE
   0.00004,  -0.37877
   0.00004,  -0.37838
   0.00002,  -0.38540
   0.00001,  -0.39083
   0.00001,  -0.39184
   0.00001,  -0.39152
   0.00007,  -0.37149
   0.00002,  -0.42360
   0.00004,  -0.42852
   0.00004,  -0.42878
   0.00004,  -0.42911
   0.00004,  -0.42971
   0.00007,  -0.43730
   0.00007,  -0.43755
   0.00006,  -0.43685
   0.00014,  -0.45180
   0.00020,  -0.46244
   0.00019,  -0.46104
   0.00019,  -0.46021
   0.00020,  -0.46125
   0.00028,  -0.47275
   0.00033,  -0.47802
   0.00034,  -0.47958
   0.00032,  -0.47720
   0.00032,  -0.47721
   0.00035,  -0.48094
   0.00035,  -0.48079
   0.00035,  -0.48106
   0.00036,  -0.48188
   0.00036,  -0.48188
   0.00036,  -0.48199
   0.00043,  -0.48836
   0.00044,  -0.48936
   0.00044,  -0.48960
   0.00047,  -0.49252
   0.00046,  -0.49162
   0.00051,  -0.49664
   0.00052,  -0.49685
   0.00056,  -0.50101
   0.00057,  -0.50157
   0.00068,  -0.51019
   0.00071,  -0.51250
   0.00089,  -0.52597
   0.00092,  -0.52790
   0.00092,  -0.52794
   0.00090,  -0.52682
   0.00090,  -0.52624
   0.00090,  -0.52676
   0.00106,  -0.53709
   0.00106,  -0.53724
   0.00107,  -0.53731
   0.00121,  -0.54588
   0.00127,  -0.54956
   0.00145,  -0.55925
   0.00167,  -0.57062
   0.00175,  -0.57472
   0.00169,  -0.57158
   0.00168,  -0.57111
   0.00169,  -0.57182
   0.00177,  -0.57546
   0.00207,  -0.58966
   0.00208,  -0.59007
   0.00211,  -0.59132
   0.00210,  -0.59076
   0.00211,  -0.59147
   0.00211,  -0.59157
   0.00212,  -0.59208
   0.00214,  -0.59291
   0.00212,  -0.59206
   0.00213,  -0.59220
   0.00216,  -0.59351
   0.00194,  -0.58395
   0.00370,  -0.65210
   0.00361,  -0.64911
   0.00358,  -0.64807
   0.00357,  -0.64767
   0.00351,  -0.64560
   0.00349,  -0.64506
   0.00277,  -0.61888
   0.00270,  -0.61590
   0.00262,  -0.61282
   0.00209,  -0.59032
   0.00209,  -0.59052
   0.00209,  -0.59063
   0.00209,  -0.59038
   0.00208,  -0.58991
   0.00210,  -0.59080
   0.00211,  -0.59132
   0.00199,  -0.58599
   0.00201,  -0.58712
   0.00202,  -0.58726
   0.00202,  -0.58755
   0.00200,  -0.58662
   0.00190,  -0.58199
   0.00167,  -0.57100
   0.00164,  -0.56903
   0.00121,  -0.54580
   0.00113,  -0.54146
   0.00099,  -0.53257
   0.00076,  -0.51694
   0.00057,  -0.50185
   0.00045,  -0.49074
   0.00044,  -0.49020
   0.00005,  -0.43280
   0.00000,  -0.40786
   0.00003,  -0.38241
   0.00163,  -0.23988
   0.00200,  -0.22239
   0.00322,  -0.17305
   0.00433,  -0.13619
   0.00451,  -0.13092
   0.00470,  -0.12507
   0.00520,  -0.11064
   0.00517,  -0.11153
   0.00808,  -0.03820
   0.00807,  -0.03851
   0.00923,  -0.01308
   0.00975,  -0.00211
   0.01032,   0.00944
   0.01033,   0.00961
   0.01116,   0.02584
   0.01180,   0.03802
   0.01212,   0.04412
   0.01404,   0.07820
   0.01404,   0.07820
   0.01448,   0.08580
   0.01458,   0.08752
   0.01457,   0.08736
   0.01474,   0.09020
   0.01535,   0.10021
   0.01552,   0.10308
   0.01541,   0.10129
   0.01539,   0.10087
   0.01566,   0.10541
   0.01578,   0.10736
   0.01588,   0.10897
   0.01612,   0.11273
   0.01614,   0.11305
   0.01614,   0.11306
   0.01624,   0.11464
   0.01644,   0.11788
   0.01673,   0.12240
