MSE, Q-LIKE
   0.00000,  -0.37925
   0.00000,  -0.37926
   0.00000,  -0.38075
   0.00000,  -0.38085
   0.00000,  -0.38091
   0.00000,  -0.38083
   0.00000,  -0.38045
   0.00000,  -0.38198
   0.00000,  -0.38194
   0.00000,  -0.38169
   0.00000,  -0.38208
   0.00000,  -0.38461
   0.00000,  -0.38280
   0.00000,  -0.38164
   0.00000,  -0.38125
   0.00000,  -0.38141
   0.00000,  -0.38112
   0.00000,  -0.38122
   0.00000,  -0.37964
   0.00000,  -0.37909
   0.00000,  -0.37871
   0.00000,  -0.38555
   0.00000,  -0.39090
   0.00000,  -0.39192
   0.00000,  -0.39160
   0.00003,  -0.37178
   0.00013,  -0.42270
   0.00006,  -0.42836
   0.00002,  -0.42893
   0.00000,  -0.42938
   0.00000,  -0.43004
   0.00000,  -0.43782
   0.00000,  -0.43812
   0.00000,  -0.43739
   0.00002,  -0.45282
   0.00001,  -0.46412
   0.00000,  -0.46271
   0.00000,  -0.46184
   0.00000,  -0.46293
   0.00001,  -0.47512
   0.00000,  -0.48086
   0.00000,  -0.48256
   0.00000,  -0.47999
   0.00000,  -0.48000
   0.00000,  -0.48403
   0.00000,  -0.48387
   0.00000,  -0.48416
   0.00000,  -0.48506
   0.00000,  -0.48505
   0.00000,  -0.48517
   0.00000,  -0.49206
   0.00000,  -0.49319
   0.00000,  -0.49345
   0.00000,  -0.49665
   0.00000,  -0.49566
   0.00000,  -0.50117
   0.00000,  -0.50142
   0.00000,  -0.50600
   0.00000,  -0.50663
   0.00001,  -0.51617
   0.00000,  -0.51880
   0.00001,  -0.53390
   0.00000,  -0.53623
   0.00000,  -0.53627
   0.00000,  -0.53499
   0.00000,  -0.53433
   0.00000,  -0.53493
   0.00001,  -0.54671
   0.00000,  -0.54694
   0.00000,  -0.54702
   0.00001,  -0.55689
   0.00000,  -0.56125
   0.00001,  -0.57259
   0.00001,  -0.58609
   0.00000,  -0.59112
   0.00000,  -0.58735
   0.00000,  -0.58679
   0.00000,  -0.58764
   0.00000,  -0.59201
   0.00001,  -0.60914
   0.00000,  -0.60980
   0.00000,  -0.61134
   0.00000,  -0.61065
   0.00000,  -0.61153
   0.00000,  -0.61165
   0.00000,  -0.61227
   0.00000,  -0.61330
   0.00000,  -0.61225
   0.00000,  -0.61242
   0.00000,  -0.61403
   0.00001,  -0.60225
   0.00028,  -0.68540
   0.00013,  -0.68339
   0.00006,  -0.68284
   0.00003,  -0.68280
   0.00000,  -0.68037
   0.00000,  -0.67973
   0.00004,  -0.64524
   0.00001,  -0.64191
   0.00000,  -0.63811
   0.00003,  -0.60969
   0.00000,  -0.61033
   0.00000,  -0.61049
   0.00000,  -0.61018
   0.00000,  -0.60961
   0.00000,  -0.61070
   0.00000,  -0.61134
   0.00000,  -0.60478
   0.00000,  -0.60619
   0.00000,  -0.60636
   0.00000,  -0.60671
   0.00000,  -0.60557
   0.00000,  -0.59990
   0.00001,  -0.58656
   0.00000,  -0.58429
   0.00003,  -0.55648
   0.00000,  -0.55179
   0.00001,  -0.54151
   0.00001,  -0.52365
   0.00001,  -0.50679
   0.00001,  -0.49464
   0.00000,  -0.49412
   0.00020,  -0.43128
   0.00011,  -0.40691
   0.00007,  -0.38203
   0.00125,  -0.24299
   0.00069,  -0.23254
   0.00070,  -0.19192
   0.00047,  -0.16412
   0.00010,  -0.16210
   0.00000,  -0.15805
   0.00000,  -0.14682
   0.00004,  -0.14735
   0.00009,  -0.09193
   0.00002,  -0.09251
   0.00000,  -0.07413
   0.00001,  -0.06624
   0.00000,  -0.05806
   0.00001,  -0.05793
   0.00001,  -0.04651
   0.00001,  -0.03803
   0.00000,  -0.03383
   0.00006,  -0.01035
   0.00000,  -0.01058
   0.00000,  -0.00547
   0.00000,  -0.00432
   0.00000,  -0.00442
   0.00000,  -0.00252
   0.00001,   0.00418
   0.00000,   0.00608
   0.00000,   0.00487
   0.00000,   0.00459
   0.00000,   0.00762
   0.00000,   0.00890
   0.00000,   0.00996
   0.00000,   0.01245
   0.00000,   0.01266
   0.00000,   0.01266
   0.00000,   0.01370
   0.00000,   0.01584
   0.00000,   0.01880
   0.39199,   1.69069
   0.35295,   1.56200
   0.32335,   1.47742
   0.29317,   1.40110
   0.26198,   1.33139
   0.23023,   1.26884
   0.19823,   1.21335
   0.16627,   1.16466
   0.13486,   1.12271
   0.10487,   1.08761
   0.07693,   1.05897
   0.05181,   1.03642
   0.03067,   1.01978
   0.01447,   1.00857
   0.00416,   1.00227
   0.00012,   1.00006
   0.00062,   1.00030
   0.00144,   1.00068
   0.00128,   1.00061
   0.00073,   1.00035
