MSE, Q-LIKE
   0.00006,  -0.37881
   0.00000,  -0.37922
   0.00000,  -0.38073
   0.00000,  -0.38082
   0.00000,  -0.38091
   0.00000,  -0.38083
   0.00000,  -0.38045
   0.00000,  -0.38198
   0.00000,  -0.38195
   0.00001,  -0.38165
   0.00000,  -0.38206
   0.00001,  -0.38452
   0.00000,  -0.38279
   0.00000,  -0.38161
   0.00000,  -0.38125
   0.00001,  -0.38136
   0.00001,  -0.38108
   0.00000,  -0.38121
   0.00001,  -0.37956
   0.00000,  -0.37908
   0.00000,  -0.37870
   0.00001,  -0.38553
   0.00000,  -0.39092
   0.00000,  -0.39192
   0.00000,  -0.39159
   0.00003,  -0.37181
   0.00008,  -0.42314
   0.00005,  -0.42837
   0.00002,  -0.42895
   0.00000,  -0.42942
   0.00000,  -0.43004
   0.00000,  -0.43784
   0.00000,  -0.43810
   0.00000,  -0.43739
   0.00003,  -0.45273
   0.00001,  -0.46411
   0.00001,  -0.46267
   0.00000,  -0.46181
   0.00001,  -0.46283
   0.00000,  -0.47520
   0.00000,  -0.48084
   0.00000,  -0.48255
   0.00000,  -0.47999
   0.00000,  -0.47999
   0.00000,  -0.48402
   0.00000,  -0.48387
   0.00000,  -0.48414
   0.00000,  -0.48504
   0.00000,  -0.48505
   0.00000,  -0.48515
   0.00000,  -0.49207
   0.00000,  -0.49315
   0.00000,  -0.49344
   0.00000,  -0.49665
   0.00001,  -0.49561
   0.00000,  -0.50116
   0.00000,  -0.50142
   0.00000,  -0.50601
   0.00000,  -0.50663
   0.00001,  -0.51616
   0.00000,  -0.51880
   0.00000,  -0.53400
   0.00000,  -0.53623
   0.00000,  -0.53626
   0.00000,  -0.53498
   0.00000,  -0.53433
   0.00000,  -0.53492
   0.00000,  -0.54674
   0.00000,  -0.54694
   0.00001,  -0.54696
   0.00001,  -0.55689
   0.00000,  -0.56125
   0.00000,  -0.57265
   0.00001,  -0.58604
   0.00001,  -0.59106
   0.00000,  -0.58735
   0.00000,  -0.58679
   0.00000,  -0.58759
   0.00001,  -0.59193
   0.00001,  -0.60914
   0.00000,  -0.60979
   0.00000,  -0.61129
   0.00003,  -0.61025
   0.00000,  -0.61153
   0.00000,  -0.61165
   0.00000,  -0.61227
   0.00000,  -0.61329
   0.00000,  -0.61225
   0.00000,  -0.61241
   0.00000,  -0.61403
   0.00001,  -0.60221
   0.00027,  -0.68557
   0.00014,  -0.68325
   0.00006,  -0.68290
   0.00004,  -0.68267
   0.00001,  -0.68034
   0.00000,  -0.67973
   0.00004,  -0.64527
   0.00001,  -0.64191
   0.00000,  -0.63811
   0.00001,  -0.60993
   0.00000,  -0.61035
   0.00000,  -0.61049
   0.00000,  -0.61018
   0.00000,  -0.60960
   0.00000,  -0.61069
   0.00000,  -0.61134
   0.00000,  -0.60480
   0.00000,  -0.60617
   0.00000,  -0.60633
   0.00000,  -0.60671
   0.00000,  -0.60557
   0.00000,  -0.59989
   0.00001,  -0.58652
   0.00000,  -0.58428
   0.00002,  -0.55667
   0.00002,  -0.55157
   0.00001,  -0.54142
   0.00003,  -0.52347
   0.00006,  -0.50630
   0.00001,  -0.49464
   0.00000,  -0.49411
   0.00021,  -0.43120
   0.00004,  -0.40754
   0.00000,  -0.38262
   0.00099,  -0.24504
   0.00032,  -0.23509
   0.00000,  -0.19626
   0.00003,  -0.16666
   0.00020,  -0.16165
   0.00025,  -0.15667
   0.00913,  -0.11511
   0.00007,  -0.14720
   0.00100,  -0.08841
   0.00007,  -0.09227
   0.00161,  -0.06819
   0.00002,  -0.06618
   0.00011,  -0.05763
   0.00016,  -0.05726
   0.00002,  -0.04647
   0.00005,  -0.03786
   0.00016,  -0.03319
   0.00002,  -0.01049
   0.00010,  -0.01020
   0.00006,  -0.00523
   0.00000,  -0.00432
   0.00005,  -0.00422
   0.00004,  -0.00239
   0.00015,   0.00474
   0.00000,   0.00607
   0.00002,   0.00495
   0.00001,   0.00461
   0.00000,   0.00762
   0.00000,   0.00890
   0.00001,   0.00998
   0.00004,   0.01258
   0.00001,   0.01268
   0.00002,   0.01274
   0.00002,   0.01377
   0.00000,   0.01583
   0.00000,   0.01880
