MSE, Q-LIKE
1882.08444,   3.78437
9872.50393,   4.60502
4266.73913,   4.18882
12559.94486,   4.72469
24476.48867,   5.05673
11763.93742,   4.69215
11638.64524,   4.68684
 585.75477,   3.21214
27579.59090,   5.11619
1816.93201,   3.76713
18757.19623,   4.92406
5136.98834,   4.28053
32925.90884,   5.20435
32911.89222,   5.20413
7851.09699,   4.49107
109164.41211,   5.80215
243769.28120,   6.20322
64721.40698,   5.54132
136211.09796,   5.91264
78363.26299,   5.63674
672583.56274,   6.71019
147568.11197,   5.95262
79423.66426,   5.64345
66862.02049,   5.55757
128104.69088,   5.88202
262123.51134,   6.23949
85189.20776,   5.67842
139120.18323,   5.92319
23770.16767,   5.04210
58761.04087,   5.49317
21318.55476,   4.98790
83555.84706,   5.66877
283354.26441,   6.27839
11873.19879,   4.69670
425813.62928,   6.48183
140197.35830,   5.92707
17728.50378,   4.89616
50788.59270,   5.42049
57430.80930,   5.48178
237499.96946,   6.19025
32596.47128,   5.19945
62950.65240,   5.52754
1210417.49395,   7.00381
201752.86156,   6.10879
11526.95801,   4.68203
4899.62453,   4.25735
122319.19127,   5.85898
22357.49807,   5.01163
9973.69309,   4.61008
1112904.09025,   6.96183
344719.48673,   6.37631
48182.82013,   5.39422
10343.12884,   4.62816
 144.60678,   2.53800
67652.95470,   5.56347
1788.83261,   3.75934
2864.27384,   3.99159
3720.49587,   4.12096
8441.08340,   4.52717
 975.18629,   3.46103
4039.19829,   4.16164
24901.12500,   5.06526
65959.92815,   5.55080
59385.86840,   5.49843
73107.24425,   5.60212
23900.81529,   5.04482
54622.42794,   5.45673
24704.87317,   5.06128
36933.16205,   5.26162
78409.75755,   5.63704
37234.59697,   5.26566
30207.47701,   5.16143
11170.59978,   4.66640
12926.76671,   4.73894
64232.28877,   5.53755
7287.70686,   4.45414
286926.24787,   6.28462
47554.48850,   5.38758
11918.16724,   4.69842
45497.38347,   5.36552
125672.78109,   5.87241
39339.93771,   5.29302
10350.48866,   4.62825
26409.88064,   5.09442
33734.87123,   5.21638
15871.77299,   4.84085
10354.62214,   4.62840
3522.84851,   4.09345
2919.30546,   4.00043
15237792.05890,   8.26980
  88.54671,   2.30292
7693.86232,   4.48078
  48.61951,   2.02384
  30.76855,   1.81546
 134.49752,   2.50055
38055.62143,   5.27641
 135.13491,   2.50273
 657.17111,   3.26662
1479.19140,   3.66474
 884.27064,   3.41187
 109.84941,   2.40335
 371.95248,   2.98889
1711.17313,   3.73613
  39.51137,   1.92553
 409.10487,   3.03472
 384.72145,   3.00485
72416.64510,   5.59720
7863.02059,   4.49133
4537.50275,   4.21843
  42.79934,   1.96192
1409.08808,   3.64012
1235.02936,   3.57522
  67.60292,   2.17294
1245.58542,   3.57929
11302.59336,   4.67149
1168.68054,   3.54759
12735.08359,   4.73086
42602.97849,   5.33247
 441.93097,   3.07118
 431.72156,   3.05924
 773.57962,   3.34404
 355.72639,   2.96437
24426.93668,   5.05504
2282.19904,   3.87728
7938.49955,   4.49556
4428.37195,   4.20568
1970.37069,   3.80463
 420.74384,   3.04610
4976.49367,   4.26358
5992.58100,   4.35583
13742.46470,   4.76855
19799.02431,   4.95040
2226.16554,   3.86505
 941.18932,   3.44106
18882.21739,   4.92687
9301329.98692,   8.02301
1584271.87872,   7.13824
126453.19198,   5.87532
23949.45810,   5.04534
195055.28864,   6.09174
712492.64177,   6.73890
121944.36531,   5.85721
44608.36724,   5.35539
4915301.25027,   7.70418
369491.60021,   6.41083
3282483.20733,   7.50235
85660.11190,   5.68091
14265.30355,   4.78729
136225.67508,   5.91249
1388.70651,   3.63244
37274.20787,   5.26582
398538.42494,   6.44864
35059.68127,   5.23530
6064873.71858,   7.80923
1088433.97205,   6.95065
1448926.43655,   7.09362
449862.25419,   6.50919
448624.25184,   6.50782
7970738.89874,   7.94585
2375194.89971,   7.34067
1657107.05318,   7.16075
2587763.16836,   7.38352
2010121.27200,   7.25727
943406.29365,   6.87926
325147.87370,   6.34712
17626699.67448,   8.34261
18553573.65177,   8.36825
9282825.14321,   8.02209
139550537.82362,   9.37704
610799628.65101,  10.11518
695460067.01882,  10.18008
265317980.05746,   9.69828
28491008.59547,   8.58272
3845417.92111,   7.58166
10673227.10470,   8.09191
68728368.14374,   9.02295
10960851.98668,   8.10520
5244840.21144,   7.73679
16158801.39445,   8.29922
20437557.18409,   8.41665
10135346.55132,   8.06607
7528732.08768,   7.91747
2375667.51013,   7.34102
2906819.82143,   7.44186
9036621.75152,   8.00872
3204632.24810,   7.49060
10147566.20711,   8.06668
184599.60867,   6.06524
1256061.19659,   7.02262
1259044.42385,   7.02381
955098.31642,   6.88579
1484487.46647,   7.10609
709827.79989,   6.73755
757324.35868,   6.76991
909545.28033,   6.86139
6411897.63418,   7.83723
3125346.29534,   7.47809
758201.32159,   6.77047
734064.19823,   6.75431
412278.99946,   6.46625
2039670.95285,   7.26484
499393.19729,   6.56197
