MSE, Q-LIKE
   0.00000,  -0.16968
   0.00000,  -0.16953
   0.00001,  -0.17565
   0.00001,  -0.17614
   0.00001,  -0.17533
   0.00001,  -0.17560
   0.00002,  -0.17973
   0.00001,  -0.17919
   0.00002,  -0.18041
   0.00002,  -0.18303
   0.00003,  -0.18537
   0.00003,  -0.18570
   0.00000,  -0.16726
   0.00001,  -0.17655
   0.00002,  -0.18078
   0.00002,  -0.18100
   0.00007,  -0.19409
   0.00008,  -0.19609
   0.00009,  -0.19827
   0.00011,  -0.20137
   0.00012,  -0.20280
   0.00013,  -0.20306
   0.00016,  -0.20779
   0.00016,  -0.20790
   0.00018,  -0.20978
   0.00022,  -0.21503
   0.00023,  -0.21620
   0.00024,  -0.21647
   0.00026,  -0.21868
   0.00027,  -0.21975
   0.00028,  -0.22112
   0.00029,  -0.22202
   0.00029,  -0.22170
   0.00027,  -0.22031
   0.00029,  -0.22215
   0.00030,  -0.22264
   0.00031,  -0.22353
   0.00034,  -0.22662
   0.00036,  -0.22789
   0.00038,  -0.22928
   0.00056,  -0.24279
   0.00056,  -0.24278
   0.00074,  -0.25445
   0.00078,  -0.25671
   0.00077,  -0.25642
   0.00078,  -0.25652
   0.00078,  -0.25689
   0.00079,  -0.25740
   0.00081,  -0.25876
   0.00083,  -0.25968
   0.00106,  -0.27168
   0.00103,  -0.27024
   0.00106,  -0.27177
   0.00117,  -0.27682
   0.00160,  -0.29555
   0.00160,  -0.29552
   0.00160,  -0.29538
   0.00160,  -0.29538
   0.00156,  -0.29401
   0.00206,  -0.31296
   0.00269,  -0.33380
   0.00263,  -0.33191
   0.00264,  -0.33208
   0.00264,  -0.33209
   0.00265,  -0.33247
   0.00264,  -0.33211
   0.00267,  -0.33305
   0.00266,  -0.33265
   0.00265,  -0.33256
   0.00266,  -0.33277
   0.00265,  -0.33258
   0.00250,  -0.32773
   0.00250,  -0.32772
   0.00170,  -0.29966
   0.00194,  -0.30857
   0.00187,  -0.30585
   0.00183,  -0.30444
   0.00189,  -0.30679
   0.00165,  -0.29768
   0.00181,  -0.30369
   0.00179,  -0.30284
   0.00171,  -0.29974
   0.00171,  -0.29979
   0.00169,  -0.29930
   0.00170,  -0.29970
   0.00168,  -0.29859
   0.00176,  -0.30197
   0.00177,  -0.30233
   0.00178,  -0.30242
   0.00176,  -0.30190
   0.00174,  -0.30104
   0.00164,  -0.29697
   0.00159,  -0.29502
   0.00139,  -0.28704
   0.00126,  -0.28093
   0.00126,  -0.28093
   0.00076,  -0.25537
   0.00076,  -0.25535
   0.00056,  -0.24338
   0.00046,  -0.23561
   0.00031,  -0.22358
   0.00027,  -0.21968
   0.00025,  -0.21743
   0.00000,  -0.17188
   0.00001,  -0.15488
   0.00005,  -0.14511
   0.00093,  -0.06894
   0.00550,   0.07116
   0.01494,   0.22554
   0.01892,   0.27478
   0.01970,   0.28382
   0.02008,   0.28811
   0.02000,   0.28725
   0.02179,   0.30711
   0.02276,   0.31757
   0.02287,   0.31872
   0.02499,   0.34082
   0.02618,   0.35270
   0.02729,   0.36362
   0.02743,   0.36501
   0.02805,   0.37102
   0.02867,   0.37690
   0.02865,   0.37674
   0.03073,   0.39605
   0.03072,   0.39605
   0.03074,   0.39620
   0.03109,   0.39940
   0.03135,   0.40175
   0.03169,   0.40486
   0.03203,   0.40785
   0.03238,   0.41099
   0.03203,   0.40785
   0.03217,   0.40914
   0.03304,   0.41687
   0.03458,   0.43029
   0.03470,   0.43133
   0.03456,   0.43017
   0.03126,   0.40090
   0.03107,   0.39918
   0.03197,   0.40737
   0.03230,   0.41034
   0.03299,   0.41644
