MSE, Q-LIKE
   0.00000,  -0.16401
   0.00000,  -0.16353
   0.00000,  -0.16420
   0.00000,  -0.16406
   0.00000,  -0.16400
   0.00000,  -0.16497
   0.00000,  -0.16346
   0.00000,  -0.16592
   0.00000,  -0.16419
   0.00000,  -0.16150
   0.00000,  -0.16396
   0.00000,  -0.16404
   0.00000,  -0.16308
   0.00000,  -0.16640
   0.00000,  -0.16417
   0.00000,  -0.16954
   0.00000,  -0.16891
   0.00000,  -0.16963
   0.00000,  -0.17079
   0.00000,  -0.16968
   0.00000,  -0.16953
   0.00000,  -0.17566
   0.00000,  -0.17618
   0.00000,  -0.17536
   0.00000,  -0.17564
   0.00000,  -0.17980
   0.00000,  -0.17926
   0.00000,  -0.18050
   0.00000,  -0.18315
   0.00000,  -0.18553
   0.00000,  -0.18588
   0.00003,  -0.16710
   0.00001,  -0.17656
   0.00000,  -0.18087
   0.00000,  -0.18109
   0.00002,  -0.19438
   0.00000,  -0.19652
   0.00000,  -0.19876
   0.00000,  -0.20197
   0.00000,  -0.20346
   0.00000,  -0.20372
   0.00000,  -0.20862
   0.00000,  -0.20876
   0.00000,  -0.21072
   0.00000,  -0.21620
   0.00000,  -0.21745
   0.00000,  -0.21773
   0.00000,  -0.22006
   0.00000,  -0.22119
   0.00000,  -0.22263
   0.00000,  -0.22359
   0.00000,  -0.22325
   0.00000,  -0.22178
   0.00000,  -0.22373
   0.00000,  -0.22424
   0.00000,  -0.22519
   0.00000,  -0.22846
   0.00000,  -0.22982
   0.00000,  -0.23129
   0.00002,  -0.24570
   0.00000,  -0.24580
   0.00001,  -0.25843
   0.00000,  -0.26098
   0.00000,  -0.26067
   0.00000,  -0.26077
   0.00000,  -0.26118
   0.00000,  -0.26174
   0.00000,  -0.26324
   0.00000,  -0.26425
   0.00002,  -0.27747
   0.00000,  -0.27596
   0.00000,  -0.27767
   0.00000,  -0.28331
   0.00003,  -0.30436
   0.00000,  -0.30455
   0.00000,  -0.30439
   0.00000,  -0.30439
   0.00000,  -0.30282
   0.00003,  -0.32454
   0.00005,  -0.34908
   0.00000,  -0.34717
   0.00000,  -0.34741
   0.00000,  -0.34741
   0.00000,  -0.34787
   0.00000,  -0.34745
   0.00000,  -0.34857
   0.00000,  -0.34808
   0.00000,  -0.34798
   0.00000,  -0.34823
   0.00000,  -0.34801
   0.00000,  -0.34220
   0.00000,  -0.34220
   0.00007,  -0.30879
   0.00000,  -0.31964
   0.00000,  -0.31647
   0.00000,  -0.31484
   0.00000,  -0.31757
   0.00001,  -0.30697
   0.00000,  -0.31394
   0.00000,  -0.31298
   0.00000,  -0.30940
   0.00000,  -0.30946
   0.00000,  -0.30890
   0.00000,  -0.30936
   0.00000,  -0.30808
   0.00000,  -0.31197
   0.00000,  -0.31239
   0.00000,  -0.31250
   0.00000,  -0.31189
   0.00000,  -0.31091
   0.00000,  -0.30621
   0.00000,  -0.30397
   0.00001,  -0.29482
   0.00000,  -0.28793
   0.00000,  -0.28795
   0.00006,  -0.25911
   0.00000,  -0.25946
   0.00002,  -0.24635
   0.00001,  -0.23803
   0.00001,  -0.22516
   0.00000,  -0.22111
   0.00000,  -0.21874
   0.00020,  -0.17077
   0.00015,  -0.15418
   0.00009,  -0.14491
   0.00076,  -0.06984
   0.00391,   0.06327
   0.01035,   0.20328
   0.01167,   0.24049
   0.01053,   0.24135
   0.00913,   0.23848
   0.00752,   0.23177
   0.00706,   0.24293
   0.00606,   0.24622
   0.00459,   0.24210
   0.00417,   0.25516
   0.00330,   0.26024
   0.00253,   0.26512
   0.00164,   0.26361
   0.00106,   0.26601
   0.00060,   0.26867
   0.00021,   0.26766
   0.00015,   0.27995
   0.00001,   0.27963
   0.00000,   0.27971
   0.00000,   0.28175
   0.00000,   0.28326
   0.00000,   0.28523
   0.00000,   0.28714
   0.00000,   0.28914
   0.00000,   0.28714
   0.00000,   0.28796
   0.00001,   0.29286
   0.00001,   0.30131
   0.00000,   0.30193
   0.00000,   0.30121
   0.00009,   0.28289
   0.00000,   0.28162
   0.00001,   0.28685
   0.00000,   0.28872
   0.00000,   0.29258
   0.25747,   1.32203
   0.23559,   1.27885
   0.21937,   1.24920
   0.20308,   1.22131
   0.18645,   1.19466
   0.16960,   1.16944
   0.15264,   1.14578
   0.13561,   1.12364
   0.11861,   1.10311
   0.10185,   1.08433
   0.08550,   1.06736
   0.06974,   1.05221
   0.05490,   1.03904
   0.04126,   1.02785
   0.02917,   1.01869
   0.01895,   1.01153
   0.01103,   1.00639
   0.00568,   1.00315
   0.00274,   1.00147
   0.00113,   1.00059
