MSE, Q-LIKE
   0.00000,  -0.16400
   0.00000,  -0.16353
   0.00000,  -0.16420
   0.00000,  -0.16406
   0.00000,  -0.16400
   0.00000,  -0.16497
   0.00000,  -0.16346
   0.00000,  -0.16591
   0.00000,  -0.16419
   0.00000,  -0.16149
   0.00000,  -0.16396
   0.00000,  -0.16404
   0.00000,  -0.16308
   0.00000,  -0.16640
   0.00000,  -0.16416
   0.00000,  -0.16953
   0.00000,  -0.16891
   0.00000,  -0.16963
   0.00000,  -0.17079
   0.00000,  -0.16968
   0.00000,  -0.16953
   0.00000,  -0.17566
   0.00000,  -0.17618
   0.00000,  -0.17536
   0.00000,  -0.17564
   0.00000,  -0.17980
   0.00000,  -0.17926
   0.00000,  -0.18050
   0.00000,  -0.18315
   0.00000,  -0.18554
   0.00000,  -0.18587
   0.00004,  -0.16705
   0.00001,  -0.17656
   0.00000,  -0.18087
   0.00000,  -0.18109
   0.00002,  -0.19436
   0.00000,  -0.19652
   0.00000,  -0.19877
   0.00000,  -0.20197
   0.00000,  -0.20346
   0.00000,  -0.20372
   0.00000,  -0.20863
   0.00000,  -0.20876
   0.00000,  -0.21072
   0.00000,  -0.21621
   0.00000,  -0.21744
   0.00000,  -0.21773
   0.00000,  -0.22006
   0.00000,  -0.22119
   0.00000,  -0.22263
   0.00000,  -0.22359
   0.00000,  -0.22325
   0.00000,  -0.22178
   0.00000,  -0.22373
   0.00000,  -0.22424
   0.00000,  -0.22519
   0.00000,  -0.22845
   0.00000,  -0.22982
   0.00000,  -0.23129
   0.00001,  -0.24573
   0.00000,  -0.24580
   0.00001,  -0.25843
   0.00000,  -0.26097
   0.00000,  -0.26067
   0.00000,  -0.26077
   0.00000,  -0.26118
   0.00000,  -0.26174
   0.00000,  -0.26324
   0.00000,  -0.26425
   0.00001,  -0.27748
   0.00000,  -0.27596
   0.00000,  -0.27766
   0.00000,  -0.28330
   0.00003,  -0.30437
   0.00000,  -0.30455
   0.00000,  -0.30439
   0.00000,  -0.30439
   0.00000,  -0.30282
   0.00004,  -0.32451
   0.00006,  -0.34907
   0.00000,  -0.34716
   0.00000,  -0.34741
   0.00000,  -0.34741
   0.00000,  -0.34787
   0.00000,  -0.34744
   0.00000,  -0.34857
   0.00000,  -0.34808
   0.00000,  -0.34798
   0.00000,  -0.34823
   0.00000,  -0.34800
   0.00000,  -0.34221
   0.00000,  -0.34219
   0.00008,  -0.30875
   0.00000,  -0.31964
   0.00000,  -0.31647
   0.00000,  -0.31483
   0.00000,  -0.31756
   0.00001,  -0.30698
   0.00000,  -0.31395
   0.00000,  -0.31298
   0.00000,  -0.30941
   0.00000,  -0.30946
   0.00000,  -0.30890
   0.00000,  -0.30936
   0.00000,  -0.30808
   0.00000,  -0.31197
   0.00000,  -0.31239
   0.00000,  -0.31250
   0.00000,  -0.31189
   0.00000,  -0.31090
   0.00000,  -0.30621
   0.00000,  -0.30397
   0.00001,  -0.29482
   0.00000,  -0.28792
   0.00000,  -0.28795
   0.00007,  -0.25909
   0.00001,  -0.25945
   0.00002,  -0.24636
   0.00001,  -0.23802
   0.00002,  -0.22511
   0.00000,  -0.22112
   0.00000,  -0.21873
   0.00019,  -0.17082
   0.00009,  -0.15448
   0.00002,  -0.14525
   0.00055,  -0.07086
   0.00274,   0.05782
   0.00616,   0.18545
   0.00461,   0.21308
   0.00239,   0.21193
   0.00259,   0.21545
   0.00388,   0.21543
   0.00025,   0.22166
   0.00053,   0.22926
   0.00015,   0.22921
   0.00148,   0.24668
   0.00014,   0.25181
   0.00000,   0.25866
   0.00030,   0.26026
   0.00001,   0.26350
   0.00000,   0.26729
   0.00012,   0.26746
   0.00000,   0.27962
   0.00002,   0.27965
   0.00003,   0.27977
   0.00000,   0.28176
   0.00000,   0.28327
   0.00000,   0.28524
   0.00001,   0.28716
   0.00000,   0.28913
   0.00001,   0.28716
   0.00000,   0.28796
   0.00001,   0.29287
   0.00000,   0.30129
   0.00000,   0.30194
   0.00002,   0.30125
   0.00007,   0.28286
   0.00000,   0.28162
   0.00002,   0.28687
   0.00000,   0.28872
   0.00000,   0.29258
