MSE, Q-LIKE
1280.83444,   3.58860
2161.25369,   3.84767
65641.57117,   5.54749
18443.33852,   4.91408
3623.43598,   4.10402
4182.27739,   4.17529
3567.94376,   4.09635
15829.28817,   4.83787
9283.25933,   4.57198
1587777.80775,   7.13923
  87.39791,   2.27595
49738.04145,   5.40900
5485.99777,   4.31020
1144.56201,   3.53280
28835.69367,   5.13696
34908.97449,   5.23232
1107.49425,   3.51652
21662.77697,   4.99431
13783.98093,   4.76893
11112.90262,   4.66161
5949.26121,   4.35054
 818.25469,   3.36720
74776.66774,   5.61256
2617.03323,   3.94252
1392.73471,   3.62993
1112.69042,   3.51890
3925.92990,   4.14386
13522.58156,   4.75939
10404.04910,   4.62881
 648.71116,   3.25279
3042.24468,   4.01728
8119.68366,   4.50538
191072.75643,   6.08110
1518.02138,   3.67262
3945.03019,   4.14635
1484.53734,   3.66159
19971.85148,   4.95381
5062.79230,   4.27033
 125.91117,   2.45223
42147.43712,   5.32638
9107.13290,   4.56253
24016.50840,   5.04579
2967.05413,   4.00487
6861.05833,   4.42156
14348.05478,   4.78897
4331.13359,   4.19277
 314.86068,   2.89810
7421.93022,   4.46067
2975.76018,   4.00634
2050.99339,   3.82172
5226.62541,   4.28618
1155.25433,   3.53756
1389.69125,   3.62893
 409.47039,   3.02674
 173.56818,   2.60783
1426.43401,   3.64186
 100.50131,   2.34384
4180.35230,   4.17518
30251.13648,   5.16092
31526.32216,   5.18152
 617.25023,   3.22856
38191.90772,   5.27722
4303.94015,   4.18971
3859.28335,   4.13546
8662.38897,   4.53762
4989.01151,   4.26312
2579.52519,   3.93546
20637.36502,   4.97031
1751.56031,   3.74400
89025.20306,   5.69973
9657.14536,   4.59194
29539.36897,   5.14916
1120321.19873,   6.96496
8173.63343,   4.50893
7396754.23986,   7.90843
84178.32450,   5.67179
11839.84547,   4.69344
6476420.42022,   7.84200
37149.95367,   5.26352
378481.97567,   6.42264
58778.60308,   5.49248
68233.79666,   5.56694
7146.20747,   4.44208
5622382.46590,   7.77131
17085.89485,   4.87619
12317.98561,   4.71316
6856.63140,   4.42150
15119.38789,   4.81528
 168.07835,   2.59428
7309.31236,   4.45336
2254.27178,   3.86910
29460.11411,   5.14784
9379.38976,   4.57742
 279.59823,   2.84131
152192.18709,   5.96751
 176.15524,   2.61658
 671.16498,   3.27034
2970.63653,   4.00581
3758.63553,   4.12261
   2.43338,   0.68606
 438.77710,   3.06158
  58.70879,   2.08920
9829.93647,   4.60076
 119.29456,   2.42813
 384.08554,   2.99636
 236.18597,   2.75894
23661.20245,   5.03848
3447.09612,   4.07867
 163.63648,   2.57593
   7.69884,   1.14099
   3.98870,   0.85550
17860.99758,   4.89779
  56.23707,   2.06043
 263.83834,   2.80830
21573.62965,   4.99187
 520.99589,   3.14234
  25.96975,   1.69209
 483.93143,   3.10594
  13.78117,   1.39780
1811.80739,   3.75876
2495.26345,   3.91763
  32.77317,   1.80090
5565.65778,   4.31653
  24.79053,   1.66886
  21.58273,   1.60400
 176.33508,   2.61041
 132.86387,   2.47246
  20.64543,   1.58308
18778.87768,   4.92260
  31.73467,   1.78482
1974.79689,   3.80134
 464.49994,   3.08529
  16.66584,   1.48305
 426.38389,   3.04306
  54.14655,   2.03853
 176.42027,   2.61025
  88.47214,   2.27481
 377.42180,   2.98296
 442.19005,   3.06092
  51.09644,   2.01066
 635.40342,   3.23969
  43.11521,   1.92973
 644.72236,   3.24694
 298.39269,   2.86761
 210.55157,   2.69674
3699.52058,   4.11323
 361.72600,   2.96210
 922.02312,   3.42375
4104.67335,   4.16491
2829.41152,   3.97988
10229.42446,   4.61965
 929.40335,   3.42765
3902.00743,   4.13971
 572.20560,   3.18808
 373.68400,   2.97820
12262.35089,   4.71004
 377.38269,   2.98339
9081.20307,   4.56049
91710.51407,   5.71433
769934.80860,   6.77743
666381.56797,   6.70526
2941953.96360,   7.44751
258157.14761,   6.23138
1525902.36264,   7.11935
470994.22382,   6.53186
425037.22214,   6.48059
11534713.98921,   8.13056
3803068.47070,   7.57589
21421265.31905,   8.44005
7974735.75756,   7.94606
25020718.14504,   8.51770
1184444.61922,   6.99285
14964773.57277,   8.26074
5250167.70252,   7.73712
23523458.44045,   8.48687
20380605.85199,   8.41517
4533921.44433,   7.66381
14465667.73035,   8.24379
558819.55963,   6.61757
15177520.02906,   8.26781
4812624.36936,   7.69364
2981626.79377,   7.45433
1082679.39328,   6.94804
257104.09093,   6.22979
1277622.26342,   7.03078
395855.51124,   6.44535
1514406.19923,   7.11575
666322.61071,   6.70550
462474.42643,   6.52306
778171.18547,   6.78304
1000140.50895,   6.90843
481715.35120,   6.54343
75930.38350,   5.62099
146605.74202,   5.94934
33673.04761,   5.21554
101039.39135,   5.76355
178139.15847,   6.04660
89286.40522,   5.70184
56888.20908,   5.47698
59414.42959,   5.49865
39066.39046,   5.28959
69536.16556,   5.57712
