MSE, Q-LIKE
   0.00000,  -0.61444
   0.00000,  -0.61444
   0.00001,  -0.61190
   0.00000,  -0.62213
   0.00000,  -0.61882
   0.00000,  -0.61500
   0.00000,  -0.61904
   0.00010,  -0.57291
   0.00010,  -0.57283
   0.00011,  -0.57186
   0.00011,  -0.57155
   0.00012,  -0.56743
   0.00012,  -0.56817
   0.00012,  -0.56831
   0.00011,  -0.56972
   0.00016,  -0.56005
   0.00013,  -0.56611
   0.00013,  -0.56597
   0.00013,  -0.56578
   0.00013,  -0.56576
   0.00013,  -0.56699
   0.00013,  -0.56691
   0.00012,  -0.56802
   0.00012,  -0.56754
   0.00012,  -0.56730
   0.00012,  -0.56736
   0.00012,  -0.56777
   0.00017,  -0.55680
   0.00017,  -0.55684
   0.00017,  -0.55816
   0.00016,  -0.55905
   0.00016,  -0.55974
   0.00011,  -0.56960
   0.00011,  -0.56963
   0.00011,  -0.56963
   0.00011,  -0.57149
   0.00008,  -0.57759
   0.00008,  -0.57777
   0.00008,  -0.57841
   0.00009,  -0.57544
   0.00009,  -0.57543
   0.00009,  -0.57501
   0.00009,  -0.57513
   0.00009,  -0.57499
   0.00009,  -0.57527
   0.00009,  -0.57539
   0.00009,  -0.57571
   0.00039,  -0.72446
   0.00048,  -0.73531
   0.00049,  -0.73645
   0.00053,  -0.74069
   0.00053,  -0.74073
   0.00053,  -0.74073
   0.00080,  -0.76738
   0.00096,  -0.78130
   0.00097,  -0.78164
   0.00097,  -0.78147
   0.00100,  -0.78401
   0.00102,  -0.78579
   0.00104,  -0.78774
   0.00109,  -0.79166
   0.00110,  -0.79197
   0.00120,  -0.79977
   0.00122,  -0.80081
   0.00122,  -0.80116
   0.00122,  -0.80093
   0.00124,  -0.80279
   0.00126,  -0.80362
   0.00127,  -0.80464
   0.00127,  -0.80498
   0.00130,  -0.80713
   0.00134,  -0.80990
   0.00134,  -0.80989
   0.00139,  -0.81318
   0.00141,  -0.81431
   0.00141,  -0.81444
   0.00142,  -0.81530
   0.00144,  -0.81664
   0.00144,  -0.81655
   0.00144,  -0.81647
   0.00145,  -0.81697
   0.00140,  -0.81339
   0.00139,  -0.81318
   0.00138,  -0.81208
   0.00138,  -0.81213
   0.00138,  -0.81235
   0.00143,  -0.81554
   0.00142,  -0.81476
   0.00142,  -0.81480
   0.00146,  -0.81748
   0.00146,  -0.81792
   0.00146,  -0.81793
   0.00145,  -0.81720
   0.00136,  -0.81105
   0.00135,  -0.80993
   0.00133,  -0.80915
   0.00111,  -0.79262
   0.00089,  -0.77526
   0.00065,  -0.75318
   0.00051,  -0.73791
   0.00018,  -0.69269
   0.00018,  -0.69122
   0.00018,  -0.69178
   0.00008,  -0.66957
   0.00003,  -0.65111
   0.00006,  -0.58470
   0.00019,  -0.55473
   0.00059,  -0.50048
   0.00096,  -0.46670
   0.00177,  -0.41057
   0.00178,  -0.40992
   0.00246,  -0.37252
   0.00315,  -0.33902
   0.00449,  -0.28400
   0.00582,  -0.23704
   0.00576,  -0.23901
   0.00675,  -0.20726
   0.00696,  -0.20066
   0.00880,  -0.14800
   0.00885,  -0.14653
   0.00893,  -0.14451
   0.00929,  -0.13503
   0.00926,  -0.13573
   0.00980,  -0.12160
   0.00990,  -0.11922
   0.01046,  -0.10507
   0.01053,  -0.10326
   0.01057,  -0.10238
   0.01122,  -0.08664
   0.01125,  -0.08578
   0.01127,  -0.08527
   0.01135,  -0.08343
   0.01133,  -0.08387
   0.01140,  -0.08233
   0.01149,  -0.08024
   0.01156,  -0.07840
   0.01157,  -0.07827
   0.01157,  -0.07831
   0.01169,  -0.07532
   0.01169,  -0.07551
   0.01168,  -0.07569
   0.01172,  -0.07469
