MSE, Q-LIKE
   0.00000,  -0.62436
   0.00000,  -0.62477
   0.00000,  -0.62384
   0.00000,  -0.62391
   0.00000,  -0.62363
   0.00000,  -0.62381
   0.00000,  -0.62198
   0.00000,  -0.62351
   0.00000,  -0.62404
   0.00000,  -0.62748
   0.00000,  -0.62622
   0.00000,  -0.62632
   0.00000,  -0.62582
   0.00000,  -0.62552
   0.00000,  -0.62400
   0.00000,  -0.62397
   0.00000,  -0.62079
   0.00000,  -0.62069
   0.00000,  -0.61948
   0.00000,  -0.61447
   0.00000,  -0.61449
   0.00000,  -0.61197
   0.00000,  -0.62208
   0.00000,  -0.61883
   0.00000,  -0.61503
   0.00000,  -0.61905
   0.00009,  -0.57309
   0.00002,  -0.57380
   0.00001,  -0.57310
   0.00000,  -0.57287
   0.00000,  -0.56896
   0.00000,  -0.56966
   0.00000,  -0.56980
   0.00000,  -0.57113
   0.00000,  -0.56197
   0.00000,  -0.56770
   0.00000,  -0.56759
   0.00000,  -0.56741
   0.00000,  -0.56738
   0.00000,  -0.56855
   0.00000,  -0.56848
   0.00000,  -0.56953
   0.00000,  -0.56907
   0.00000,  -0.56884
   0.00000,  -0.56890
   0.00000,  -0.56929
   0.00001,  -0.55889
   0.00000,  -0.55899
   0.00000,  -0.56023
   0.00000,  -0.56106
   0.00000,  -0.56172
   0.00000,  -0.57098
   0.00000,  -0.57105
   0.00000,  -0.57105
   0.00000,  -0.57282
   0.00000,  -0.57861
   0.00000,  -0.57880
   0.00000,  -0.57941
   0.00000,  -0.57657
   0.00000,  -0.57657
   0.00000,  -0.57617
   0.00000,  -0.57628
   0.00000,  -0.57614
   0.00000,  -0.57641
   0.00000,  -0.57653
   0.00000,  -0.57683
   0.00086,  -0.71880
   0.00070,  -0.73259
   0.00054,  -0.73589
   0.00043,  -0.74196
   0.00031,  -0.74365
   0.00021,  -0.74502
   0.00028,  -0.77443
   0.00026,  -0.79099
   0.00015,  -0.79307
   0.00009,  -0.79382
   0.00006,  -0.79732
   0.00003,  -0.79993
   0.00001,  -0.80260
   0.00001,  -0.80744
   0.00000,  -0.80790
   0.00000,  -0.81728
   0.00000,  -0.81860
   0.00000,  -0.81901
   0.00000,  -0.81873
   0.00000,  -0.82100
   0.00000,  -0.82202
   0.00000,  -0.82325
   0.00000,  -0.82367
   0.00000,  -0.82629
   0.00000,  -0.82970
   0.00000,  -0.82968
   0.00000,  -0.83373
   0.00000,  -0.83513
   0.00000,  -0.83529
   0.00000,  -0.83636
   0.00000,  -0.83802
   0.00000,  -0.83791
   0.00000,  -0.83781
   0.00000,  -0.83842
   0.00000,  -0.83399
   0.00000,  -0.83373
   0.00000,  -0.83238
   0.00000,  -0.83244
   0.00000,  -0.83271
   0.00000,  -0.83665
   0.00000,  -0.83568
   0.00000,  -0.83573
   0.00000,  -0.83905
   0.00000,  -0.83960
   0.00000,  -0.83962
   0.00000,  -0.83870
   0.00000,  -0.83108
   0.00000,  -0.82973
   0.00000,  -0.82878
   0.00001,  -0.80849
   0.00001,  -0.78779
   0.00003,  -0.76190
   0.00002,  -0.74466
   0.00010,  -0.69358
   0.00003,  -0.69313
   0.00001,  -0.69410
   0.00003,  -0.67023
   0.00002,  -0.65122
   0.00018,  -0.58311
   0.00017,  -0.55491
   0.00032,  -0.50392
   0.00032,  -0.47452
   0.00048,  -0.42576
   0.00022,  -0.42790
   0.00024,  -0.39748
   0.00022,  -0.37141
   0.00031,  -0.32883
   0.00034,  -0.29439
   0.00006,  -0.29782
   0.00006,  -0.27523
   0.00000,  -0.27095
   0.00009,  -0.23404
   0.00000,  -0.23362
   0.00000,  -0.23226
   0.00000,  -0.22586
   0.00000,  -0.22635
   0.00001,  -0.21686
   0.00000,  -0.21532
   0.00001,  -0.20592
   0.00000,  -0.20476
   0.00000,  -0.20418
   0.00001,  -0.19385
   0.00000,  -0.19333
   0.00000,  -0.19300
   0.00000,  -0.19181
   0.00000,  -0.19209
   0.00000,  -0.19109
   0.00000,  -0.18973
   0.00000,  -0.18854
   0.00000,  -0.18846
   0.00000,  -0.18849
   0.00000,  -0.18656
   0.00000,  -0.18668
   0.00000,  -0.18679
   0.00000,  -0.18615
   0.48290,   2.09057
   0.45846,   1.96651
   0.43976,   1.88052
   0.42046,   1.79902
   0.40018,   1.72050
   0.37901,   1.64555
   0.35699,   1.57435
   0.33405,   1.50682
   0.31025,   1.44314
   0.28580,   1.38383
   0.26075,   1.32882
   0.23520,   1.27811
   0.20948,   1.23205
   0.18387,   1.19068
   0.15880,   1.15418
   0.13470,   1.12251
   0.11259,   1.09620
   0.09400,   1.07601
   0.08035,   1.06227
   0.06933,   1.05184
