MSE, Q-LIKE
   0.00000,  -0.62434
   0.00000,  -0.62477
   0.00000,  -0.62384
   0.00000,  -0.62391
   0.00000,  -0.62363
   0.00000,  -0.62382
   0.00000,  -0.62198
   0.00000,  -0.62351
   0.00000,  -0.62404
   0.00000,  -0.62747
   0.00000,  -0.62622
   0.00000,  -0.62631
   0.00000,  -0.62582
   0.00000,  -0.62551
   0.00000,  -0.62400
   0.00000,  -0.62396
   0.00000,  -0.62078
   0.00000,  -0.62069
   0.00000,  -0.61947
   0.00000,  -0.61448
   0.00000,  -0.61449
   0.00000,  -0.61197
   0.00000,  -0.62211
   0.00000,  -0.61883
   0.00000,  -0.61502
   0.00000,  -0.61904
   0.00009,  -0.57308
   0.00003,  -0.57377
   0.00001,  -0.57307
   0.00000,  -0.57286
   0.00000,  -0.56895
   0.00000,  -0.56966
   0.00000,  -0.56980
   0.00000,  -0.57113
   0.00000,  -0.56198
   0.00000,  -0.56770
   0.00000,  -0.56759
   0.00000,  -0.56741
   0.00000,  -0.56738
   0.00000,  -0.56855
   0.00000,  -0.56848
   0.00000,  -0.56953
   0.00000,  -0.56907
   0.00000,  -0.56884
   0.00000,  -0.56890
   0.00000,  -0.56929
   0.00000,  -0.55891
   0.00000,  -0.55899
   0.00000,  -0.56023
   0.00000,  -0.56106
   0.00000,  -0.56172
   0.00001,  -0.57096
   0.00000,  -0.57105
   0.00000,  -0.57105
   0.00000,  -0.57281
   0.00000,  -0.57861
   0.00000,  -0.57880
   0.00000,  -0.57941
   0.00000,  -0.57657
   0.00000,  -0.57657
   0.00000,  -0.57617
   0.00000,  -0.57628
   0.00000,  -0.57614
   0.00000,  -0.57641
   0.00000,  -0.57653
   0.00000,  -0.57683
   0.00086,  -0.71876
   0.00072,  -0.73239
   0.00056,  -0.73553
   0.00048,  -0.74136
   0.00035,  -0.74309
   0.00025,  -0.74452
   0.00033,  -0.77376
   0.00033,  -0.79001
   0.00022,  -0.79197
   0.00015,  -0.79290
   0.00011,  -0.79660
   0.00007,  -0.79935
   0.00004,  -0.80218
   0.00002,  -0.80718
   0.00000,  -0.80782
   0.00001,  -0.81722
   0.00000,  -0.81856
   0.00000,  -0.81901
   0.00000,  -0.81873
   0.00000,  -0.82100
   0.00000,  -0.82202
   0.00000,  -0.82325
   0.00000,  -0.82367
   0.00000,  -0.82630
   0.00000,  -0.82970
   0.00000,  -0.82968
   0.00000,  -0.83372
   0.00000,  -0.83513
   0.00000,  -0.83529
   0.00000,  -0.83636
   0.00000,  -0.83802
   0.00000,  -0.83791
   0.00000,  -0.83781
   0.00000,  -0.83842
   0.00000,  -0.83399
   0.00000,  -0.83373
   0.00000,  -0.83238
   0.00000,  -0.83244
   0.00000,  -0.83271
   0.00000,  -0.83665
   0.00000,  -0.83568
   0.00000,  -0.83573
   0.00000,  -0.83904
   0.00000,  -0.83960
   0.00000,  -0.83962
   0.00000,  -0.83870
   0.00000,  -0.83109
   0.00000,  -0.82973
   0.00000,  -0.82878
   0.00001,  -0.80852
   0.00002,  -0.78768
   0.00003,  -0.76182
   0.00003,  -0.74451
   0.00013,  -0.69304
   0.00005,  -0.69281
   0.00002,  -0.69392
   0.00004,  -0.67001
   0.00003,  -0.65110
   0.00017,  -0.58325
   0.00018,  -0.55485
   0.00030,  -0.50406
   0.00012,  -0.47664
   0.00015,  -0.42916
   0.00000,  -0.42997
   0.00021,  -0.39782
   0.00093,  -0.36703
   0.00015,  -0.33012
   0.00000,  -0.29684
   0.00000,  -0.29826
   0.00020,  -0.27440
   0.00002,  -0.27081
   0.00003,  -0.23446
   0.00014,  -0.23279
   0.00000,  -0.23226
   0.00000,  -0.22587
   0.00003,  -0.22614
   0.00000,  -0.21689
   0.00001,  -0.21527
   0.00003,  -0.20579
   0.00000,  -0.20476
   0.00000,  -0.20416
   0.00000,  -0.19388
   0.00001,  -0.19329
   0.00000,  -0.19299
   0.00001,  -0.19175
   0.00000,  -0.19209
   0.00000,  -0.19109
   0.00000,  -0.18973
   0.00000,  -0.18853
   0.00001,  -0.18842
   0.00000,  -0.18849
   0.00000,  -0.18653
   0.00000,  -0.18667
   0.00000,  -0.18679
   0.00000,  -0.18615
