MSE, Q-LIKE
2655.38993,   3.94984
 935.90962,   3.43341
6386.29828,   4.38582
1384.96664,   3.62713
41498.72026,   5.31861
6066.11645,   4.36022
 257.47244,   2.79939
238011.09399,   6.19083
48824.78927,   5.39975
3196.49987,   4.04174
 374.60083,   2.98277
2092.06114,   3.83138
 519.16586,   3.14309
1495.97345,   3.66529
5250.29575,   4.28844
3051.13362,   4.01874
8886.13943,   4.55032
5153.45629,   4.27924
80812.86782,   5.65134
10094.62584,   4.61384
 286.60883,   2.85246
201187.26512,   6.10690
11266.45332,   4.66862
404501.02163,   6.45585
14137.55990,   4.78174
400726.11021,   6.45116
108560.26623,   5.79878
8908.41385,   4.55172
291537.52565,   6.29223
8318.26068,   4.51764
2133644.45227,   7.28695
 203.35970,   2.68618
134090.74538,   5.90427
5863.25097,   4.34365
44122.13649,   5.34934
19631.03047,   4.94541
10642.62970,   4.64037
382900.25401,   6.42844
12185.38237,   4.70781
199145.14544,   6.10184
35669.89088,   5.24327
148713.27245,   5.95598
 800.83966,   3.35772
35783.72767,   5.24486
12018.35202,   4.70096
78483.95235,   5.63684
8692.94537,   4.53968
7015.36042,   4.43294
1728.68273,   3.73763
22536.70536,   5.01425
3905.11566,   4.14174
9180.73695,   4.56682
1661.54468,   3.71803
9570.95363,   4.58754
2182.89285,   3.85319
1473.98319,   3.65883
37879.10756,   5.27325
35101.20994,   5.23526
7471.83612,   4.46435
11392.90013,   4.67436
1309.87160,   3.60058
71271.76837,   5.58873
23019.68448,   5.02485
5725.98628,   4.33193
31421.92552,   5.18002
 722.38114,   3.30695
32496.91567,   5.19679
 453.27771,   3.07790
2811.98160,   3.97877
9811.46383,   4.59992
8056.61007,   4.50182
159651.47339,   5.99143
10023.04102,   4.61051
160517.58432,   5.99412
114851.16926,   5.82693
 264.16192,   2.81372
34606.59479,   5.22814
 469.94705,   3.09539
34694.88871,   5.22941
2857.52900,   3.98663
3368.86354,   4.06832
72982.56114,   5.60053
13705.60547,   4.76632
27602.48677,   5.11533
  57.76881,   2.08170
 159.08778,   2.56704
1003.71381,   3.46869
9554.17448,   4.58656
1203.98048,   3.55839
2882.90105,   3.99085
31507.36636,   5.18128
 221.48499,   2.72714
 453.76018,   3.07767
 126.01693,   2.45378
 906.61408,   3.41814
 646.22644,   3.25130
 984.74619,   3.45893
3515.25775,   4.08918
 196.71306,   2.66921
  15.32223,   1.46383
1997.42606,   3.80856
 225.24858,   2.73441
 196.08500,   2.66679
  40.51178,   1.91029
  49.06568,   2.00067
 288.42180,   2.85500
23130.26513,   5.02702
19896.77558,   4.95192
22696.49262,   5.01757
4796.48361,   4.24343
1010.42784,   3.47123
12834.51607,   4.73337
60521.52608,   5.50694
30125.15175,   5.15876
 869.94074,   3.39684
1645.13964,   3.71197
1558.83102,   3.68528
 865.60431,   3.39435
 200.22311,   2.67580
5230.65660,   4.28629
25596.47525,   5.07739
4923.24943,   4.25610
2665.28437,   3.95114
2851.40240,   3.98466
2285.48733,   3.87486
11231.78588,   4.66673
1279.27527,   3.58730
16820.97990,   4.86804
9041.06943,   4.55865
1096.36128,   3.51101
12342.39158,   4.71372
 650.52964,   3.25325
1004.31774,   3.46759
7292.03973,   4.45162
7554.97695,   4.46926
4148.71809,   4.17107
8665.87393,   4.53758
9191.23176,   4.56690
3791.76826,   4.12642
78953.62423,   5.63965
29657.83454,   5.15094
17464.95845,   4.88685
1628.26640,   3.70702
37012.16648,   5.26147
96988.01951,   5.74239
1599.16963,   3.69804
35402.80877,   5.23927
50123.32265,   5.41280
2791.56721,   3.97429
38559.00126,   5.28187
1560.45378,   3.68580
12194.72390,   4.70776
35566.51049,   5.24157
12517.88683,   4.72084
36049.30685,   5.24837
45238.59586,   5.36168
238604.09593,   6.19210
1747464.59212,   7.18715
1440.21591,   3.64726
1210326.94594,   7.00359
866752.12160,   6.83671
1378425.61928,   7.06860
775577.60457,   6.78120
1342079.89018,   7.05533
183890393.51117,   9.51497
67111133.72829,   9.01100
19392301.95863,   8.39033
28021318.63161,   8.57437
243644071.03423,   9.65566
396063638.02340,   9.89858
113669564.62218,   9.27448
119373967.67947,   9.29896
7794325.21023,   7.93474
2319807.53439,   7.32902
4565075.21798,   7.66736
75627286.50904,   9.07076
10349567.89817,   8.07649
21900000.86633,   8.45118
58176691.37951,   8.93961
20731712.20065,   8.42378
3993606.31218,   7.60054
15285171.71553,   8.27142
3014423.43638,   7.45996
2575351.70963,   7.38130
9008013.26364,   8.00711
983805.17572,   6.90048
3510096.15341,   7.53606
25827382.90205,   8.53365
7798085.43726,   7.93502
4515210.85165,   7.66191
5135810.01617,   7.72628
2322069.37475,   7.32959
35199173.83497,   8.68842
4923764.39344,   7.70521
4186062.84992,   7.62409
406183.53438,   6.45874
201633.36730,   6.10918
1580113.56810,   7.13725
3913786.09017,   7.59048
142953.43680,   5.93761
1847677.12384,   7.21541
109587.94153,   5.80507
