MSE, Q-LIKE
   0.00007,  -0.54434
   0.00008,  -0.54270
   0.00006,  -0.54805
   0.00003,  -0.55896
   0.00005,  -0.55059
   0.00005,  -0.55095
   0.00004,  -0.55560
   0.00003,  -0.55688
   0.00004,  -0.55341
   0.00004,  -0.55247
   0.00004,  -0.55511
   0.00003,  -0.55656
   0.00003,  -0.56047
   0.00002,  -0.56273
   0.00002,  -0.56523
   0.00001,  -0.56669
   0.00001,  -0.56934
   0.00001,  -0.56870
   0.00001,  -0.56811
   0.00001,  -0.56855
   0.00001,  -0.56893
   0.00001,  -0.56886
   0.00001,  -0.57191
   0.00001,  -0.57233
   0.00001,  -0.57311
   0.00000,  -0.57841
   0.00000,  -0.57872
   0.00000,  -0.58381
   0.00000,  -0.59025
   0.00000,  -0.59026
   0.00000,  -0.59004
   0.00001,  -0.59611
   0.00001,  -0.59656
   0.00001,  -0.59757
   0.00002,  -0.60415
   0.00002,  -0.60423
   0.00002,  -0.60539
   0.00002,  -0.60622
   0.00002,  -0.60501
   0.00001,  -0.60162
   0.00008,  -0.62805
   0.00009,  -0.63083
   0.00010,  -0.63511
   0.00013,  -0.64019
   0.00013,  -0.64157
   0.00010,  -0.63278
   0.00009,  -0.63149
   0.00009,  -0.63257
   0.00010,  -0.63484
   0.00011,  -0.63525
   0.00011,  -0.63728
   0.00012,  -0.63852
   0.00016,  -0.64671
   0.00020,  -0.65373
   0.00032,  -0.67239
   0.00033,  -0.67360
   0.00033,  -0.67342
   0.00033,  -0.67378
   0.00034,  -0.67554
   0.00035,  -0.67595
   0.00048,  -0.69191
   0.00044,  -0.68735
   0.00044,  -0.68694
   0.00044,  -0.68699
   0.00042,  -0.68530
   0.00042,  -0.68517
   0.00042,  -0.68483
   0.00039,  -0.68172
   0.00040,  -0.68223
   0.00039,  -0.68192
   0.00040,  -0.68321
   0.00044,  -0.68702
   0.00044,  -0.68714
   0.00036,  -0.67796
   0.00036,  -0.67711
   0.00033,  -0.67353
   0.00033,  -0.67347
   0.00032,  -0.67186
   0.00026,  -0.66332
   0.00025,  -0.66286
   0.00024,  -0.66069
   0.00022,  -0.65793
   0.00022,  -0.65795
   0.00024,  -0.66039
   0.00025,  -0.66194
   0.00025,  -0.66242
   0.00027,  -0.66555
   0.00027,  -0.66565
   0.00028,  -0.66619
   0.00033,  -0.67435
   0.00032,  -0.67262
   0.00032,  -0.67278
   0.00031,  -0.67055
   0.00024,  -0.66053
   0.00010,  -0.63402
   0.00010,  -0.63486
   0.00003,  -0.61164
   0.00000,  -0.58799
   0.00002,  -0.56409
   0.00006,  -0.54664
   0.00008,  -0.54017
   0.00023,  -0.51116
   0.00046,  -0.48044
   0.00414,  -0.27098
   0.00553,  -0.22230
   0.00616,  -0.20223
   0.00831,  -0.14033
   0.01809,   0.07112
   0.02925,   0.24953
   0.03088,   0.27245
   0.03668,   0.34951
   0.03662,   0.34872
   0.03671,   0.34991
   0.03771,   0.36252
   0.04404,   0.43896
   0.04468,   0.44638
   0.04701,   0.47289
   0.04977,   0.50354
   0.05011,   0.50721
   0.05026,   0.50884
   0.05243,   0.53224
   0.05316,   0.54006
   0.05357,   0.54429
   0.05569,   0.56646
   0.05578,   0.56741
   0.05661,   0.57599
   0.06063,   0.61645
   0.06172,   0.62723
   0.06097,   0.61979
   0.06228,   0.63267
   0.06301,   0.63981
   0.06673,   0.67544
   0.06745,   0.68223
   0.06791,   0.68653
   0.06791,   0.68660
   0.06792,   0.68661
   0.06805,   0.68785
   0.06905,   0.69716
   0.06895,   0.69630
   0.06937,   0.70017
   0.06960,   0.70224
   0.06997,   0.70570
