MSE, Q-LIKE
   0.00000,  -0.55419
   0.00000,  -0.55175
   0.00000,  -0.55092
   0.00000,  -0.55060
   0.00000,  -0.54966
   0.00000,  -0.54968
   0.00001,  -0.55849
   0.00000,  -0.55934
   0.00000,  -0.55787
   0.00000,  -0.55860
   0.00000,  -0.55790
   0.00000,  -0.55917
   0.00000,  -0.55940
   0.00000,  -0.55804
   0.00000,  -0.55376
   0.00000,  -0.55393
   0.00000,  -0.54979
   0.00000,  -0.55062
   0.00000,  -0.54530
   0.00000,  -0.54515
   0.00000,  -0.54357
   0.00000,  -0.54870
   0.00001,  -0.55921
   0.00000,  -0.55112
   0.00000,  -0.55152
   0.00000,  -0.55603
   0.00000,  -0.55727
   0.00000,  -0.55390
   0.00000,  -0.55300
   0.00000,  -0.55554
   0.00000,  -0.55696
   0.00000,  -0.56076
   0.00000,  -0.56297
   0.00000,  -0.56542
   0.00000,  -0.56685
   0.00000,  -0.56947
   0.00000,  -0.56883
   0.00000,  -0.56825
   0.00000,  -0.56869
   0.00000,  -0.56906
   0.00000,  -0.56899
   0.00000,  -0.57199
   0.00000,  -0.57241
   0.00000,  -0.57318
   0.00000,  -0.57842
   0.00000,  -0.57874
   0.00000,  -0.58380
   0.00000,  -0.59024
   0.00000,  -0.59027
   0.00000,  -0.59005
   0.00000,  -0.59614
   0.00000,  -0.59662
   0.00000,  -0.59765
   0.00000,  -0.60431
   0.00000,  -0.60441
   0.00000,  -0.60559
   0.00000,  -0.60644
   0.00000,  -0.60520
   0.00000,  -0.60175
   0.00003,  -0.62862
   0.00000,  -0.63185
   0.00000,  -0.63638
   0.00000,  -0.64174
   0.00000,  -0.64323
   0.00000,  -0.63391
   0.00000,  -0.63260
   0.00000,  -0.63373
   0.00000,  -0.63612
   0.00000,  -0.63655
   0.00000,  -0.63868
   0.00000,  -0.63999
   0.00000,  -0.64865
   0.00000,  -0.65617
   0.00002,  -0.67622
   0.00000,  -0.67776
   0.00000,  -0.67756
   0.00000,  -0.67796
   0.00000,  -0.67988
   0.00000,  -0.68034
   0.00001,  -0.69788
   0.00000,  -0.69296
   0.00000,  -0.69250
   0.00000,  -0.69256
   0.00000,  -0.69068
   0.00000,  -0.69053
   0.00000,  -0.69015
   0.00000,  -0.68670
   0.00000,  -0.68727
   0.00000,  -0.68693
   0.00000,  -0.68835
   0.00000,  -0.69258
   0.00000,  -0.69273
   0.00000,  -0.68251
   0.00000,  -0.68162
   0.00000,  -0.67768
   0.00000,  -0.67762
   0.00000,  -0.67586
   0.00000,  -0.66650
   0.00000,  -0.66604
   0.00000,  -0.66370
   0.00000,  -0.66071
   0.00000,  -0.66074
   0.00000,  -0.66337
   0.00000,  -0.66505
   0.00000,  -0.66557
   0.00000,  -0.66896
   0.00000,  -0.66907
   0.00000,  -0.66967
   0.00000,  -0.67854
   0.00000,  -0.67669
   0.00000,  -0.67686
   0.00000,  -0.67442
   0.00001,  -0.66345
   0.00003,  -0.63485
   0.00000,  -0.63612
   0.00002,  -0.61169
   0.00002,  -0.58770
   0.00004,  -0.56390
   0.00001,  -0.54721
   0.00000,  -0.54112
   0.00003,  -0.51343
   0.00005,  -0.48508
   0.00213,  -0.29312
   0.00199,  -0.25955
   0.00153,  -0.24933
   0.00172,  -0.20514
   0.00514,  -0.05008
   0.00873,   0.06672
   0.00664,   0.06563
   0.00673,   0.10386
   0.00417,   0.09119
   0.00227,   0.08355
   0.00104,   0.08514
   0.00089,   0.12285
   0.00006,   0.12383
   0.00000,   0.13661
   0.00001,   0.15141
   0.00005,   0.15328
   0.00006,   0.15408
   0.00000,   0.16505
   0.00000,   0.16873
   0.00000,   0.17072
   0.00001,   0.18110
   0.00000,   0.18151
   0.00000,   0.18550
   0.00005,   0.20417
   0.00001,   0.20894
   0.00000,   0.20557
   0.00001,   0.21140
   0.00001,   0.21463
   0.00005,   0.23061
   0.00000,   0.23349
   0.00001,   0.23539
   0.00000,   0.23541
   0.00000,   0.23541
   0.00000,   0.23597
   0.00002,   0.24008
   0.00001,   0.23968
   0.00001,   0.24139
   0.00001,   0.24230
   0.00001,   0.24379
   0.28473,   1.38138
   0.23961,   1.28650
   0.20649,   1.22699
   0.17386,   1.17565
   0.14157,   1.13120
   0.11049,   1.09384
   0.08141,   1.06331
   0.05507,   1.03918
   0.03254,   1.02117
   0.01516,   1.00902
   0.00401,   1.00219
   0.00002,   1.00001
   0.00164,   1.00078
   0.00569,   1.00258
   0.01233,   1.00536
   0.02142,   1.00892
   0.03157,   1.01267
   0.03915,   1.01536
   0.03905,   1.01533
   0.03457,   1.01375
