MSE, Q-LIKE
   0.00005,  -0.55359
   0.00001,  -0.55164
   0.00000,  -0.55093
   0.00001,  -0.55055
   0.00000,  -0.54966
   0.00000,  -0.54968
   0.00000,  -0.55851
   0.00000,  -0.55934
   0.00000,  -0.55787
   0.00000,  -0.55856
   0.00000,  -0.55789
   0.00001,  -0.55907
   0.00000,  -0.55940
   0.00000,  -0.55801
   0.00000,  -0.55378
   0.00001,  -0.55387
   0.00001,  -0.54972
   0.00000,  -0.55062
   0.00001,  -0.54517
   0.00000,  -0.54513
   0.00000,  -0.54357
   0.00000,  -0.54868
   0.00000,  -0.55929
   0.00000,  -0.55113
   0.00000,  -0.55151
   0.00000,  -0.55603
   0.00000,  -0.55724
   0.00000,  -0.55390
   0.00000,  -0.55299
   0.00000,  -0.55551
   0.00000,  -0.55696
   0.00000,  -0.56077
   0.00000,  -0.56296
   0.00000,  -0.56543
   0.00000,  -0.56683
   0.00000,  -0.56947
   0.00000,  -0.56880
   0.00000,  -0.56823
   0.00001,  -0.56860
   0.00000,  -0.56901
   0.00000,  -0.56899
   0.00000,  -0.57198
   0.00000,  -0.57241
   0.00000,  -0.57318
   0.00000,  -0.57842
   0.00000,  -0.57874
   0.00000,  -0.58376
   0.00001,  -0.59020
   0.00000,  -0.59027
   0.00000,  -0.59004
   0.00000,  -0.59615
   0.00001,  -0.59656
   0.00000,  -0.59762
   0.00000,  -0.60432
   0.00000,  -0.60436
   0.00000,  -0.60559
   0.00000,  -0.60644
   0.00000,  -0.60516
   0.00000,  -0.60174
   0.00003,  -0.62865
   0.00000,  -0.63185
   0.00000,  -0.63640
   0.00000,  -0.64175
   0.00000,  -0.64321
   0.00000,  -0.63395
   0.00000,  -0.63260
   0.00000,  -0.63371
   0.00000,  -0.63612
   0.00000,  -0.63655
   0.00001,  -0.63858
   0.00000,  -0.63999
   0.00000,  -0.64865
   0.00000,  -0.65620
   0.00002,  -0.67616
   0.00000,  -0.67771
   0.00000,  -0.67755
   0.00000,  -0.67796
   0.00001,  -0.67979
   0.00000,  -0.68029
   0.00001,  -0.69791
   0.00000,  -0.69296
   0.00000,  -0.69246
   0.00003,  -0.69211
   0.00000,  -0.69068
   0.00000,  -0.69052
   0.00000,  -0.69015
   0.00000,  -0.68671
   0.00000,  -0.68727
   0.00000,  -0.68693
   0.00000,  -0.68835
   0.00000,  -0.69259
   0.00000,  -0.69272
   0.00000,  -0.68252
   0.00000,  -0.68161
   0.00000,  -0.67768
   0.00000,  -0.67762
   0.00000,  -0.67583
   0.00000,  -0.66649
   0.00000,  -0.66604
   0.00000,  -0.66370
   0.00000,  -0.66067
   0.00000,  -0.66072
   0.00000,  -0.66337
   0.00000,  -0.66505
   0.00000,  -0.66556
   0.00000,  -0.66894
   0.00000,  -0.66907
   0.00000,  -0.66963
   0.00001,  -0.67851
   0.00000,  -0.67665
   0.00000,  -0.67686
   0.00000,  -0.67442
   0.00001,  -0.66341
   0.00004,  -0.63476
   0.00000,  -0.63610
   0.00001,  -0.61183
   0.00007,  -0.58717
   0.00007,  -0.56351
   0.00005,  -0.54679
   0.00005,  -0.54055
   0.00003,  -0.51347
   0.00008,  -0.48470
   0.00226,  -0.29182
   0.00142,  -0.26450
   0.00073,  -0.25574
   0.00078,  -0.21208
   0.00267,  -0.06617
   0.00156,   0.02811
   0.00004,   0.03427
   0.00001,   0.07484
   0.00087,   0.07746
   0.03418,   0.13971
   0.00036,   0.08255
   0.00490,   0.13153
   0.00084,   0.12585
   0.00632,   0.15070
   0.00007,   0.15159
   0.00028,   0.15388
   0.00058,   0.15563
   0.00002,   0.16510
   0.00005,   0.16886
   0.00044,   0.17196
   0.00000,   0.18108
   0.00010,   0.18177
   0.00017,   0.18595
   0.00009,   0.20428
   0.00027,   0.20963
   0.00000,   0.20557
   0.00034,   0.21226
   0.00001,   0.21463
   0.00046,   0.23161
   0.00010,   0.23371
   0.00013,   0.23568
   0.00005,   0.23553
   0.00001,   0.23544
   0.00029,   0.23667
   0.00019,   0.24050
   0.00022,   0.24019
   0.00021,   0.24186
   0.00006,   0.24240
   0.00007,   0.24394
