MSE, Q-LIKE
 510.40984,   3.13216
  75.16690,   2.19745
3532.93857,   4.09048
 229.72531,   2.74010
 508.27456,   3.13011
1618.32946,   3.70327
 178.97166,   2.61961
8744695.64861,   7.99210
93905.88709,   5.72617
57432.58807,   5.48065
133000.18120,   5.90002
7254.61005,   4.44886
7025.64345,   4.43290
271467.60929,   6.25648
1638.85959,   3.70966
4201.08687,   4.17705
 327.24165,   2.91502
22375.58752,   5.01026
43539.00517,   5.34242
3882.04075,   4.13780
1538.60999,   3.67843
24961.45532,   5.06481
2463.80495,   3.91197
7305155.55126,   7.90218
14119.72918,   4.78070
33887.72914,   5.21737
108923.92486,   5.80030
89010.81086,   5.69947
5270.73970,   4.28994
4698.92654,   4.23283
59916.84240,   5.50184
5737.63033,   4.33219
3873.66172,   4.13680
4149.07050,   4.17095
4548.82905,   4.21668
3030.92321,   4.01488
1952.60348,   3.79666
4470.64651,   4.20805
26362.77576,   5.09209
1803.23446,   3.75720
22788.55352,   5.01941
2377.24725,   3.89428
6059.40742,   4.35935
 982.91160,   3.45682
6790.42102,   4.41604
13803.57009,   4.76943
2759.54719,   3.96831
 201.80584,   2.67905
1942.66018,   3.79412
27545.36836,   5.11398
 739.61703,   3.31633
 937.69067,   3.43348
 151.75678,   2.54021
3427.15534,   4.07591
4313.91999,   4.19030
 366.23005,   2.97067
 338.10727,   2.93154
 836.95833,   3.37753
3044.12817,   4.01714
8171.03535,   4.50825
3331.00932,   4.06187
2924.75439,   3.99727
 539.93508,   3.16142
6900.76135,   4.42406
  26.36309,   1.70499
 268.50125,   2.81844
10457.09307,   4.63106
  36.26164,   1.85454
20802.78909,   4.97395
4485.29054,   4.20970
2964.69600,   4.00394
2130.66994,   3.83996
 111.90353,   2.39292
5349.00327,   4.29732
282640.85279,   6.27665
16031.63363,   4.84403
7656.03315,   4.47575
9953.55050,   4.60646
1877.07058,   3.77709
1042.55224,   3.48594
2716.62110,   3.96052
1366.83761,   3.61992
6640.15645,   4.40490
1243.85300,   3.57325
19409.86151,   4.93937
1363.74381,   3.61882
1068.59268,   3.49815
38325.46631,   5.27879
4019.75889,   4.15523
1405.61647,   3.63379
28452.34624,   5.13015
2951.91466,   4.00174
16789.93884,   4.86704
5309.26638,   4.29354
3237.55639,   4.04761
3719.89062,   4.11662
21671.59152,   4.99432
1833.83324,   3.76546
3927.97288,   4.14360
 445.63293,   3.06645
3278.79296,   4.05380
 207.88232,   2.69286
2639.12378,   3.94599
1276.02308,   3.58565
 599.33281,   3.21232
 512.33628,   3.13506
 285.19980,   2.84743
 181.35912,   2.62631
1544.93824,   3.68029
  91.24520,   2.29318
 186.70694,   2.64031
 502.17926,   3.12512
 823.39095,   3.36895
 175.27927,   2.60905
 952.19081,   3.44046
2640.70166,   3.94605
 628.44368,   3.23521
2676.90781,   3.95281
1055.19045,   3.49123
1596.39790,   3.69629
1792.92885,   3.75381
 450.01627,   3.07054
 385.10037,   2.99390
 885.00818,   3.40411
 586.37762,   3.20085
22207.67772,   5.00636
1286.25243,   3.58913
3599.87888,   4.09995
 323.75415,   2.90859
7357.74091,   4.45568
1790.61572,   3.75308
1388.63864,   3.62704
1787.84135,   3.75230
3486.34292,   4.08397
 272.30338,   2.82359
30037.28220,   5.15703
  88.14482,   2.27471
5586.55648,   4.31860
  48.81620,   1.99191
25232.77357,   5.07009
 129.99363,   2.46318
1183.17856,   3.54781
  87.09519,   2.26938
3629.82638,   4.10409
  36.36840,   1.85204
 288.81402,   2.85274
 169.96623,   2.59363
2595.54904,   3.93743
  78.42265,   2.21335
154767.91776,   5.97558
1123.64414,   3.52075
171782.95521,   6.02769
1273.31823,   3.58271
57297.84545,   5.47922
2774.08118,   3.96956
 233.09030,   2.74467
 197.17293,   2.66373
16244.75809,   4.85021
10113.74059,   4.61404
136299.01848,   5.91218
124698.55772,   5.86778
45751.52758,   5.36711
1094490.31311,   6.95323
591342.11777,   6.64556
1406284.40729,   7.07855
5654225.60318,   7.77412
1985809.20471,   7.25107
2817492.38128,   7.42594
21103154.18367,   8.43257
20598429.81165,   8.42047
6831928.81658,   7.86874
7265503.65673,   7.89951
5735957.86493,   7.78135
15429176.97053,   8.27602
22504067.46152,   8.46472
16426878.98266,   8.30735
2214132.67881,   7.30556
5683910.20122,   7.77681
7653536.42912,   7.92555
8460134.72221,   7.97564
2392515.55199,   7.34430
2508898.53191,   7.36805
6673141.36515,   7.85703
3957538.71842,   7.59587
4338129.70959,   7.64177
1119930.49787,   6.96496
5918003.09990,   7.79700
286248.24724,   6.28345
654197.74253,   6.69635
1384521.18938,   7.07096
2882773.97441,   7.43750
2250237.49248,   7.31369
521327.80978,   6.58293
289761.84907,   6.28957
471174.35258,   6.53240
639014.86281,   6.68463
169224.72529,   6.02102
88283.32543,   5.69627
99397.02690,   5.75543
826006.77305,   6.81287
656628.33877,   6.69822
132226.01913,   5.89787
