MSE, Q-LIKE
   0.00002,  -0.69295
   0.00002,  -0.69283
   0.00001,  -0.69595
   0.00001,  -0.70463
   0.00001,  -0.70448
   0.00001,  -0.70474
   0.00000,  -0.70661
   0.00001,  -0.70276
   0.00001,  -0.70154
   0.00001,  -0.70401
   0.00001,  -0.70222
   0.00001,  -0.70309
   0.00001,  -0.69966
   0.00001,  -0.69986
   0.00001,  -0.70243
   0.00001,  -0.70299
   0.00000,  -0.71093
   0.00000,  -0.70959
   0.00000,  -0.70641
   0.00001,  -0.70370
   0.00000,  -0.70593
   0.00000,  -0.70538
   0.00000,  -0.70570
   0.00000,  -0.70487
   0.00000,  -0.70545
   0.00001,  -0.70298
   0.00001,  -0.70276
   0.00001,  -0.70284
   0.00001,  -0.70221
   0.00001,  -0.70325
   0.00001,  -0.70380
   0.00000,  -0.71153
   0.00000,  -0.71442
   0.00000,  -0.71473
   0.00000,  -0.71261
   0.00000,  -0.71407
   0.00000,  -0.71454
   0.00000,  -0.71481
   0.00000,  -0.72719
   0.00000,  -0.72937
   0.00000,  -0.72940
   0.00000,  -0.72951
   0.00000,  -0.72939
   0.00000,  -0.72892
   0.00000,  -0.72928
   0.00001,  -0.72990
   0.00001,  -0.72989
   0.00001,  -0.73004
   0.00001,  -0.73717
   0.00001,  -0.73560
   0.00001,  -0.73620
   0.00001,  -0.73527
   0.00001,  -0.73522
   0.00005,  -0.75473
   0.00006,  -0.76104
   0.00007,  -0.76285
   0.00007,  -0.76374
   0.00007,  -0.76383
   0.00007,  -0.76449
   0.00007,  -0.76464
   0.00009,  -0.77056
   0.00010,  -0.77254
   0.00011,  -0.77435
   0.00011,  -0.77606
   0.00012,  -0.77756
   0.00011,  -0.77632
   0.00011,  -0.77655
   0.00011,  -0.77539
   0.00012,  -0.77890
   0.00012,  -0.77895
   0.00013,  -0.78070
   0.00013,  -0.77997
   0.00013,  -0.78169
   0.00014,  -0.78429
   0.00015,  -0.78494
   0.00014,  -0.78400
   0.00014,  -0.78425
   0.00009,  -0.76957
   0.00009,  -0.76867
   0.00009,  -0.77055
   0.00010,  -0.77211
   0.00010,  -0.77211
   0.00010,  -0.77208
   0.00010,  -0.77207
   0.00009,  -0.77087
   0.00009,  -0.77070
   0.00009,  -0.77045
   0.00009,  -0.77040
   0.00121,  -0.91120
   0.00122,  -0.91143
   0.00124,  -0.91335
   0.00124,  -0.91370
   0.00130,  -0.91775
   0.00118,  -0.90831
   0.00114,  -0.90520
   0.00114,  -0.90560
   0.00068,  -0.86206
   0.00056,  -0.84964
   0.00032,  -0.81622
   0.00032,  -0.81661
   0.00011,  -0.77655
   0.00004,  -0.75230
   0.00002,  -0.74062
   0.00005,  -0.67845
   0.00006,  -0.67410
   0.00010,  -0.66259
   0.00127,  -0.51856
   0.00149,  -0.50209
   0.00241,  -0.44394
   0.00279,  -0.42327
   0.00340,  -0.39267
   0.00467,  -0.33686
   0.00696,  -0.25252
   0.00705,  -0.24975
   0.00785,  -0.22388
   0.00876,  -0.19598
   0.01014,  -0.15636
   0.01056,  -0.14498
   0.01147,  -0.12076
   0.01157,  -0.11812
   0.01249,  -0.09485
   0.01317,  -0.07809
   0.01316,  -0.07843
   0.01473,  -0.04142
   0.01473,  -0.04133
   0.01504,  -0.03431
   0.01527,  -0.02895
   0.01605,  -0.01169
   0.01676,   0.00381
   0.01707,   0.01033
   0.01712,   0.01139
   0.01727,   0.01458
   0.01771,   0.02388
   0.01798,   0.02944
   0.01787,   0.02726
   0.01794,   0.02865
   0.01796,   0.02916
   0.01830,   0.03612
   0.01830,   0.03603
   0.01825,   0.03508
   0.01851,   0.04044
   0.01852,   0.04064
