MSE, Q-LIKE
   0.00000,  -0.70556
   0.00000,  -0.70454
   0.00000,  -0.70395
   0.00000,  -0.70376
   0.00000,  -0.70438
   0.00000,  -0.70536
   0.00000,  -0.70316
   0.00000,  -0.70592
   0.00000,  -0.70591
   0.00000,  -0.70787
   0.00000,  -0.70903
   0.00000,  -0.70908
   0.00000,  -0.70915
   0.00000,  -0.70916
   0.00001,  -0.69556
   0.00000,  -0.69336
   0.00000,  -0.69435
   0.00000,  -0.69180
   0.00000,  -0.69124
   0.00000,  -0.69324
   0.00000,  -0.69312
   0.00000,  -0.69617
   0.00000,  -0.70465
   0.00000,  -0.70456
   0.00000,  -0.70482
   0.00000,  -0.70667
   0.00000,  -0.70284
   0.00000,  -0.70166
   0.00000,  -0.70410
   0.00000,  -0.70233
   0.00000,  -0.70319
   0.00000,  -0.69982
   0.00000,  -0.70001
   0.00000,  -0.70253
   0.00000,  -0.70309
   0.00000,  -0.71093
   0.00000,  -0.70961
   0.00000,  -0.70646
   0.00000,  -0.70379
   0.00000,  -0.70599
   0.00000,  -0.70545
   0.00000,  -0.70576
   0.00000,  -0.70494
   0.00000,  -0.70552
   0.00000,  -0.70308
   0.00000,  -0.70286
   0.00000,  -0.70295
   0.00000,  -0.70233
   0.00000,  -0.70335
   0.00000,  -0.70389
   0.00000,  -0.71150
   0.00000,  -0.71442
   0.00000,  -0.71474
   0.00000,  -0.71262
   0.00000,  -0.71407
   0.00000,  -0.71454
   0.00000,  -0.71482
   0.00001,  -0.72715
   0.00000,  -0.72945
   0.00000,  -0.72948
   0.00000,  -0.72958
   0.00000,  -0.72946
   0.00000,  -0.72898
   0.00000,  -0.72935
   0.00000,  -0.72998
   0.00000,  -0.72997
   0.00000,  -0.73012
   0.00000,  -0.73735
   0.00000,  -0.73576
   0.00000,  -0.73638
   0.00000,  -0.73543
   0.00000,  -0.73538
   0.00001,  -0.75525
   0.00000,  -0.76198
   0.00000,  -0.76392
   0.00000,  -0.76485
   0.00000,  -0.76494
   0.00000,  -0.76564
   0.00000,  -0.76580
   0.00000,  -0.77201
   0.00000,  -0.77412
   0.00000,  -0.77604
   0.00000,  -0.77786
   0.00000,  -0.77945
   0.00000,  -0.77814
   0.00000,  -0.77838
   0.00000,  -0.77715
   0.00000,  -0.78087
   0.00000,  -0.78093
   0.00000,  -0.78280
   0.00000,  -0.78202
   0.00000,  -0.78386
   0.00000,  -0.78663
   0.00000,  -0.78734
   0.00000,  -0.78632
   0.00000,  -0.78660
   0.00001,  -0.77088
   0.00000,  -0.77004
   0.00000,  -0.77202
   0.00000,  -0.77367
   0.00000,  -0.77367
   0.00000,  -0.77364
   0.00000,  -0.77363
   0.00000,  -0.77236
   0.00000,  -0.77218
   0.00000,  -0.77192
   0.00000,  -0.77186
   0.00064,  -0.92059
   0.00041,  -0.92490
   0.00029,  -0.92946
   0.00022,  -0.93129
   0.00018,  -0.93705
   0.00009,  -0.92736
   0.00005,  -0.92439
   0.00002,  -0.92537
   0.00003,  -0.87311
   0.00001,  -0.85901
   0.00005,  -0.82048
   0.00000,  -0.82187
   0.00005,  -0.77743
   0.00003,  -0.75242
   0.00001,  -0.74070
   0.00016,  -0.67663
   0.00002,  -0.67473
   0.00000,  -0.66402
   0.00056,  -0.52891
   0.00021,  -0.51992
   0.00021,  -0.47345
   0.00003,  -0.45924
   0.00001,  -0.43612
   0.00003,  -0.39462
   0.00013,  -0.33456
   0.00000,  -0.33368
   0.00000,  -0.31620
   0.00002,  -0.29755
   0.00001,  -0.27194
   0.00006,  -0.26438
   0.00004,  -0.24923
   0.00005,  -0.24752
   0.00000,  -0.23335
   0.00000,  -0.22307
   0.00000,  -0.22328
   0.00004,  -0.20074
   0.00000,  -0.20090
   0.00000,  -0.19672
   0.00000,  -0.19354
   0.00001,  -0.18330
   0.00001,  -0.17428
   0.00000,  -0.17052
   0.00000,  -0.16990
   0.00000,  -0.16808
   0.00000,  -0.16271
   0.00000,  -0.15951
   0.00000,  -0.16079
   0.00000,  -0.15998
   0.00000,  -0.15969
   0.00001,  -0.15567
   0.00001,  -0.15574
   0.00001,  -0.15629
   0.00001,  -0.15320
   0.00000,  -0.15312
   0.47204,   2.03369
   0.42917,   1.83495
   0.39608,   1.70546
   0.36186,   1.58955
   0.32599,   1.48457
   0.28897,   1.39120
   0.25111,   1.30908
   0.21276,   1.23766
   0.17455,   1.17668
   0.13758,   1.12613
   0.10263,   1.08517
   0.07070,   1.05310
   0.04329,   1.02945
   0.02169,   1.01339
   0.00720,   1.00405
   0.00056,   1.00029
   0.00058,   1.00028
   0.00198,   1.00094
   0.00210,   1.00099
   0.00156,   1.00074
