MSE, Q-LIKE
   0.00002,  -0.70522
   0.00000,  -0.70450
   0.00000,  -0.70395
   0.00001,  -0.70364
   0.00000,  -0.70438
   0.00000,  -0.70536
   0.00000,  -0.70316
   0.00000,  -0.70590
   0.00000,  -0.70592
   0.00001,  -0.70774
   0.00000,  -0.70899
   0.00001,  -0.70896
   0.00000,  -0.70915
   0.00000,  -0.70913
   0.00000,  -0.69563
   0.00001,  -0.69315
   0.00001,  -0.69425
   0.00000,  -0.69179
   0.00001,  -0.69109
   0.00000,  -0.69322
   0.00000,  -0.69312
   0.00000,  -0.69616
   0.00000,  -0.70470
   0.00000,  -0.70456
   0.00000,  -0.70480
   0.00000,  -0.70667
   0.00001,  -0.70272
   0.00000,  -0.70166
   0.00000,  -0.70410
   0.00000,  -0.70226
   0.00000,  -0.70318
   0.00000,  -0.69980
   0.00000,  -0.69994
   0.00000,  -0.70253
   0.00001,  -0.70301
   0.00000,  -0.71094
   0.00001,  -0.70953
   0.00000,  -0.70642
   0.00001,  -0.70361
   0.00001,  -0.70591
   0.00000,  -0.70545
   0.00000,  -0.70575
   0.00000,  -0.70494
   0.00000,  -0.70550
   0.00001,  -0.70297
   0.00000,  -0.70285
   0.00000,  -0.70290
   0.00000,  -0.70230
   0.00000,  -0.70335
   0.00000,  -0.70385
   0.00000,  -0.71150
   0.00001,  -0.71435
   0.00000,  -0.71469
   0.00000,  -0.71261
   0.00001,  -0.71391
   0.00000,  -0.71454
   0.00000,  -0.71481
   0.00000,  -0.72723
   0.00000,  -0.72945
   0.00000,  -0.72948
   0.00000,  -0.72958
   0.00000,  -0.72941
   0.00000,  -0.72898
   0.00000,  -0.72934
   0.00000,  -0.72994
   0.00000,  -0.72996
   0.00000,  -0.73011
   0.00000,  -0.73737
   0.00000,  -0.73577
   0.00001,  -0.73623
   0.00000,  -0.73543
   0.00000,  -0.73536
   0.00000,  -0.75539
   0.00001,  -0.76190
   0.00000,  -0.76385
   0.00000,  -0.76484
   0.00000,  -0.76492
   0.00000,  -0.76556
   0.00001,  -0.76571
   0.00000,  -0.77200
   0.00000,  -0.77411
   0.00000,  -0.77597
   0.00005,  -0.77706
   0.00000,  -0.77945
   0.00000,  -0.77814
   0.00000,  -0.77838
   0.00000,  -0.77714
   0.00000,  -0.78085
   0.00000,  -0.78093
   0.00000,  -0.78279
   0.00000,  -0.78200
   0.00000,  -0.78386
   0.00000,  -0.78661
   0.00000,  -0.78734
   0.00000,  -0.78632
   0.00000,  -0.78660
   0.00002,  -0.77066
   0.00000,  -0.77003
   0.00000,  -0.77201
   0.00000,  -0.77366
   0.00001,  -0.77355
   0.00000,  -0.77362
   0.00000,  -0.77363
   0.00000,  -0.77236
   0.00000,  -0.77217
   0.00000,  -0.77191
   0.00000,  -0.77185
   0.00075,  -0.91871
   0.00049,  -0.92341
   0.00028,  -0.92974
   0.00023,  -0.93109
   0.00022,  -0.93642
   0.00010,  -0.92704
   0.00006,  -0.92410
   0.00004,  -0.92510
   0.00000,  -0.87365
   0.00004,  -0.85841
   0.00007,  -0.81994
   0.00001,  -0.82162
   0.00014,  -0.77576
   0.00004,  -0.75220
   0.00003,  -0.74035
   0.00022,  -0.67559
   0.00000,  -0.67497
   0.00001,  -0.66386
   0.00034,  -0.53188
   0.00012,  -0.52106
   0.00005,  -0.47519
   0.00010,  -0.45865
   0.00013,  -0.43510
   0.00061,  -0.38922
   0.00314,  -0.31807
   0.00003,  -0.33349
   0.00121,  -0.30907
   0.00000,  -0.29768
   0.00094,  -0.26679
   0.00000,  -0.26473
   0.00015,  -0.24857
   0.00009,  -0.24722
   0.00001,  -0.23332
   0.00006,  -0.22276
   0.00008,  -0.22281
   0.00001,  -0.20090
   0.00011,  -0.20031
   0.00005,  -0.19645
   0.00000,  -0.19354
   0.00011,  -0.18274
   0.00000,  -0.17431
   0.00021,  -0.16938
   0.00000,  -0.16993
   0.00006,  -0.16777
   0.00000,  -0.16273
   0.00001,  -0.15949
   0.00001,  -0.16075
   0.00000,  -0.15998
   0.00005,  -0.15946
   0.00003,  -0.15555
   0.00005,  -0.15551
   0.00003,  -0.15616
   0.00000,  -0.15326
   0.00000,  -0.15313
