MSE, Q-LIKE
 263.30868,   2.80617
 379.83533,   2.98613
 304.77851,   2.87796
3624.44413,   4.10302
12939.15126,   4.73681
2772.79820,   3.96985
1227.10226,   3.56529
11581.68282,   4.68156
9294.63901,   4.57191
1095.94942,   3.50924
 143.83034,   2.51058
11121.32046,   4.66133
1397.98565,   3.62987
  81.32973,   2.23417
3944.00891,   4.14508
14767.51882,   4.80274
8820.70453,   4.54586
6606.01933,   4.40184
1270.76768,   3.58270
9322.54952,   4.57345
27421.16840,   5.11150
18412.40481,   4.91279
49489.82044,   5.40622
6070.51399,   4.35977
9884.31203,   4.60262
3707.36709,   4.11436
2163.43605,   3.84670
4008.01712,   4.15315
 494.35316,   3.11632
81808.10996,   5.65721
12867.69800,   4.73413
23790.62846,   5.04065
22844.35167,   5.02041
18085.50954,   4.90388
3921.95057,   4.14242
36703.18898,   5.25703
3137.39591,   4.03144
2469.19040,   3.91243
 490.65801,   3.11270
14722.67774,   4.80136
394734.54994,   6.44352
1401.05535,   3.63150
50496.82518,   5.41634
32507.19444,   5.19649
6040.52263,   4.35747
12566.29638,   4.72239
7115.91094,   4.43903
1224.31380,   3.56465
1693.56015,   3.72545
14551.46134,   4.79548
221856.11192,   6.15560
6150.79424,   4.36636
14120.63371,   4.78046
104378.75361,   5.77891
 608.70129,   3.21914
  46.08404,   1.96372
3825.60028,   4.13016
23106.19124,   5.02614
9134.50318,   4.56342
18857.04732,   4.92477
 228.06389,   2.73691
 358.85747,   2.95908
 339.61116,   2.93204
3419.17016,   4.07421
1283.13584,   3.58771
113536.53213,   5.82092
16233.19045,   4.85000
18080.10515,   4.90373
2714.32915,   3.95946
10281.41784,   4.62245
12659.11730,   4.72614
41997.55235,   5.32427
6262.80518,   4.37530
40056.97445,   5.30066
 922.59107,   3.42427
3666.69728,   4.10894
1206.36843,   3.55695
22748.25905,   5.01827
 870.32914,   3.39550
5503.42652,   4.31099
1717.23267,   3.73211
8298.61245,   4.51550
9763.24487,   4.59649
5511.35229,   4.31167
2861129.82927,   7.43356
29626.66109,   5.15011
153480.13693,   5.97150
13098.02554,   4.74296
22785.11595,   5.01909
1865.31262,   3.77306
83207.27018,   5.66567
2140.66188,   3.84138
12399.79382,   4.71561
123163.61458,   5.86155
32561.90148,   5.19723
4625.97844,   4.22446
 829.58144,   3.37157
 939.23228,   3.43297
 546.01799,   3.16503
 556.58062,   3.17441
4323.32771,   4.19075
1401.09522,   3.63104
 305.89332,   2.87975
 479.21759,   3.10056
1499.90390,   3.66478
1205.87540,   3.55664
 562.11231,   3.17918
13037.59294,   4.74056
 318.82297,   2.89983
2143.42353,   3.84186
8125.06188,   4.50484
8818.87776,   4.54561
  60.59642,   2.09119
 200.32756,   2.67136
1700.37728,   3.72661
 691.22535,   3.28066
 308.42735,   2.88284
 186.96309,   2.63732
 190.66049,   2.64697
 589.23436,   3.20180
7659.87832,   4.47531
7267.31556,   4.44909
2678.31660,   3.95229
1965.62228,   3.79858
6309.93584,   4.37874
10604.75118,   4.63746
8366.62765,   4.51930
 431.10434,   3.04768
7373.62883,   4.45635
5273.74852,   4.28940
1660.17090,   3.71472
1064.79901,   3.49446
4762.13672,   4.23858
 384.82027,   2.99168
1026.39148,   3.47623
 621.75998,   3.22826
 740.04907,   3.31441
5641.81229,   4.32300
11583.01223,   4.68144
1192.69248,   3.55064
2498.82350,   3.91778
3226.16777,   4.04480
 123.45666,   2.43467
1242.86115,   3.57107
5120.00083,   4.27464
 948.49410,   3.43717
3597.64564,   4.09903
18800.83796,   4.92302
4070.15969,   4.16042
2503.03587,   3.91856
8610.02396,   4.53354
8037.73349,   4.49926
5985.17088,   4.35235
1207.69815,   3.55676
3317.48945,   4.05864
2819.04516,   3.97768
6253.39393,   4.37437
27303.00889,   5.10929
318927.26511,   6.33694
221362.40894,   6.15447
211030.28607,   6.13060
65649.80924,   5.54739
723998.90625,   6.74668
339740.09052,   6.36859
717353.18726,   6.74212
3576085.57602,   7.54510
8586439.10813,   7.98300
18541241.10926,   8.36786
17931796.04276,   8.35118
87289516.78068,   9.14243
148288134.23804,   9.40738
257736061.33858,   9.68376
11537789.40462,   8.13075
27844473.72087,   8.57119
20550763.50119,   8.41936
32107622.54823,   8.64243
120593401.67569,   9.30403
323380705.10668,   9.79721
75118.21076,   5.61605
507643.06050,   6.56978
290773.27987,   6.29150
532521.76230,   6.59369
762861.13493,   6.77325
1993038.96245,   7.25312
1845244.99062,   7.21462
5466452.78973,   7.75739
47677567.50504,   8.84010
75477.39868,   5.61857
151388.40161,   5.96576
1275363.62301,   7.03005
313306.45369,   6.32884
394555.00627,   6.44398
1087655.45428,   6.95051
361935.25096,   6.40089
1380122.74020,   7.06950
529293.36063,   6.59072
1284268.42623,   7.03354
4699213.09522,   7.68181
930901.44406,   6.87276
77645.06323,   5.63275
173527.67560,   6.03392
40743.49515,   5.31139
