MSE, Q-LIKE
   0.00001,  -0.78225
   0.00001,  -0.78385
   0.00001,  -0.78199
   0.00000,  -0.80224
   0.00000,  -0.80175
   0.00000,  -0.80151
   0.00000,  -0.80036
   0.00000,  -0.80379
   0.00000,  -0.80325
   0.00006,  -0.75369
   0.00005,  -0.75429
   0.00001,  -0.81551
   0.00001,  -0.81441
   0.00001,  -0.81286
   0.00001,  -0.81516
   0.00000,  -0.80672
   0.00002,  -0.82274
   0.00001,  -0.82041
   0.00000,  -0.80842
   0.00000,  -0.80432
   0.00000,  -0.80987
   0.00000,  -0.81206
   0.00001,  -0.81316
   0.00001,  -0.81340
   0.00001,  -0.81332
   0.00001,  -0.81338
   0.00001,  -0.81292
   0.00001,  -0.81294
   0.00001,  -0.81298
   0.00001,  -0.82117
   0.00001,  -0.82141
   0.00002,  -0.82485
   0.00002,  -0.82519
   0.00002,  -0.82472
   0.00002,  -0.82461
   0.00002,  -0.82242
   0.00002,  -0.82766
   0.00002,  -0.82844
   0.00002,  -0.82630
   0.00003,  -0.83112
   0.00003,  -0.83119
   0.00003,  -0.83067
   0.00003,  -0.83404
   0.00004,  -0.83551
   0.00004,  -0.83617
   0.00004,  -0.83503
   0.00005,  -0.83941
   0.00006,  -0.84493
   0.00007,  -0.84776
   0.00007,  -0.84808
   0.00007,  -0.84742
   0.00013,  -0.86685
   0.00013,  -0.86637
   0.00017,  -0.87685
   0.00021,  -0.88575
   0.00021,  -0.88688
   0.00021,  -0.88595
   0.00022,  -0.88813
   0.00020,  -0.88504
   0.00021,  -0.88574
   0.00023,  -0.89040
   0.00024,  -0.89250
   0.00022,  -0.88772
   0.00021,  -0.88534
   0.00021,  -0.88546
   0.00021,  -0.88540
   0.00021,  -0.88614
   0.00020,  -0.88374
   0.00021,  -0.88534
   0.00021,  -0.88655
   0.00021,  -0.88721
   0.00023,  -0.88931
   0.00022,  -0.88895
   0.00022,  -0.88735
   0.00024,  -0.89257
   0.00024,  -0.89234
   0.00021,  -0.88699
   0.00021,  -0.88609
   0.00023,  -0.88970
   0.00024,  -0.89235
   0.00024,  -0.89241
   0.00024,  -0.89234
   0.00024,  -0.89262
   0.00024,  -0.89241
   0.00024,  -0.89181
   0.00023,  -0.88972
   0.00022,  -0.88887
   0.00022,  -0.88884
   0.00023,  -0.89030
   0.00028,  -0.89972
   0.00028,  -0.89998
   0.00028,  -0.90050
   0.00030,  -0.90328
   0.00028,  -0.90052
   0.00028,  -0.89970
   0.00027,  -0.89775
   0.00010,  -0.85777
   0.00005,  -0.84325
   0.00000,  -0.81091
   0.00001,  -0.81790
   0.00000,  -0.79369
   0.00004,  -0.76001
   0.00004,  -0.76128
   0.00030,  -0.69482
   0.00084,  -0.62400
   0.00145,  -0.56897
   0.00383,  -0.42474
   0.00428,  -0.40331
   0.01502,  -0.05814
   0.01504,  -0.05784
   0.01726,  -0.00489
   0.02058,   0.06799
   0.02056,   0.06767
   0.02351,   0.12761
   0.03791,   0.37761
   0.03788,   0.37717
   0.03827,   0.38324
   0.03842,   0.38560
   0.03877,   0.39086
   0.03888,   0.39260
   0.03993,   0.40864
   0.04018,   0.41243
   0.04017,   0.41220
   0.04568,   0.49264
   0.04571,   0.49301
   0.04578,   0.49395
   0.04644,   0.50328
   0.04666,   0.50632
   0.04680,   0.50830
   0.04745,   0.51737
   0.04750,   0.51808
   0.04825,   0.52842
   0.04841,   0.53067
   0.04869,   0.53444
   0.05005,   0.55289
   0.05029,   0.55618
   0.05036,   0.55711
   0.05042,   0.55789
   0.05042,   0.55787
   0.05047,   0.55864
   0.05030,   0.55633
   0.05070,   0.56169
