MSE, Q-LIKE
   0.00001,  -0.77674
   0.00000,  -0.77430
   0.00000,  -0.77567
   0.00000,  -0.77571
   0.00000,  -0.78143
   0.00000,  -0.78166
   0.00000,  -0.78194
   0.00000,  -0.78189
   0.00001,  -0.79440
   0.00000,  -0.79762
   0.00000,  -0.80335
   0.00000,  -0.80378
   0.00000,  -0.80331
   0.00000,  -0.78926
   0.00000,  -0.78611
   0.00000,  -0.78269
   0.00000,  -0.78219
   0.00000,  -0.78280
   0.00000,  -0.78260
   0.00000,  -0.78238
   0.00000,  -0.78396
   0.00000,  -0.78212
   0.00001,  -0.80202
   0.00000,  -0.80176
   0.00000,  -0.80151
   0.00000,  -0.80036
   0.00000,  -0.80380
   0.00000,  -0.80326
   0.00007,  -0.75351
   0.00002,  -0.75498
   0.00007,  -0.81444
   0.00002,  -0.81416
   0.00000,  -0.81289
   0.00000,  -0.81528
   0.00000,  -0.80672
   0.00001,  -0.82291
   0.00000,  -0.82064
   0.00000,  -0.80840
   0.00000,  -0.80433
   0.00000,  -0.80991
   0.00000,  -0.81215
   0.00000,  -0.81327
   0.00000,  -0.81351
   0.00000,  -0.81343
   0.00000,  -0.81349
   0.00000,  -0.81302
   0.00000,  -0.81305
   0.00000,  -0.81308
   0.00000,  -0.82139
   0.00000,  -0.82167
   0.00000,  -0.82519
   0.00000,  -0.82554
   0.00000,  -0.82507
   0.00000,  -0.82496
   0.00000,  -0.82271
   0.00000,  -0.82808
   0.00000,  -0.82889
   0.00000,  -0.82669
   0.00000,  -0.83165
   0.00000,  -0.83173
   0.00000,  -0.83120
   0.00000,  -0.83467
   0.00000,  -0.83620
   0.00000,  -0.83689
   0.00000,  -0.83571
   0.00000,  -0.84025
   0.00000,  -0.84602
   0.00000,  -0.84900
   0.00000,  -0.84934
   0.00000,  -0.84864
   0.00001,  -0.86906
   0.00000,  -0.86877
   0.00000,  -0.88001
   0.00000,  -0.88972
   0.00000,  -0.89101
   0.00000,  -0.89000
   0.00000,  -0.89239
   0.00000,  -0.88899
   0.00000,  -0.88976
   0.00000,  -0.89487
   0.00000,  -0.89720
   0.00000,  -0.89193
   0.00000,  -0.88933
   0.00000,  -0.88946
   0.00000,  -0.88939
   0.00000,  -0.89021
   0.00000,  -0.88757
   0.00000,  -0.88932
   0.00000,  -0.89065
   0.00000,  -0.89138
   0.00000,  -0.89368
   0.00000,  -0.89328
   0.00000,  -0.89153
   0.00000,  -0.89726
   0.00000,  -0.89702
   0.00000,  -0.89112
   0.00000,  -0.89015
   0.00000,  -0.89410
   0.00000,  -0.89703
   0.00000,  -0.89710
   0.00000,  -0.89702
   0.00000,  -0.89733
   0.00000,  -0.89709
   0.00000,  -0.89644
   0.00000,  -0.89414
   0.00000,  -0.89320
   0.00000,  -0.89317
   0.00000,  -0.89478
   0.00000,  -0.90514
   0.00000,  -0.90549
   0.00000,  -0.90607
   0.00000,  -0.90915
   0.00000,  -0.90608
   0.00000,  -0.90518
   0.00000,  -0.90301
   0.00004,  -0.85863
   0.00002,  -0.84382
   0.00005,  -0.80993
   0.00000,  -0.81804
   0.00002,  -0.79338
   0.00003,  -0.76015
   0.00000,  -0.76193
   0.00013,  -0.69770
   0.00027,  -0.63369
   0.00036,  -0.58690
   0.00131,  -0.46506
   0.00097,  -0.45456
   0.00643,  -0.18500
   0.00486,  -0.20209
   0.00483,  -0.17538
   0.00512,  -0.13657
   0.00372,  -0.14859
   0.00362,  -0.11959
   0.00812,   0.02464
   0.00561,   0.00818
   0.00398,   0.00123
   0.00249,  -0.00578
   0.00148,  -0.00846
   0.00075,  -0.01101
   0.00042,  -0.00522
   0.00012,  -0.00472
   0.00000,  -0.00527
   0.00015,   0.03098
   0.00000,   0.03062
   0.00000,   0.03103
   0.00000,   0.03509
   0.00000,   0.03641
   0.00000,   0.03727
   0.00000,   0.04120
   0.00000,   0.04150
   0.00000,   0.04596
   0.00000,   0.04692
   0.00000,   0.04854
   0.00001,   0.05643
   0.00000,   0.05782
   0.00000,   0.05820
   0.00000,   0.05853
   0.00000,   0.05853
   0.00000,   0.05885
   0.00000,   0.05787
   0.00000,   0.06015
   0.37224,   1.62297
   0.33524,   1.51018
   0.30734,   1.43578
   0.27902,   1.36839
   0.24988,   1.30662
   0.22036,   1.25096
   0.19075,   1.20138
   0.16126,   1.15760
   0.13231,   1.11954
   0.10460,   1.08731
   0.07864,   1.06061
   0.05504,   1.03915
   0.03476,   1.02283
   0.01855,   1.01126
   0.00721,   1.00405
   0.00118,   1.00062
   0.00006,   1.00003
   0.00055,   1.00027
   0.00043,   1.00021
   0.00016,   1.00008
