MSE, Q-LIKE
   0.00003,  -0.77639
   0.00000,  -0.77424
   0.00000,  -0.77566
   0.00000,  -0.77571
   0.00000,  -0.78143
   0.00000,  -0.78166
   0.00000,  -0.78194
   0.00000,  -0.78189
   0.00000,  -0.79442
   0.00000,  -0.79760
   0.00000,  -0.80332
   0.00000,  -0.80375
   0.00000,  -0.80331
   0.00001,  -0.78918
   0.00000,  -0.78611
   0.00000,  -0.78266
   0.00000,  -0.78218
   0.00000,  -0.78280
   0.00000,  -0.78258
   0.00000,  -0.78237
   0.00000,  -0.78396
   0.00000,  -0.78212
   0.00001,  -0.80212
   0.00000,  -0.80176
   0.00000,  -0.80150
   0.00000,  -0.80036
   0.00000,  -0.80380
   0.00000,  -0.80326
   0.00007,  -0.75345
   0.00003,  -0.75475
   0.00006,  -0.81463
   0.00001,  -0.81427
   0.00000,  -0.81292
   0.00000,  -0.81528
   0.00000,  -0.80672
   0.00001,  -0.82293
   0.00000,  -0.82064
   0.00000,  -0.80842
   0.00000,  -0.80433
   0.00000,  -0.80993
   0.00000,  -0.81214
   0.00000,  -0.81327
   0.00000,  -0.81351
   0.00000,  -0.81343
   0.00000,  -0.81347
   0.00000,  -0.81302
   0.00000,  -0.81304
   0.00000,  -0.81308
   0.00000,  -0.82139
   0.00000,  -0.82167
   0.00000,  -0.82519
   0.00000,  -0.82552
   0.00000,  -0.82506
   0.00000,  -0.82495
   0.00000,  -0.82271
   0.00000,  -0.82808
   0.00000,  -0.82889
   0.00000,  -0.82666
   0.00000,  -0.83165
   0.00000,  -0.83173
   0.00000,  -0.83119
   0.00000,  -0.83468
   0.00000,  -0.83620
   0.00000,  -0.83688
   0.00000,  -0.83571
   0.00000,  -0.84025
   0.00000,  -0.84602
   0.00000,  -0.84900
   0.00000,  -0.84934
   0.00000,  -0.84864
   0.00001,  -0.86907
   0.00000,  -0.86877
   0.00000,  -0.88005
   0.00000,  -0.88972
   0.00000,  -0.89100
   0.00000,  -0.88999
   0.00000,  -0.89239
   0.00000,  -0.88899
   0.00000,  -0.88976
   0.00000,  -0.89488
   0.00000,  -0.89720
   0.00000,  -0.89194
   0.00000,  -0.88925
   0.00000,  -0.88946
   0.00000,  -0.88938
   0.00000,  -0.89021
   0.00000,  -0.88757
   0.00000,  -0.88932
   0.00000,  -0.89065
   0.00000,  -0.89138
   0.00000,  -0.89368
   0.00000,  -0.89328
   0.00000,  -0.89154
   0.00000,  -0.89726
   0.00000,  -0.89702
   0.00000,  -0.89111
   0.00000,  -0.89014
   0.00000,  -0.89411
   0.00000,  -0.89703
   0.00000,  -0.89709
   0.00000,  -0.89700
   0.00000,  -0.89731
   0.00000,  -0.89709
   0.00000,  -0.89644
   0.00000,  -0.89414
   0.00000,  -0.89319
   0.00000,  -0.89317
   0.00000,  -0.89476
   0.00000,  -0.90513
   0.00000,  -0.90548
   0.00000,  -0.90607
   0.00000,  -0.90916
   0.00000,  -0.90608
   0.00000,  -0.90518
   0.00000,  -0.90301
   0.00004,  -0.85875
   0.00004,  -0.84352
   0.00008,  -0.80945
   0.00002,  -0.81773
   0.00005,  -0.79272
   0.00006,  -0.75970
   0.00002,  -0.76159
   0.00018,  -0.69693
   0.00024,  -0.63409
   0.00027,  -0.58828
   0.00115,  -0.46727
   0.00060,  -0.45902
   0.00367,  -0.21430
   0.00121,  -0.23567
   0.00062,  -0.21037
   0.00205,  -0.16131
   0.00674,  -0.14899
   0.00024,  -0.14181
   0.00018,  -0.02032
   0.00028,  -0.02010
   0.00071,  -0.01600
   0.00059,  -0.01492
   0.00005,  -0.01479
   0.00099,  -0.00995
   0.00007,  -0.00661
   0.00010,  -0.00481
   0.00060,  -0.00282
   0.00037,   0.03184
   0.00011,   0.03100
   0.00041,   0.03258
   0.00022,   0.03587
   0.00022,   0.03722
   0.00005,   0.03743
   0.00021,   0.04193
   0.00003,   0.04161
   0.00017,   0.04656
   0.00003,   0.04703
   0.00003,   0.04862
   0.00001,   0.05645
   0.00000,   0.05783
   0.00011,   0.05859
   0.00003,   0.05863
   0.00004,   0.05868
   0.00003,   0.05896
   0.00000,   0.05788
   0.00000,   0.06015
