MSE, Q-LIKE
337079.42498,   6.36493
 241.65268,   2.77655
23372.55363,   5.03303
13501.46351,   4.75971
6499.03408,   4.39610
17104.15760,   4.87749
35953.35375,   5.24772
35420.53622,   5.24027
90224.30574,   5.70675
10883.63940,   4.65246
262862.48753,   6.24070
7500.36474,   4.46733
110825.10725,   5.80940
11568.34982,   4.68277
92438.92009,   5.71885
2329.04839,   3.88727
97437.53966,   5.74514
137650.85261,   5.91763
24918.87743,   5.06496
38464.42352,   5.28137
18727.00994,   4.92263
37422.43334,   5.26771
86843.00245,   5.68770
13866.54477,   4.77307
15339.46025,   4.82332
83470.61165,   5.66794
41996.46182,   5.32523
122338.41861,   5.85877
100024.88704,   5.75826
3453.90126,   4.08259
321304.96485,   6.34100
60435.94958,   5.50681
3533.30465,   4.09386
  93.72871,   2.32374
46357.08846,   5.37452
960928.53351,   6.88837
19853.14341,   4.95183
222636.56829,   6.15777
27724.33117,   5.11823
36649.34801,   5.25736
15994.07696,   4.84420
102766.96509,   5.77178
176739.73464,   6.04248
55373.77476,   5.46319
132317.25905,   5.89794
14770.94188,   4.80458
12273.28606,   4.71238
17804.00654,   4.89757
19550.28953,   4.94417
16807.75589,   4.86889
12005.75754,   4.70141
251407.05977,   6.21847
2716.49794,   3.96369
2131.39475,   3.84370
5741.03321,   4.33474
 485.67395,   3.11687
76896.20342,   5.62703
8048.30730,   4.50256
  19.61908,   1.60393
10996.14020,   4.65776
2410.64520,   3.90470
74823.33522,   5.61340
8320.35909,   4.51909
36898.82166,   5.26074
11134.16565,   4.66394
9114.10972,   4.56438
29189.91014,   5.14391
28898.20045,   5.13890
 713.44678,   3.30490
5777.27144,   4.33786
71498.77041,   5.59072
5867.25254,   4.34552
546946.85652,   6.60677
66373.24448,   5.55358
1384.48970,   3.63073
11070.21083,   4.66104
42971.93833,   5.33671
64330.05833,   5.53799
13556.71018,   4.76192
117099.33885,   5.83696
1199975.61417,   6.99940
114992.32339,   5.82789
55542.08429,   5.46471
12271.31845,   4.71231
21157.22437,   4.98352
74732.35148,   5.61278
149732.93968,   5.95968
8192.06659,   4.51131
457309.14244,   6.51734
23633.52685,   5.03862
4573.34495,   4.22174
13642.62288,   4.76495
1364.98120,   3.62355
28508.16084,   5.13208
50872.09696,   5.42086
141973.65506,   5.93309
70045.82772,   5.58043
12189.07655,   4.70888
16550.66681,   4.86115
10335.07310,   4.62679
20139.76903,   4.95889
26628.82679,   5.09811
125844.74571,   5.87289
4114.82885,   4.16937
12381.42435,   4.71670
11896.11694,   4.69680
60162.20441,   5.50454
140879.30185,   5.92922
64197.03390,   5.53692
20246.59646,   4.96153
189882.60712,   6.07828
46265.06129,   5.37349
64991.59158,   5.54305
30082.10650,   5.15883
3183.74018,   4.04195
 976.27664,   3.45809
3484.66260,   4.08667
17961.26601,   4.90178
7709.25754,   4.48090
14753.95449,   4.80379
6275.58572,   4.37850
58252.21780,   5.48834
1411.91292,   3.63960
33491.63298,   5.21226
5699.84221,   4.33070
1521.60683,   3.67652
 133.69325,   2.49033
2167.58584,   3.85136
9636.02353,   4.59171
11162.96432,   4.66489
4308.17001,   4.19169
15215.74097,   4.81906
4321.14833,   4.19317
2237.99045,   3.86711
 248.35591,   2.78852
36374.44608,   5.25348
2681.13908,   3.95679
3707.09039,   4.11733
 541.49988,   3.16893
57759.86214,   5.48415
2090.06018,   3.83360
5020.63924,   4.26790
18189.26192,   4.90810
 526.59862,   3.15548
47616.73461,   5.38783
14963.03867,   4.81088
10634.94390,   4.64092
34240.66670,   5.22335
5561.00617,   4.31862
7413.30739,   4.46144
1640.60775,   3.71398
35304.24881,   5.23860
3794360.70082,   7.57478
105425.24829,   5.78446
10243.86119,   4.62234
163742.65936,   6.00431
20949.69759,   4.97853
22560.69440,   5.01544
479565.77037,   6.54107
81949.88388,   5.65879
282851.74336,   6.27736
588395.94855,   6.64329
118962.47296,   5.84487
90857.08874,   5.71038
1163556.61481,   6.98403
2647987.79921,   7.39501
1355619.00839,   7.06041
31002571.32887,   8.62490
6534928.40641,   7.84659
21187258.95834,   8.43459
6073571.62168,   7.80999
2487605.35861,   7.36382
4259009.41901,   7.63260
13026200.16416,   8.19142
4481675.92170,   7.65809
26243068.14869,   8.54160
10147474.13584,   8.06659
1927819.61950,   7.23647
40282986.22806,   8.75583
2182045.21864,   7.29838
55450735.13360,   8.91560
284645.72149,   6.28087
4296601.55100,   7.63702
303531.49123,   6.31296
2995822.73984,   7.45679
883547.15149,   6.84664
670776.76757,   6.70900
1397625.00582,   7.07577
321808.27437,   6.34217
1820247.99744,   7.20780
700155.91542,   6.73042
130478.21153,   5.89155
107168.08247,   5.79336
275682.97966,   6.26493
118159.52010,   5.84207
140021.56019,   5.92678
11623.33447,   4.68685
134062.56225,   5.90495
2534557.31959,   7.37321
359170.41749,   6.39695
30892.95925,   5.17316
700742.28559,   6.73079
