MSE, Q-LIKE
   0.00001,  -0.31600
   0.00001,  -0.31744
   0.00001,  -0.31787
   0.00000,  -0.32102
   0.00001,  -0.31970
   0.00001,  -0.31970
   0.00000,  -0.32132
   0.00000,  -0.32139
   0.00001,  -0.32012
   0.00001,  -0.31941
   0.00001,  -0.31944
   0.00000,  -0.32136
   0.00000,  -0.32915
   0.00000,  -0.32689
   0.00000,  -0.32687
   0.00000,  -0.32700
   0.00000,  -0.32754
   0.00000,  -0.32082
   0.00001,  -0.31599
   0.00001,  -0.31602
   0.00001,  -0.31572
   0.00001,  -0.31648
   0.00000,  -0.32273
   0.00000,  -0.32208
   0.00000,  -0.32333
   0.00000,  -0.32614
   0.00000,  -0.32646
   0.00000,  -0.32621
   0.00000,  -0.33438
   0.00000,  -0.33737
   0.00000,  -0.33720
   0.00001,  -0.34118
   0.00001,  -0.33949
   0.00001,  -0.33820
   0.00001,  -0.33982
   0.00001,  -0.33944
   0.00001,  -0.34180
   0.00001,  -0.34133
   0.00001,  -0.34110
   0.00001,  -0.34012
   0.00002,  -0.34533
   0.00000,  -0.33208
   0.00000,  -0.33486
   0.00000,  -0.33377
   0.00000,  -0.33353
   0.00000,  -0.33462
   0.00000,  -0.33565
   0.00001,  -0.34102
   0.00001,  -0.34284
   0.00001,  -0.34331
   0.00002,  -0.34483
   0.00001,  -0.34360
   0.00002,  -0.34412
   0.00003,  -0.34924
   0.00008,  -0.36215
   0.00010,  -0.36619
   0.00010,  -0.36607
   0.00010,  -0.36628
   0.00008,  -0.36328
   0.00014,  -0.37369
   0.00023,  -0.38599
   0.00023,  -0.38591
   0.00021,  -0.38426
   0.00021,  -0.38426
   0.00021,  -0.38450
   0.00022,  -0.38483
   0.00022,  -0.38478
   0.00023,  -0.38636
   0.00023,  -0.38607
   0.00023,  -0.38709
   0.00026,  -0.38976
   0.00028,  -0.39191
   0.00028,  -0.39190
   0.00028,  -0.39187
   0.00028,  -0.39275
   0.00011,  -0.36824
   0.00010,  -0.36778
   0.00011,  -0.36882
   0.00009,  -0.36505
   0.00009,  -0.36410
   0.00009,  -0.36419
   0.00005,  -0.35653
   0.00005,  -0.35686
   0.00005,  -0.35603
   0.00005,  -0.35602
   0.00005,  -0.35465
   0.00007,  -0.36005
   0.00007,  -0.36025
   0.00007,  -0.36144
   0.00008,  -0.36322
   0.00008,  -0.36312
   0.00008,  -0.36302
   0.00008,  -0.36243
   0.00006,  -0.35748
   0.00002,  -0.34787
   0.00002,  -0.34626
   0.00002,  -0.34564
   0.00002,  -0.34579
   0.00001,  -0.34084
   0.00000,  -0.32218
   0.00007,  -0.29853
   0.00007,  -0.29691
   0.00007,  -0.29650
   0.00025,  -0.26923
   0.00045,  -0.24909
   0.00057,  -0.23911
   0.00155,  -0.18036
   0.00205,  -0.15801
   0.00301,  -0.12194
   0.00315,  -0.11729
   0.00322,  -0.11489
   0.00322,  -0.11476
   0.00495,  -0.06347
   0.00552,  -0.04861
   0.00904,   0.03001
   0.00893,   0.02791
   0.00928,   0.03483
   0.00938,   0.03663
   0.00970,   0.04294
   0.00959,   0.04084
   0.00974,   0.04365
   0.01010,   0.05051
   0.01030,   0.05420
   0.01106,   0.06807
   0.01130,   0.07233
   0.01153,   0.07646
   0.01154,   0.07668
   0.01154,   0.07668
   0.01164,   0.07836
   0.01193,   0.08350
   0.01192,   0.08329
   0.01196,   0.08392
   0.01203,   0.08526
   0.01208,   0.08608
   0.01214,   0.08711
   0.01215,   0.08732
   0.00716,  -0.00959
   0.00765,   0.00121
   0.00781,   0.00462
   0.00782,   0.00491
   0.00793,   0.00730
   0.00804,   0.00953
