MSE, Q-LIKE
   0.00000,  -0.31981
   0.00000,  -0.32348
   0.00000,  -0.32383
   0.00000,  -0.32346
   0.00000,  -0.32392
   0.00000,  -0.32466
   0.00000,  -0.32515
   0.00000,  -0.32599
   0.00000,  -0.32533
   0.00000,  -0.32629
   0.00000,  -0.32743
   0.00000,  -0.32730
   0.00000,  -0.32740
   0.00001,  -0.31810
   0.00000,  -0.31673
   0.00000,  -0.31888
   0.00000,  -0.31872
   0.00000,  -0.31783
   0.00000,  -0.31582
   0.00000,  -0.31608
   0.00000,  -0.31751
   0.00000,  -0.31793
   0.00000,  -0.32105
   0.00000,  -0.31974
   0.00000,  -0.31975
   0.00000,  -0.32135
   0.00000,  -0.32142
   0.00000,  -0.32016
   0.00000,  -0.31946
   0.00000,  -0.31949
   0.00000,  -0.32139
   0.00001,  -0.32911
   0.00000,  -0.32689
   0.00000,  -0.32688
   0.00000,  -0.32700
   0.00000,  -0.32754
   0.00000,  -0.32084
   0.00000,  -0.31606
   0.00000,  -0.31611
   0.00000,  -0.31581
   0.00000,  -0.31656
   0.00000,  -0.32273
   0.00000,  -0.32210
   0.00000,  -0.32334
   0.00000,  -0.32614
   0.00000,  -0.32646
   0.00000,  -0.32622
   0.00001,  -0.33436
   0.00000,  -0.33739
   0.00000,  -0.33724
   0.00000,  -0.34124
   0.00000,  -0.33954
   0.00000,  -0.33824
   0.00000,  -0.33987
   0.00000,  -0.33949
   0.00000,  -0.34188
   0.00000,  -0.34140
   0.00000,  -0.34118
   0.00000,  -0.34018
   0.00000,  -0.34545
   0.00001,  -0.33200
   0.00000,  -0.33487
   0.00000,  -0.33378
   0.00000,  -0.33353
   0.00000,  -0.33464
   0.00000,  -0.33567
   0.00000,  -0.34108
   0.00000,  -0.34294
   0.00000,  -0.34341
   0.00000,  -0.34495
   0.00000,  -0.34370
   0.00000,  -0.34423
   0.00000,  -0.34943
   0.00001,  -0.36261
   0.00000,  -0.36689
   0.00000,  -0.36677
   0.00000,  -0.36698
   0.00000,  -0.36387
   0.00001,  -0.37465
   0.00001,  -0.38758
   0.00000,  -0.38758
   0.00000,  -0.38583
   0.00000,  -0.38584
   0.00000,  -0.38609
   0.00000,  -0.38644
   0.00000,  -0.38638
   0.00000,  -0.38806
   0.00000,  -0.38775
   0.00000,  -0.38884
   0.00000,  -0.39167
   0.00000,  -0.39396
   0.00000,  -0.39395
   0.00000,  -0.39392
   0.00000,  -0.39486
   0.00004,  -0.36870
   0.00000,  -0.36852
   0.00000,  -0.36962
   0.00000,  -0.36570
   0.00000,  -0.36472
   0.00000,  -0.36482
   0.00000,  -0.35688
   0.00000,  -0.35725
   0.00000,  -0.35639
   0.00000,  -0.35639
   0.00000,  -0.35498
   0.00000,  -0.36052
   0.00000,  -0.36074
   0.00000,  -0.36197
   0.00000,  -0.36381
   0.00000,  -0.36371
   0.00000,  -0.36361
   0.00000,  -0.36299
   0.00000,  -0.35787
   0.00001,  -0.34800
   0.00000,  -0.34640
   0.00000,  -0.34578
   0.00000,  -0.34593
   0.00000,  -0.34090
   0.00002,  -0.32203
   0.00004,  -0.29870
   0.00000,  -0.29742
   0.00000,  -0.29703
   0.00005,  -0.27061
   0.00003,  -0.25197
   0.00000,  -0.24291
   0.00023,  -0.18913
   0.00010,  -0.17064
   0.00011,  -0.14029
   0.00000,  -0.13699
   0.00000,  -0.13502
   0.00000,  -0.13490
   0.00014,  -0.09288
   0.00002,  -0.08180
   0.00037,  -0.02078
   0.00001,  -0.02381
   0.00000,  -0.01876
   0.00000,  -0.01743
   0.00000,  -0.01283
   0.00000,  -0.01436
   0.00000,  -0.01231
   0.00000,  -0.00731
   0.00000,  -0.00466
   0.00001,   0.00536
   0.00000,   0.00837
   0.00000,   0.01131
   0.00000,   0.01146
   0.00000,   0.01147
   0.00000,   0.01266
   0.00000,   0.01631
   0.00000,   0.01616
   0.00000,   0.01660
   0.00000,   0.01755
   0.00000,   0.01813
   0.00000,   0.01885
   0.00000,   0.01901
   0.00066,  -0.04940
   0.00009,  -0.04338
   0.00000,  -0.04115
   0.00000,  -0.04093
   0.00000,  -0.03914
   0.00000,  -0.03748
   0.41737,   1.78663
   0.38959,   1.68217
   0.36844,   1.61054
   0.34673,   1.54336
   0.32406,   1.47933
   0.30056,   1.41895
   0.27635,   1.36243
   0.25144,   1.30974
   0.22592,   1.26095
   0.20011,   1.21642
   0.17420,   1.17615
   0.14841,   1.14013
   0.12328,   1.10861
   0.09922,   1.08152
   0.07685,   1.05889
   0.05673,   1.04060
   0.03980,   1.02670
   0.02711,   1.01720
   0.01914,   1.01166
   0.01356,   1.00799
