MSE, Q-LIKE
   0.00002,  -0.31968
   0.00000,  -0.32350
   0.00000,  -0.32382
   0.00000,  -0.32345
   0.00000,  -0.32392
   0.00000,  -0.32466
   0.00000,  -0.32515
   0.00000,  -0.32598
   0.00000,  -0.32533
   0.00000,  -0.32627
   0.00000,  -0.32742
   0.00000,  -0.32728
   0.00000,  -0.32740
   0.00001,  -0.31806
   0.00000,  -0.31673
   0.00000,  -0.31887
   0.00000,  -0.31871
   0.00000,  -0.31783
   0.00001,  -0.31578
   0.00000,  -0.31608
   0.00000,  -0.31750
   0.00000,  -0.31793
   0.00000,  -0.32105
   0.00000,  -0.31974
   0.00000,  -0.31974
   0.00000,  -0.32135
   0.00000,  -0.32140
   0.00000,  -0.32016
   0.00000,  -0.31946
   0.00000,  -0.31948
   0.00000,  -0.32139
   0.00000,  -0.32913
   0.00000,  -0.32687
   0.00000,  -0.32688
   0.00000,  -0.32699
   0.00000,  -0.32754
   0.00000,  -0.32086
   0.00000,  -0.31607
   0.00000,  -0.31608
   0.00000,  -0.31580
   0.00000,  -0.31656
   0.00000,  -0.32272
   0.00000,  -0.32210
   0.00000,  -0.32334
   0.00000,  -0.32615
   0.00000,  -0.32646
   0.00000,  -0.32621
   0.00001,  -0.33433
   0.00000,  -0.33739
   0.00000,  -0.33723
   0.00000,  -0.34124
   0.00000,  -0.33954
   0.00000,  -0.33824
   0.00000,  -0.33988
   0.00000,  -0.33947
   0.00000,  -0.34187
   0.00000,  -0.34140
   0.00000,  -0.34117
   0.00000,  -0.34017
   0.00000,  -0.34544
   0.00001,  -0.33200
   0.00000,  -0.33487
   0.00000,  -0.33378
   0.00000,  -0.33353
   0.00000,  -0.33463
   0.00000,  -0.33567
   0.00000,  -0.34107
   0.00000,  -0.34294
   0.00000,  -0.34341
   0.00000,  -0.34493
   0.00000,  -0.34370
   0.00000,  -0.34423
   0.00000,  -0.34944
   0.00002,  -0.36259
   0.00000,  -0.36688
   0.00000,  -0.36677
   0.00000,  -0.36698
   0.00000,  -0.36387
   0.00002,  -0.37458
   0.00001,  -0.38755
   0.00000,  -0.38758
   0.00000,  -0.38583
   0.00001,  -0.38577
   0.00000,  -0.38609
   0.00000,  -0.38644
   0.00000,  -0.38638
   0.00000,  -0.38806
   0.00000,  -0.38775
   0.00000,  -0.38884
   0.00000,  -0.39167
   0.00000,  -0.39397
   0.00000,  -0.39395
   0.00000,  -0.39391
   0.00000,  -0.39485
   0.00004,  -0.36871
   0.00000,  -0.36853
   0.00000,  -0.36961
   0.00000,  -0.36570
   0.00000,  -0.36473
   0.00000,  -0.36482
   0.00000,  -0.35690
   0.00000,  -0.35724
   0.00000,  -0.35639
   0.00000,  -0.35639
   0.00000,  -0.35498
   0.00000,  -0.36052
   0.00000,  -0.36074
   0.00000,  -0.36196
   0.00000,  -0.36380
   0.00000,  -0.36369
   0.00000,  -0.36360
   0.00000,  -0.36299
   0.00000,  -0.35787
   0.00001,  -0.34798
   0.00000,  -0.34640
   0.00000,  -0.34577
   0.00000,  -0.34590
   0.00000,  -0.34089
   0.00003,  -0.32199
   0.00007,  -0.29849
   0.00000,  -0.29741
   0.00000,  -0.29702
   0.00005,  -0.27061
   0.00003,  -0.25196
   0.00000,  -0.24294
   0.00019,  -0.18933
   0.00010,  -0.17065
   0.00001,  -0.14079
   0.00000,  -0.13700
   0.00002,  -0.13491
   0.00006,  -0.13460
   0.00049,  -0.09156
   0.00004,  -0.08170
   0.00000,  -0.02229
   0.00000,  -0.02384
   0.00041,  -0.01728
   0.00000,  -0.01744
   0.00005,  -0.01265
   0.00003,  -0.01424
   0.00001,  -0.01226
   0.00001,  -0.00728
   0.00003,  -0.00453
   0.00000,   0.00533
   0.00002,   0.00842
   0.00001,   0.01135
   0.00000,   0.01147
   0.00001,   0.01151
   0.00001,   0.01270
   0.00003,   0.01642
   0.00001,   0.01618
   0.00001,   0.01663
   0.00000,   0.01755
   0.00000,   0.01813
   0.00000,   0.01885
   0.00001,   0.01903
   0.00054,  -0.04982
   0.00010,  -0.04332
   0.00000,  -0.04114
   0.00000,  -0.04093
   0.00000,  -0.03915
   0.00000,  -0.03748
