MSE, Q-LIKE
15502.29431,   4.82736
1113121.70149,   6.96169
37382.90928,   5.26641
31575.70252,   5.18217
532744.05805,   6.59341
37263.90849,   5.26483
9511.20583,   4.58394
1856851.89947,   7.21747
56282.12334,   5.47063
12037.05432,   4.70126
4239.43595,   4.18180
1633.73044,   3.70845
7642.64753,   4.47497
115791.86263,   5.83086
41497.34848,   5.31851
14779.58922,   4.80355
4942.60903,   4.25810
839875.99628,   6.82091
5291.15133,   4.29200
16581.07869,   4.86089
22534.55247,   5.01387
3413.67646,   4.07420
59904.91339,   5.50179
4837.77542,   4.24752
58418.58931,   5.48925
16469.18200,   4.85755
3591.59039,   4.09943
9735.27380,   4.59555
2948.79339,   4.00150
3217.16523,   4.04477
5836.32371,   4.34087
16972.41342,   4.87257
53391.53973,   5.44434
97794.23450,   5.74652
2454.19148,   3.91039
 429.01705,   3.04890
3776.54961,   4.12442
 461.82824,   3.08505
672490.62530,   6.70984
 804.01848,   3.35839
29554.82870,   5.14926
17888.65072,   4.89886
11466.55535,   4.67721
6182.65321,   4.36966
3550.25667,   4.09386
512815.42074,   6.57438
93371.58731,   5.72344
7039.58249,   4.43427
2137.92716,   3.84216
3221.61139,   4.04564
5534.87245,   4.31462
 963.53191,   3.44777
2169.31608,   3.84942
8126.99859,   4.50580
2860.11935,   3.98659
495494.80853,   6.55721
168574.71211,   6.01853
18537.94381,   4.91670
17710.02386,   4.89393
16135.26093,   4.84752
17067.01465,   4.87550
4343.05406,   4.19420
44744.31288,   5.35623
5360.61350,   4.29874
18412.17163,   4.91324
12528.76535,   4.72136
12223.90612,   4.70906
11171.14094,   4.66419
9778.44343,   4.59786
17453.93379,   4.88664
71367.42838,   5.58928
24749.01911,   5.06078
26863.09763,   5.10165
4618.53444,   4.22468
30936.26754,   5.17210
15656.83051,   4.83251
41302.10612,   5.31628
9880.64024,   4.60316
11317.60373,   4.67080
6113.54778,   4.36422
3212.91251,   4.04447
1889.85724,   3.78125
16718.44762,   4.86519
26202.59874,   5.08925
38000.39174,   5.27470
5397.87964,   4.30226
643921.47706,   6.68816
40296.15617,   5.30398
195940.38616,   6.09368
188110.08293,   6.07330
1487.76680,   3.66272
21180.81462,   4.98312
4483.24779,   4.20990
5912.70001,   4.34753
  91.67535,   2.29964
4759.13130,   4.23960
3105.01400,   4.02742
5374.50875,   4.30005
 785.81917,   3.34724
4856.13593,   4.24961
2590.55079,   3.93747
 193.00526,   2.65921
1942.55861,   3.79467
 169.04135,   2.59460
2755.56330,   3.96806
  32.56327,   1.80785
8026.97830,   4.49959
 196.80372,   2.66816
 227.29092,   2.73821
9664.76769,   4.59199
 678.07288,   3.27418
   6.50706,   1.07839
   6.24700,   1.06061
1355.47773,   3.61620
 189.62966,   2.64919
   5.63573,   1.01153
13922.07665,   4.77374
   8.52378,   1.19193
  97.79262,   2.32815
 290.15377,   2.85653
   5.01676,   0.95874
2141.31083,   3.84245
4529.90730,   4.21464
2048.94026,   3.82058
262821.91461,   6.24033
 358.27810,   2.95975
4779.29264,   4.24124
  66.45703,   2.14197
16853.25275,   4.86894
4676.90042,   4.23047
 384.50168,   2.99432
159225.29880,   5.98995
8787.07800,   4.54439
4055.80300,   4.15963
 491.55540,   3.11504
1341.07570,   3.61048
 771.04869,   3.33689
20483.81388,   4.96623
15018.06022,   4.81147
25330.53818,   5.07216
20435.98714,   4.96506
 783.39483,   3.34489
13415.85923,   4.75527
87355.91656,   5.69012
24172.97356,   5.04886
97086.25533,   5.74285
15522.16503,   4.82796
46359.30790,   5.37380
11417.34199,   4.67489
31059.65786,   5.17392
12965.51819,   4.73825
89073.86511,   5.69984
82785.50483,   5.66328
181873.55997,   6.05640
2115.05353,   3.83642
2205.39361,   3.85716
18980.90767,   4.92829
2350.15235,   3.88880
21517.85066,   4.99100
100634.98332,   5.76088
419903.19403,   6.47452
20613.23088,   4.96969
289154.05038,   6.28812
21966.52600,   5.00144
435723.43581,   6.49302
375801.76088,   6.41911
675903.24390,   6.71244
142836.53392,   5.93592
1177138.17870,   6.98975
2758761.32093,   7.41545
20059917.66498,   8.40723
6307815.53161,   7.82885
2062374.33725,   7.27004
1418637.96193,   7.08305
6324228.96274,   7.83016
13170766.41635,   8.19690
1706333.00048,   7.17536
6942619.53585,   7.87681
5671620.55492,   7.77574
2122300.84459,   7.28440
3206017.58239,   7.49060
4978068.23368,   7.71054
1890244.95614,   7.22654
4570556.87086,   7.66785
2858792.22862,   7.43331
4677065.28347,   7.67937
1735393.25881,   7.18383
1173364.01360,   6.98825
728737.12993,   6.75025
414277.87618,   6.46809
1173792.43738,   6.98844
54827.38809,   5.45853
96782.88772,   5.74204
82656.27312,   5.66334
162516.26627,   6.00078
3355470.33126,   7.51338
1474154.59053,   7.10230
96266.05455,   5.73941
942863.13050,   6.87897
237174.84421,   6.18954
161430.31266,   5.99745
13680.36790,   4.76712
