MSE, Q-LIKE
   0.00007,  -0.61076
   0.00007,  -0.61207
   0.00004,  -0.62139
   0.00002,  -0.63400
   0.00001,  -0.63922
   0.00001,  -0.63886
   0.00000,  -0.64582
   0.00000,  -0.64534
   0.00000,  -0.64554
   0.00003,  -0.62453
   0.00005,  -0.62004
   0.00004,  -0.62049
   0.00003,  -0.62700
   0.00003,  -0.62805
   0.00006,  -0.61320
   0.00006,  -0.61379
   0.00005,  -0.61826
   0.00006,  -0.61370
   0.00007,  -0.61219
   0.00007,  -0.61217
   0.00006,  -0.61364
   0.00006,  -0.61335
   0.00005,  -0.61970
   0.00005,  -0.61976
   0.00005,  -0.61959
   0.00005,  -0.61891
   0.00005,  -0.61876
   0.00005,  -0.61937
   0.00005,  -0.61930
   0.00004,  -0.62213
   0.00004,  -0.62166
   0.00003,  -0.62772
   0.00003,  -0.62771
   0.00003,  -0.62771
   0.00003,  -0.62447
   0.00003,  -0.62607
   0.00003,  -0.62727
   0.00003,  -0.62810
   0.00002,  -0.63214
   0.00002,  -0.62951
   0.00002,  -0.63193
   0.00002,  -0.63195
   0.00001,  -0.63837
   0.00001,  -0.63915
   0.00001,  -0.63939
   0.00001,  -0.64054
   0.00001,  -0.64247
   0.00000,  -0.65186
   0.00000,  -0.65574
   0.00000,  -0.65753
   0.00000,  -0.65836
   0.00000,  -0.65489
   0.00000,  -0.65601
   0.00000,  -0.66464
   0.00003,  -0.68511
   0.00004,  -0.68948
   0.00004,  -0.68898
   0.00005,  -0.69130
   0.00005,  -0.69149
   0.00006,  -0.69688
   0.00010,  -0.70869
   0.00007,  -0.69956
   0.00007,  -0.69939
   0.00007,  -0.69948
   0.00008,  -0.70199
   0.00008,  -0.70230
   0.00010,  -0.70879
   0.00010,  -0.70767
   0.00010,  -0.70734
   0.00011,  -0.70939
   0.00010,  -0.70746
   0.00010,  -0.70721
   0.00009,  -0.70527
   0.00009,  -0.70615
   0.00010,  -0.70635
   0.00010,  -0.70636
   0.00009,  -0.70489
   0.00009,  -0.70366
   0.00009,  -0.70389
   0.00010,  -0.70718
   0.00009,  -0.70578
   0.00005,  -0.69326
   0.00005,  -0.69328
   0.00005,  -0.69337
   0.00005,  -0.69385
   0.00006,  -0.69518
   0.00006,  -0.69432
   0.00005,  -0.69128
   0.00004,  -0.69039
   0.00005,  -0.69193
   0.00005,  -0.69223
   0.00005,  -0.69183
   0.00005,  -0.69209
   0.00005,  -0.69175
   0.00004,  -0.68960
   0.00004,  -0.68962
   0.00003,  -0.68178
   0.00002,  -0.67735
   0.00003,  -0.62669
   0.00006,  -0.61645
   0.00017,  -0.58743
   0.00018,  -0.58546
   0.00018,  -0.58496
   0.00030,  -0.56510
   0.00041,  -0.54929
   0.00053,  -0.53486
   0.00102,  -0.48836
   0.00124,  -0.47107
   0.00287,  -0.37478
   0.00381,  -0.33217
   0.00417,  -0.31723
   0.00421,  -0.31577
   0.00420,  -0.31612
   0.00555,  -0.26523
   0.00601,  -0.24967
   0.00603,  -0.24893
   0.00774,  -0.19479
   0.00792,  -0.18939
   0.00955,  -0.14380
   0.00955,  -0.14383
   0.01013,  -0.12833
   0.01072,  -0.11323
   0.01066,  -0.11494
   0.01159,  -0.09169
   0.01177,  -0.08746
   0.01230,  -0.07479
   0.01234,  -0.07384
   0.01250,  -0.07013
   0.01278,  -0.06361
   0.01276,  -0.06399
   0.01274,  -0.06437
   0.01188,  -0.08466
   0.01185,  -0.08542
   0.01304,  -0.05761
   0.01307,  -0.05690
   0.01311,  -0.05592
   0.01296,  -0.05933
   0.01331,  -0.05148
   0.01375,  -0.04143
   0.01353,  -0.04633
   0.01366,  -0.04355
   0.01379,  -0.04052
