MSE, Q-LIKE
   0.00001,  -0.64030
   0.00000,  -0.64180
   0.00000,  -0.64328
   0.00000,  -0.64341
   0.00000,  -0.64343
   0.00000,  -0.64193
   0.00000,  -0.64027
   0.00000,  -0.64034
   0.00000,  -0.63924
   0.00000,  -0.63900
   0.00000,  -0.63811
   0.00000,  -0.63644
   0.00000,  -0.63399
   0.00000,  -0.63331
   0.00000,  -0.62600
   0.00000,  -0.62393
   0.00000,  -0.61556
   0.00000,  -0.61489
   0.00000,  -0.61260
   0.00000,  -0.61172
   0.00000,  -0.61298
   0.00000,  -0.62192
   0.00001,  -0.63413
   0.00000,  -0.63934
   0.00000,  -0.63899
   0.00000,  -0.64585
   0.00000,  -0.64538
   0.00000,  -0.64559
   0.00002,  -0.62479
   0.00000,  -0.62063
   0.00000,  -0.62108
   0.00000,  -0.62736
   0.00000,  -0.62841
   0.00001,  -0.61398
   0.00000,  -0.61463
   0.00000,  -0.61892
   0.00000,  -0.61454
   0.00000,  -0.61309
   0.00000,  -0.61308
   0.00000,  -0.61448
   0.00000,  -0.61421
   0.00000,  -0.62029
   0.00000,  -0.62038
   0.00000,  -0.62021
   0.00000,  -0.61956
   0.00000,  -0.61941
   0.00000,  -0.62000
   0.00000,  -0.61993
   0.00000,  -0.62266
   0.00000,  -0.62221
   0.00000,  -0.62807
   0.00000,  -0.62809
   0.00000,  -0.62809
   0.00000,  -0.62493
   0.00000,  -0.62649
   0.00000,  -0.62765
   0.00000,  -0.62846
   0.00000,  -0.63239
   0.00000,  -0.62983
   0.00000,  -0.63219
   0.00000,  -0.63222
   0.00000,  -0.63849
   0.00000,  -0.63928
   0.00000,  -0.63952
   0.00000,  -0.64064
   0.00000,  -0.64255
   0.00000,  -0.65182
   0.00000,  -0.65573
   0.00000,  -0.65753
   0.00000,  -0.65837
   0.00000,  -0.65488
   0.00000,  -0.65601
   0.00000,  -0.66465
   0.00002,  -0.68534
   0.00000,  -0.69007
   0.00000,  -0.68956
   0.00000,  -0.69196
   0.00000,  -0.69216
   0.00000,  -0.69776
   0.00001,  -0.71008
   0.00000,  -0.70052
   0.00000,  -0.70039
   0.00000,  -0.70048
   0.00000,  -0.70311
   0.00000,  -0.70344
   0.00000,  -0.71025
   0.00000,  -0.70909
   0.00000,  -0.70874
   0.00000,  -0.71091
   0.00000,  -0.70886
   0.00000,  -0.70860
   0.00000,  -0.70656
   0.00000,  -0.70749
   0.00000,  -0.70770
   0.00000,  -0.70770
   0.00000,  -0.70616
   0.00000,  -0.70487
   0.00000,  -0.70511
   0.00000,  -0.70857
   0.00000,  -0.70709
   0.00001,  -0.69391
   0.00000,  -0.69402
   0.00000,  -0.69411
   0.00000,  -0.69461
   0.00000,  -0.69600
   0.00000,  -0.69510
   0.00000,  -0.69194
   0.00000,  -0.69102
   0.00000,  -0.69262
   0.00000,  -0.69293
   0.00000,  -0.69251
   0.00000,  -0.69279
   0.00000,  -0.69243
   0.00000,  -0.69020
   0.00000,  -0.69023
   0.00000,  -0.68210
   0.00000,  -0.67759
   0.00009,  -0.62578
   0.00003,  -0.61676
   0.00006,  -0.58889
   0.00001,  -0.58772
   0.00000,  -0.58733
   0.00002,  -0.56875
   0.00001,  -0.55448
   0.00001,  -0.54153
   0.00007,  -0.50017
   0.00001,  -0.48611
   0.00029,  -0.40537
   0.00020,  -0.37363
   0.00005,  -0.36365
   0.00000,  -0.36298
   0.00001,  -0.36317
   0.00003,  -0.32571
   0.00000,  -0.31481
   0.00001,  -0.31426
   0.00005,  -0.27617
   0.00000,  -0.27283
   0.00006,  -0.24185
   0.00000,  -0.24223
   0.00001,  -0.23198
   0.00001,  -0.22214
   0.00000,  -0.22329
   0.00002,  -0.20822
   0.00000,  -0.20561
   0.00000,  -0.19754
   0.00000,  -0.19696
   0.00000,  -0.19461
   0.00000,  -0.19051
   0.00000,  -0.19075
   0.00000,  -0.19098
   0.00002,  -0.20374
   0.00000,  -0.20431
   0.00003,  -0.18656
   0.00000,  -0.18629
   0.00000,  -0.18568
   0.00000,  -0.18783
   0.00000,  -0.18290
   0.00000,  -0.17665
   0.00000,  -0.17972
   0.00000,  -0.17798
   0.00000,  -0.17611
   0.47884,   2.06899
   0.44832,   1.91898
   0.42484,   1.81692
   0.40055,   1.72189
   0.37498,   1.63203
   0.34830,   1.54801
   0.32055,   1.46995
   0.29179,   1.39783
   0.26216,   1.33177
   0.23208,   1.27227
   0.20177,   1.21913
   0.17151,   1.17221
   0.14196,   1.13171
   0.11366,   1.09742
   0.08738,   1.06924
   0.06385,   1.04685
   0.04421,   1.03019
   0.02975,   1.01911
   0.02096,   1.01290
   0.01484,   1.00881
