MSE, Q-LIKE
   0.00004,  -0.63987
   0.00000,  -0.64176
   0.00000,  -0.64327
   0.00000,  -0.64338
   0.00000,  -0.64342
   0.00000,  -0.64193
   0.00000,  -0.64027
   0.00000,  -0.64031
   0.00000,  -0.63923
   0.00000,  -0.63896
   0.00000,  -0.63810
   0.00000,  -0.63642
   0.00000,  -0.63398
   0.00000,  -0.63328
   0.00000,  -0.62603
   0.00001,  -0.62385
   0.00001,  -0.61544
   0.00000,  -0.61488
   0.00001,  -0.61252
   0.00000,  -0.61172
   0.00000,  -0.61297
   0.00000,  -0.62190
   0.00000,  -0.63420
   0.00000,  -0.63934
   0.00000,  -0.63898
   0.00000,  -0.64585
   0.00000,  -0.64536
   0.00000,  -0.64559
   0.00002,  -0.62477
   0.00001,  -0.62052
   0.00000,  -0.62107
   0.00000,  -0.62738
   0.00000,  -0.62840
   0.00001,  -0.61396
   0.00000,  -0.61462
   0.00000,  -0.61893
   0.00000,  -0.61454
   0.00000,  -0.61307
   0.00001,  -0.61297
   0.00000,  -0.61446
   0.00000,  -0.61421
   0.00000,  -0.62027
   0.00000,  -0.62038
   0.00000,  -0.62021
   0.00000,  -0.61952
   0.00000,  -0.61940
   0.00000,  -0.61997
   0.00000,  -0.61992
   0.00000,  -0.62266
   0.00000,  -0.62220
   0.00000,  -0.62807
   0.00000,  -0.62807
   0.00000,  -0.62807
   0.00000,  -0.62493
   0.00001,  -0.62640
   0.00000,  -0.62765
   0.00000,  -0.62847
   0.00000,  -0.63240
   0.00000,  -0.62982
   0.00000,  -0.63219
   0.00000,  -0.63222
   0.00000,  -0.63851
   0.00000,  -0.63928
   0.00000,  -0.63951
   0.00000,  -0.64062
   0.00000,  -0.64254
   0.00000,  -0.65179
   0.00000,  -0.65574
   0.00000,  -0.65753
   0.00000,  -0.65832
   0.00000,  -0.65488
   0.00000,  -0.65601
   0.00000,  -0.66468
   0.00002,  -0.68526
   0.00000,  -0.69002
   0.00000,  -0.68956
   0.00000,  -0.69195
   0.00000,  -0.69214
   0.00001,  -0.69767
   0.00001,  -0.71005
   0.00000,  -0.70054
   0.00000,  -0.70038
   0.00002,  -0.70024
   0.00000,  -0.70311
   0.00000,  -0.70344
   0.00000,  -0.71024
   0.00000,  -0.70909
   0.00000,  -0.70874
   0.00000,  -0.71091
   0.00000,  -0.70884
   0.00000,  -0.70859
   0.00000,  -0.70656
   0.00000,  -0.70748
   0.00000,  -0.70770
   0.00000,  -0.70770
   0.00000,  -0.70616
   0.00000,  -0.70484
   0.00000,  -0.70511
   0.00000,  -0.70856
   0.00000,  -0.70710
   0.00000,  -0.69398
   0.00000,  -0.69401
   0.00000,  -0.69411
   0.00000,  -0.69461
   0.00000,  -0.69599
   0.00000,  -0.69510
   0.00000,  -0.69192
   0.00000,  -0.69100
   0.00000,  -0.69259
   0.00000,  -0.69289
   0.00000,  -0.69250
   0.00000,  -0.69279
   0.00000,  -0.69243
   0.00000,  -0.69020
   0.00000,  -0.69023
   0.00000,  -0.68213
   0.00001,  -0.67750
   0.00011,  -0.62558
   0.00005,  -0.61654
   0.00013,  -0.58800
   0.00002,  -0.58760
   0.00000,  -0.58730
   0.00002,  -0.56868
   0.00001,  -0.55446
   0.00000,  -0.54158
   0.00004,  -0.50048
   0.00004,  -0.48579
   0.00012,  -0.40696
   0.00010,  -0.37451
   0.00001,  -0.36402
   0.00015,  -0.36178
   0.00142,  -0.35420
   0.00004,  -0.32564
   0.00032,  -0.31277
   0.00001,  -0.31425
   0.00009,  -0.27594
   0.00000,  -0.27280
   0.00000,  -0.24221
   0.00004,  -0.24197
   0.00000,  -0.23202
   0.00001,  -0.22211
   0.00002,  -0.22315
   0.00000,  -0.20829
   0.00003,  -0.20543
   0.00003,  -0.19738
   0.00000,  -0.19695
   0.00002,  -0.19448
   0.00001,  -0.19048
   0.00003,  -0.19058
   0.00001,  -0.19096
   0.00000,  -0.20382
   0.00001,  -0.20428
   0.00003,  -0.18659
   0.00000,  -0.18629
   0.00000,  -0.18567
   0.00001,  -0.18780
   0.00001,  -0.18288
   0.00002,  -0.17656
   0.00000,  -0.17971
   0.00000,  -0.17799
   0.00000,  -0.17611
